                                                       
                                                       
                                                       
                                                       
                                                       
Table A4.  Value of foreign holdings of U.S. equities, by country and type of equities,
as of June 29, 2018
 Millions of dollars
                                                Total           Common                          Preferred
 Countries and Regions                         Equities          Stock            Funds         and Other
  Kuwait                                               185218          166495           10816            7906
  Kyrgyzstan                                                *               *               0               *
  Laos                                                      1               *               *               *
  Latvia                                                   86              52              33               1
  Lebanon                                                 191             123              43              26
  Liberia                                                 624             174             402              48
  Libya                                                    51               1               *              50
  Liechtenstein                                          4037            3574             224             239
  Lithuania                                                57              41              17               0
  Luxembourg                                           617417          571013           35404           11000
  Macau                                                  1639             957             680               2
  Macedonia                                                 3               2               1               *
  Madagascar                                               11               *              11               0
  Malawi                                                    5               2               3               *
  Malaysia                                              14148           13230             766             151
  Maldives                                                  1               1               *               *
  Mali                                                      1               *               *               *
  Malta                                                   816             478             332               7
  Marshall Islands                                        843             341             455              46
  Martinique                                                1               1               1               *
  Mauritania                                                2               *               *               2
  Mauritius                                               787             638             145               4
  Mexico                                                58256           14029           43156            1072
  Moldova                                                  12              11               1               *
  Monaco                                                 1357             864             312             182
  Mongolia                                                  *               *               *               0
  Montenegro (1)                                            1               1               0               0
  Montserrat                                               16              15               1               *
  Morocco                                                 311             266              39               6
  Mozambique                                                6               6               *               *
  Namibia                                                 562             515              45               2
  Nauru                                                     5               4               1               *
  Nepal                                                     9               2               7               0
  Netherlands                                          280081          189533           74447           16101
  New Caledonia                                             1               1               *               0
  New Zealand                                           23268           18363            4714             191
  Nicaragua                                               224              30             184              10
  Niger                                                     1               1               *               0
  Nigeria                                                  95              84              10               2
  Niue                                                      *               *               *               0
  Norway                                               276620          259647           16782             191
  Oman                                                  10244            1954            7885             405
  Pakistan                                                 62              41              21               *
  Palau                                                   136              79              35              22
  Panama                                                12178            5416            5848             914
  Papua New Guinea                                          2               *               1               *
  Paraguay                                                160              61              88              11
  Peru                                                  11558             368           10897             293
  Philippines                                            3247             622            2445             180
  Pitcairn Island                                           *               *               *               0
  Poland                                                 2232             953            1276               2
  Portugal                                               4222            1864            2298              60
  Qatar                                                  3177            2120             318             739
  Reunion                                                  90               *              90               *
  Romania                                                 112              91              20               *
  Russia                                                  468             318             144               6
  Rwanda                                                    *               *               *               0
  Saint Kitts and Nevis                                  2427            1198            1116             113
  Saint Lucia                                             227              54             162              11
  Saint Martin & Saint Barthelemy (1)                      14              11               2               1
  Saint Vincent and the Grenadines                         79              45              33               *
  Samoa                                                   256              63             189               4
  San Marino                                                1               *               1               0
  Sao Tome and Principe                                     4               4               0               0
  Saudi Arabia                                          57295           43498            4982            8815
  Senegal                                                   3               1               2               *
  Serbia and Montenegro (1)                                15               9               7               *
  Seychelles                                              146              55              70              21
  Sierra Leone                                              1               *               1               0
  Singapore                                            180373          146326           18287           15760
  Sint Maarten (1)                                        121              56              64               2
  Slovakia                                                 46              35              11               *
  Slovenia                                               1275             852             422               1
  Solomon Islands                                           *               *               0               0
  Somalia                                                   *               *               0               0
  South Africa                                          11908            8301            3246             361
  South Sudan                                               *               *               0               0
  Spain                                                 17653           12742            3917             995
  Sri Lanka                                                34              26               8               *
  Sudan                                                   111             109               2               1
  Suriname                                                124              36              81               7
  Swaziland                                                 4               2               3               *
  Sweden                                               163570          148513            8102            6956
  Switzerland                                          452299          383401           61780            7117
  Syria                                                     3               1               2               0
  Taiwan                                                65134           29463           32848            2824
  Tajikistan                                                1               1               *               *
  Tanzania                                                 15               8               7               *
  Thailand                                               6024             908            5094              22
  Togo                                                      1               1               *               *
  Tokelau                                                   *               *               0               0
  Tonga                                                     1               1               *               *
  Trinidad and Tobago                                    2945            2213             685              47
  Tunisia                                                1053              16            1036               *
  Turkey                                                  843             313             526               4
  Turkmenistan                                              *               *               0               0
  Turks and Caicos Islands                                478             237             209              31
  Uganda                                                   18              15               4               *
  Ukraine                                                2760            2730              27               3
  United Arab Emirates                                  88679           76074            7147            5458
  United Kingdom                                       923804          802399           75457           45949
  Uruguay                                                2528             790            1542             196
  Uzbekistan                                                5               3               2               *
  Vanuatu                                                   3               *               3               *
  Venezuela                                              3269            1577            1394             298
  Vietnam                                                  35              22              13               *
  Wallis and Futuna                                         *               *               0               0
  West Bank and Gaza                                        *               *               *               0
  Yemen                                                     *               *               *               0
  Zambia                                                    2               1               1               *
  Zimbabwe                                                  5               1               4               *
  International and regional organizations               5212            1864            2382             966
  Country Unknown                                         733             538             189               7

  Total                                               8139176         6300604         1343672          494900

  of which: Holdings of foreign official
  institutions                                        1041932          930815           73667           37451

  Totals by Region:
  Total Africa                                          17912           11973            5398             541
  Total Asia                                          1681990         1299007          257135          125848
  Total Caribbean                                     1289950          715184          395906          178860
  Total Europe                                        3829472         3306282          393015          130176
  Total Latin America                                  137055           33269           98433            5353
  Canada                                               928148          736239          155166           36744
  Australia/Oceania                                    248703          196249           36049           16405
  Country Unknown                                         733             538             189               7
  International and regional organizations               5212            1864            2382             966


* Greater than zero but less than $500,000.
n.a. Not available.

1. Separate reporting for certain country groups began with the 2014 survey.

    Entries for Bonaire, Sint Eustatius, and Saba; Curacao; and Sint Maarten were previously reported together as Netherlands Antilles.

    Entries for Guadeloupe and for Saint Martin and Saint Barthelemy were previously reported together as Guadeloupe.

    Entries for Kosovo, Montenegro, and Serbia were previously reported together as Serbia.

2. Excludes Hong Kong and Macau, which are reported separately.



