                                                                       
                                                                       
                                                                       
                                                                       
                                                                       
Table A3.  Value of foreign holdings of U.S. Treasury debt securities, by country and
type of Treasury security, as of June 29, 2018
 Millions of dollars
                                                                                    Treasury LT debt**
                                                                                of which:        of which:       of which:       Treasury
 Countries and Regions                           Total           Total           Nominal           TIPS             FRN          ST debt**
  Mauritania                                              130             130             130               0               0               0
  Mauritius                                              1180             692             568             123               0             488
  Mexico                                                40680           32949           27194            1449            4307            7730
  Moldova                                                 963             963             959               4               0               0
  Monaco                                                  214             121             117               3               0              94
  Mongolia                                                501             261             261               0               0             240
  Montenegro (1)                                            *               0               0               0               0               *
  Montserrat                                                2               2               2               0               0               0
  Morocco                                                2374            2374            2373               1               0               0
  Mozambique                                              283             283             282               1               0               0
  Namibia                                                  33              33              32               1               0               0
  Nepal                                                   741             591             591               0               0             150
  Netherlands                                           44515           40747           30126           10617               5            3767
  New Zealand                                            5460            5017            4827              78             112             442
  Nicaragua                                               156              73              73               *               0              83
  Nigeria                                                3303            3278            2672             104             502              25
  Norway                                                49560           49031           44508            4523               0             530
  Oman                                                  11669           11657           11599              58               0              12
  Pakistan                                               2923            1204            1139              66               0            1718
  Palau                                                    16              16              16               *               0               0
  Panama                                                 2280            1014             970              43               1            1266
  Papua New Guinea                                         90              40              40               0               0              50
  Paraguay                                                236             232             227               5               0               3
  Peru                                                  17496           17476           17475               1               0              20
  Philippines                                           31586           31156           30443             713               0             430
  Poland                                                40599           40497           40496               1               0             102
  Portugal                                               2250            2071            2064               1               6             179
  Qatar                                                  6384            1127            1125               2               0            5257
  Romania                                                7681            7681            7681               *               0               *
  Russia                                                14833            9103            9103               *               0            5730
  Rwanda                                                  180             180             180               0               0               0
  Saint Kitts and Nevis                                   749             642             630               5               8             107
  Saint Lucia                                              31              10              10               *               0              21
  Saint Martin & Saint Barthelemy (1)                       *               *               *               0               0               0
  Saint Vincent and the Grenadines                          1               1               1               0               0               0
  Saudi Arabia                                         163304          110031           99424           10538              69           53273
  Senegal                                                   *               *               0               *               0               0
  Serbia and Montenegro (1)                              1709            1549            1479               0              70             160
  Seychelles                                               93              83              81               2               0              11
  Sierra Leone                                             50               0               0               0               0              50
  Singapore                                            120389          116264           77522           37778             964            4124
  Sint Maarten (1)                                          9               0               0               0               0               9
  Slovakia                                                299             229             229               *               0              70
  Slovenia                                                292             260             260               0               0              32
  South Africa                                          26200           16850           15972             759             119            9350
  Spain                                                 31748           30189           27823            2361               4            1559
  Sri Lanka                                              3455            3455            3455               0               0               0
  Suriname                                                 58               3               3               *               0              55
  Swaziland                                                41              41              40               1               0               0
  Sweden                                                45780           45503           43885            1618               *             277
  Switzerland                                          234226          206351          173583           32163             604           27875
  Taiwan                                               162664          160994          147792           13024             178            1670
  Tanzania                                               1862            1862            1862               0               0               0
  Thailand                                              58446           42320           38194            4126               0           16126
  Trinidad and Tobago                                    2754            1929            1901              28               0             824
  Tunisia                                                 272             272             272               0               0               0
  Turkey                                                28694           12477           12476               1               0           16217
  Turks and Caicos Islands                                 70              48              42               6               0              22
  Uganda                                                  781             349             348               1               0             431
  Ukraine                                                1220            1220            1220               0               0               0
  United Arab Emirates                                  59462           49202           33445           13023            2734           10260
  United Kingdom                                       268679          229106          173214           38793           17100           39573
  Uruguay                                                7088            5602            5563              30               9            1486
  Vanuatu                                                  20               7               7               0               0              13
  Venezuela                                               196             109              95              14               *              86
  Vietnam                                               20166           20166           20166               0               0               0
  Zambia                                                  124             124             121               3               0               0
  International and regional organizations              53035           41672           40126            1485              61           11363
  Country Unknown                                          20               *               *               0               0              20

  Total                                               6200810         5466964         4738740          613107          115117          733846

  of which: Holdings of foreign official
  institutions                                        3984356         3650929         3196220          405110           49600          333427

  Totals by Region:
  Total Africa                                          68907           35880           34204            1043             633           33028
  Total Asia                                          3464805         3220334         2818427          362292           39614          244471
  Total Caribbean                                      302312          163722          123738           31661            8323          138590
  Total Europe                                        1728215         1475465         1253359          172606           49500          252750
  Total Latin America                                  436332          406918          373983           25103            7832           29414
  Canada                                               101852           86556           64249           14895            7411           15296
  Australia/Oceania                                     45332           36418           30654            4021            1743            8914
  Country Unknown                                          20               *               *               0               0              20
  International and regional organizations              53035           41672           40126            1485              61           11363


* Greater than zero but less than $500,000.
n.a. Not available.

** Long-term (LT) denotes original maturity of over one year; short-term (ST) denotes original maturity of one year or less.

1. Separate reporting for certain country groups began with the 2014 survey.

    Entries for Bonaire, Sint Eustatius, and Saba; Curacao; and Sint Maarten were previously reported together as Netherlands Antilles.

    Entries for Guadeloupe and for Saint Martin and Saint Barthelemy were previously reported together as Guadeloupe.

    Entries for Kosovo, Montenegro, and Serbia were previously reported together as Serbia.

2. Excludes Hong Kong and Macau, which are reported separately.



