"Table A9.  Foreign holdings of U.S. long-term debt securities, by country, as of selected survey dates"
""
"Billions of dollars"
"","June","June","June","June","June","June","June","June"
"United Kingdom",524,491,502,511,574,646,608,629
"Uruguay",6,10,9,8,8,6,6,7
"Uzbekistan","*","*","*","*","*","*","*","*"
"Vanuatu","*","*",0,0,0,0,"*","*"
"Venezuela",6,6,6,5,2,2,2,2
"Vietnam",4,7,10,14,14,14,14,20
"West Bank and Gaza",0,0,"*","*",0,0,0,0
"Western Sahara",0,0,0,"*","*",0,0,0
"Yemen",1,1,1,1,1,"*","*","*"
"Zambia","*","*","*","*","*","*","*","*"
"Zimbabwe","*","*","*","*","*","*","*","*"
"International and regional organizatio",86,92,86,97,84,78,68,61
"Country Unknown",136,88,51,81,98,82,64,79
"Total",7731,8213,8462,9183,9547,10044,10292,10282
""
""
"* Greater than zero but less than $500 million."
"n.a. Not available."
""
"1. Separate reporting for certain country groups began with the 2014 survey."
""
"Entries for Bonaire, Sint Eustatius, and Saba; Curacao; and Sint Maarten were previously reported together as Netherlands Antilles."
""
"Entries for Guadeloupe and for Saint Martin and Saint Barthelemy were previously reported together as Guadeloupe."
""
"Entries for Kosovo, Montenegro, and Serbia were previously reported together as Serbia."
""
"2. Excludes Hong Kong and Macau, which are reported separately."
""
""
""
