                                                                                    
                                                                                    
                                                                                    
                                                                                    
                                                                                    
Table A7.  Foreign holdings of U.S. securities, by country, as of selected survey dates

 Billions of dollars
                                              June            June            June            June            June            June            June            June
  South Africa                                        14              17              18              24              21              20              22              39
  South Sudan                                       n.a.            n.a.            n.a.               *               *               *               *               *
  Spain                                               28              38              34              37              48              59              60              55
  Sri Lanka                                            1               1               1               1               *               *               1               3
  Sudan                                                *               *               *               *               *               *               *               *
  Suriname                                             *               *               *               *               *               *               *               *
  Swaziland                                            *               *               *               *               *               *               *               *
  Sweden                                             108             112             135             157             169             165             180             216
  Switzerland                                        488             566             581             634             708             742             824             813
  Syria                                                *               *               *               *               *               *               *               *
  Taiwan                                             232             369             372             397             454             519             565             577
  Tajikistan                                           *               *               *               *               *               *               *               *
  Tanzania                                             1               1               2               2               2               1               2               2
  Thailand                                            58              57              54              46              37              55              79              77
  Togo                                                 *               *               *               *               *               *               *               *
  Tokelau                                              *               0               *               *               *               *               *               *
  Tonga                                                *               *               *               *               *               *               *               *
  Trinidad and Tobago                                  8               9              10              10              10               9              10              10
  Tunisia                                              *               *               1               1               1               1               1               1
  Turkey                                              43              29              59              53              76              59              59              30
  Turkmenistan                                         *               *               *               *               *               *               *               *
  Turks and Caicos Islands                             1               1               *               1               1               1               1               1
  Tuvalu                                               *               *               0               0               *               0               0               0
  Uganda                                               1               1               1               1               1               1               1               1
  Ukraine                                              8               7               6               2               4               6               2               4
  United Arab Emirates                               111             136             138             155             167             161             147             156
  United Kingdom                                     982            1008            1116            1289            1448            1427            1493            1598
  Uruguay                                              9              12              11              12              12              10              10              11
  Uzbekistan                                           *               *               *               *               *               *               *               *
  Vanuatu                                              *               *               *               *               *               *               *               *
  Venezuela                                            9               9               9               9               6               5               6               6
  Vietnam                                              4               7              10              14              14              14              14              20
  Wallis and Futuna                                    *               *               *               *               *               *               *               *
  West Bank and Gaza                                   *               *               *               *               *               *               *               *
  Western Sahara                                       *               *               *               *               *               0               0               0
  Yemen                                                1               1               1               1               1               *               *               *
  Zambia                                               *               *               *               *               *               *               *               *
  Zimbabwe                                             *               *               *               *               *               *               *               *
  International and regional organizatio              96             105              99             110              98              96              88              86
  Country Unknown                                    138              89              51              85              99              82              64              79
  Total                                            12440           13261           14410           16417           17134           17139           18412           19400


* Greater than zero but less than $500 million.
n.a. Not available.

1. Separate reporting for certain country groups began with the 2014 survey.

    Entries for Bonaire, Sint Eustatius, and Saba; Curacao; and Sint Maarten were previously reported together as Netherlands Antilles.

    Entries for Guadeloupe and for Saint Martin and Saint Barthelemy were previously reported together as Guadeloupe.

    Entries for Kosovo, Montenegro, and Serbia were previously reported together as Serbia.

2. Excludes Hong Kong and Macau, which are reported separately.



