"Table A8.  Foreign holdings of U.S. equities, by country, as of selected survey dates"
""
"Billions of dollars"
"","June","June","June","June","June","June","June","June"
"Montserrat","*","*","*","*","*","*","*","*"
"Morocco","*","*","*","*","*","*","*","*"
"Mozambique","*","*","*","*","*","*","*","*"
"Namibia","*","*","*","*","*",1,1,1
"Nauru","*","*","*","*","*","*","*","*"
"Nepal","*","*","*","*","*","*","*","*"
"Netherlands",165,151,164,195,202,210,254,280
"Netherlands Antilles (1)",6,2,2,"n.a.","n.a.","n.a.","n.a.","n.a."
"New Caledonia","*","*","*","*","*","*","*","*"
"New Zealand",8,7,8,12,13,12,19,23
"Nicaragua","*","*","*","*","*","*","*","*"
"Niger","*","*","*","*","*","*","*","*"
"Nigeria","*","*","*","*","*","*","*","*"
"Niue","*","*","*","*","*",0,0,"*"
"Norway",124,124,154,176,199,201,239,277
"Oman",4,4,4,7,7,6,7,10
"Pakistan","*","*","*","*","*","*","*","*"
"Palau","*","*","*","*","*","*","*","*"
"Panama",8,8,10,11,11,11,12,12
"Papua New Guinea","*","*","*","*","*","*","*","*"
"Paraguay","*","*","*","*","*","*","*","*"
"Peru",3,4,6,10,11,9,11,12
"Philippines",1,1,1,2,2,2,3,3
"Pitcairn Island","*","*","*","*","*","*","*","*"
"Poland","*",1,2,3,3,3,2,2
"Portugal",3,2,3,3,3,3,3,4
"Qatar",1,1,2,1,1,5,3,3
"Reunion","*","*","*","*","*","*","*","*"
"Romania","*","*","*","*","*","*","*","*"
"Russia","*","*","*","*","*","*","*","*"
"Rwanda","*","*","*","*","*","*","*","*"
"Saint Helena",0,"*",0,0,0,0,0,0
"Saint Kitts and Nevis",1,1,1,1,1,1,2,2
"Saint Lucia","*","*","*","*","*","*","*","*"
"Saint Martin & Saint Barthelemy (1)","n.a.","n.a.","n.a.","*","*","*","*","*"
"Saint Pierre and Miquelon","*","*","*","*",0,0,0,0
"Saint Vincent and the Grenadines","*","*","*","*","*","*","*","*"
"Samoa","*","*","*","*","*","*","*","*"
"San Marino","*","*","*","*","*","*","*","*"
"Sao Tome and Principe","*",0,"*","*",0,0,0,"*"
"Saudi Arabia",53,65,68,78,52,35,46,57
"Senegal","*","*","*","*","*","*","*","*"
"Serbia and Montenegro (1)","*","*","*","*","*","*","*","*"
"Seychelles","*","*","*","*","*","*","*","*"
"Sierra Leone","*","*","*","*","*","*","*","*"
"Singapore",107,106,129,142,145,136,167,180
"Sint Maarten (1)","n.a.","n.a.","n.a.","*","*","*","*","*"
"Slovakia","*","*","*","*","*","*","*","*"
"Slovenia",1,1,1,1,1,1,1,1
"Solomon Islands",0,0,"*","*","*","*","*","*"
"Somalia","*","*","*","*","*","*","*","*"
"South Africa",3,3,4,8,10,9,10,12
"South Sudan","n.a.","n.a.","n.a.","*","*","*","*","*"
"Spain",10,7,8,10,12,13,18,18
"Sri Lanka","*","*","*","*","*","*","*","*"
"Sudan","*","*","*","*","*","*","*","*"
"Suriname","*","*","*","*","*","*","*","*"
"Swaziland","*","*","*","*","*","*","*","*"
"Sweden",65,70,90,113,119,117,130,164
"Switzerland",226,263,266,331,344,351,413,452
"Syria","*","*","*","*","*","*","*","*"
"Taiwan",16,18,23,31,36,43,56,65
"Tajikistan","*","*","*","*","*","*","*","*"
"Tanzania","*","*","*","*","*","*","*","*"
"Thailand",2,3,3,3,2,2,3,6
"Togo","*","*","*","*","*","*","*","*"
"Tokelau","*",0,"*","*","*","*","*","*"
"Tonga","*","*","*","*","*","*","*","*"
"Trinidad and Tobago",1,1,2,2,2,2,3,3
"Tunisia","*","*",1,1,1,1,1,1
"Turkey","*","*","*","*","*",1,1,1
"Turkmenistan","*","*","*","*","*","*","*","*"
"Turks and Caicos Islands","*","*","*","*","*","*","*","*"
"Tuvalu","*","*",0,0,"*",0,0,0
"Uganda","*","*","*","*","*","*","*","*"
"Ukraine","*","*","*","*","*","*","*",3
"United Arab Emirates",65,72,89,94,89,87,80,89
"United Kingdom",441,495,584,741,832,741,844,924
"Uruguay",2,2,2,2,2,2,2,3
"Uzbekistan","*","*","*","*","*","*","*","*"
"Vanuatu","*","*","*","*","*","*","*","*"
"Venezuela",2,2,2,3,4,3,3,3
"Vietnam","*","*","*","*","*","*","*","*"
"Wallis and Futuna","*","*","*","*","*","*","*","*"
"West Bank and Gaza","*","*","*","*","*","*","*","*"
"Western Sahara","*","*","*","*","*",0,0,0
"Yemen","*","*","*","*","*","*","*","*"
"Zambia","*","*","*","*","*","*","*","*"
"Zimbabwe","*","*","*","*","*","*","*","*"
"International and regional organizatio",3,4,4,5,5,4,5,5
"Country Unknown",2,"*","*",3,1,"*",1,1
"Total",3830,4237,5070,6356,6655,6186,7189,8139
""
""
"* Greater than zero but less than $500 million."
"n.a. Not available."
""
"1. Separate reporting for certain country groups began with the 2014 survey."
""
"Entries for Bonaire, Sint Eustatius, and Saba; Curacao; and Sint Maarten were previously reported together as Netherlands Antilles."
""
"Entries for Guadeloupe and for Saint Martin and Saint Barthelemy were previously reported together as Guadeloupe."
""
"Entries for Kosovo, Montenegro, and Serbia were previously reported together as Serbia."
""
"2. Excludes Hong Kong and Macau, which are reported separately."
""
""
""
