"Table A10.  Foreign holdings of U.S. short-term debt securities, by country, as of selected survey dates"
""
"Billions of dollars"
"","June","June","June","June","June","June","June","June"
"Taiwan",3,2,3,1,2,3,4,2
"Thailand",38,34,39,28,19,28,12,16
"Tonga",0,0,0,0,0,0,"*",0
"Trinidad and Tobago",1,2,2,1,1,"*","*",1
"Tunisia","*",0,"*",0,0,0,0,0
"Turkey",31,17,41,28,57,34,36,16
"Turks and Caicos Islands","*","*","*","*","*","*","*","*"
"Uganda","*","*","*","*","*","*",1,"*"
"Ukraine","*","*","*",0,0,"*","*","*"
"United Arab Emirates",14,24,15,11,13,11,9,10
"United Kingdom",16,22,30,37,42,40,41,45
"Uruguay",1,"*",1,1,1,1,1,2
"Vanuatu","*",0,0,0,"*","*","*","*"
"Venezuela","*","*","*","*","*","*","*","*"
"Vietnam","*","*","*","*","*","*","*","*"
"Yemen","*","*",0,0,0,0,0,0
"Zambia","*","*",0,0,"*",0,0,0
"International and regional organizatio",7,9,9,8,9,14,15,20
"Country Unknown",1,"*","*","*",0,0,0,"*"
"Total",878,811,878,878,932,909,930,980
""
""
"* Greater than zero but less than $500 million."
"n.a. Not available."
""
"1. Separate reporting for certain country groups began with the 2014 survey."
""
"Entries for Bonaire, Sint Eustatius, and Saba; Curacao; and Sint Maarten were previously reported together as Netherlands Antilles."
""
"Entries for Guadeloupe and for Saint Martin and Saint Barthelemy were previously reported together as Guadeloupe."
""
"Entries for Kosovo, Montenegro, and Serbia were previously reported together as Serbia."
""
"2. Excludes Hong Kong and Macau, which are reported separately."
""
""
""
