                                                                                    
                                                                                    
                                                                                    
                                                                                    
                                                                                    
Table A2.  Foreign Holdings of U.S. Equities, by Country, as of End-June

 Billions of dollars
                                              June            June            June            June            June            June            June            June
  Luxembourg                                         378             502             518             516             532             617             663             731
  Macau                                                *               1               1               1               1               2               2               2
  Macedonia                                            *               *               *               *               *               *               *               *
  Madagascar                                           *               *               *               *               *               *               *               *
  Malawi                                               *               *               *               *               *               *               *               *
  Malaysia                                             8              12              11              10              13              14              14              19
  Maldives                                             *               *               *               *               *               *               *               *
  Mali                                                 *               *               *               *               *               *               *               *
  Malta                                                1               1               1               1               1               1               1               1
  Marshall Islands                                     *               1               1               1               1               1               1               1
  Martinique                                           *               *               *               *               *               *               *               *
  Mauritania                                           *               *               *               *               *               *               *               *
  Mauritius                                            2               3               6               1               4               1               1               1
  Mayotte                                              *               *               *               0               0               0               0               0
  Mexico                                              32              42              41              36              47              58              24              28
  Moldova                                              *               *               *               *               *               *               *               *
  Monaco                                               2               2               2               2               1               1               1               1
  Mongolia                                             *               *               *               *               *               *               *               *
  Montenegro (1)                                    n.a.               *               *               *               *               *               *               *
  Montserrat                                           *               *               *               *               *               *               *               *
  Morocco                                              *               *               *               *               *               *               *               1
  Mozambique                                           *               *               *               *               *               *               *               *
  Namibia                                              *               *               *               1               1               1               1               *
  Nauru                                                *               *               *               *               *               *               *               *
  Nepal                                                *               *               *               *               *               *               *               *
  Netherlands                                        164             195             202             210             254             280             284             264
  Netherlands Antilles (1)                             2            n.a.            n.a.            n.a.            n.a.            n.a.            n.a.            n.a.
  New Caledonia                                        *               *               *               *               *               *               *               *
  New Zealand                                          8              12              13              12              19              23              27              30
  Nicaragua                                            *               *               *               *               *               *               *               *
  Niger                                                *               *               *               *               *               *               *               *
  Nigeria                                              *               *               *               *               *               *               *               *
  Niue                                                 *               *               *               0               0               *               *               0
  Norway                                             154             176             199             201             239             277             309             325
  Oman                                                 4               7               7               6               7              10              10               7
  Pakistan                                             *               *               *               *               *               *               *               *
  Palau                                                *               *               *               *               *               *               *               *
  Panama                                              10              11              11              11              12              12              14              14
  Papua New Guinea                                     *               *               *               *               *               *               *               *
  Paraguay                                             *               *               *               *               *               *               *               *
  Peru                                                 6              10              11               9              11              12              13               8
  Philippines                                          1               2               2               2               3               3               4               3
  Pitcairn Island                                      *               *               *               *               *               *               *               *
  Poland                                               2               3               3               3               2               2               1               1
  Portugal                                             3               3               3               3               3               4               5               6
  Qatar                                                2               1               1               5               3               3              13              17
  Reunion                                              *               *               *               *               *               *               *               *
  Romania                                              *               *               *               *               *               *               *               *
  Russia                                               *               *               *               *               *               *               *               *
  Rwanda                                               *               *               *               *               *               *               *               *
  Saint Helena                                         0               0               0               0               0               0               0               *
  Saint Kitts and Nevis                                1               1               1               1               2               2               6               6
  Saint Lucia                                          *               *               *               *               *               *               *               *
  Saint Martin & Saint Barthelemy (1)               n.a.               *               *               *               *               *               *               *
  Saint Pierre and Miquelon                            *               *               0               0               0               0               0               0
  Saint Vincent and the Grenadines                     *               *               *               *               *               *               *               *
  Samoa                                                *               *               *               *               *               *               *               *
  San Marino                                           *               *               *               *               *               *               *               *
  Sao Tome and Principe                                *               *               0               0               0               *               *               *
  Saudi Arabia                                        68              78              52              35              46              57              93             133
  Senegal                                              *               *               *               *               *               *               *               *
  Serbia and Montenegro (1)                            *               *               *               *               *               *               *               *
  Seychelles                                           *               *               *               *               *               *               *               *
  Sierra Leone                                         *               *               *               *               *               *               *               *
  Singapore                                          129             142             145             136             167             180             180             169
  Sint Maarten (1)                                  n.a.               *               *               *               *               *               *               *
  Slovakia                                             *               *               *               *               *               *               *               *
  Slovenia                                             1               1               1               1               1               1               1               1
  Solomon Islands                                      *               *               *               *               *               *               *               *
  Somalia                                              *               *               *               *               *               *               *               *
  South Africa                                         4               8              10               9              10              12              12              12
  South Sudan                                       n.a.               *               *               *               *               *               0               0
  Spain                                                8              10              12              13              18              18              21              23
  Sri Lanka                                            *               *               *               *               *               *               *               *
  Sudan                                                *               *               *               *               *               *               *               *
  Suriname                                             *               *               *               *               *               *               *               *
  Swaziland                                            *               *               *               *               *               *               *               *
  Sweden                                              90             113             119             117             130             164             180             194
  Switzerland                                        266             331             344             351             413             452             450             496
  Syria                                                *               *               *               *               *               *               *               *
  Taiwan                                              23              31              36              43              56              65              68              79
  Tajikistan                                           *               *               *               *               *               *               *               *
  Tanzania                                             *               *               *               *               *               *               *               *
  Thailand                                             3               3               2               2               3               6              11              16
  Togo                                                 *               *               *               *               *               *               *               *
  Tokelau                                              *               *               *               *               *               *               *               *
  Tonga                                                *               *               *               *               *               *               *               *
  Trinidad and Tobago                                  2               2               2               2               3               3               4               3
  Tunisia                                              1               1               1               1               1               1               1               1
  Turkey                                               *               *               *               1               1               1               1               1
  Turkmenistan                                         *               *               *               *               *               *               *               *
  Turks and Caicos Islands                             *               *               *               *               *               *               1               1
  Tuvalu                                               0               0               *               0               0               0               0               *
  Uganda                                               *               *               *               *               *               *               *               *
  Ukraine                                              *               *               *               *               *               3               *               *
  United Arab Emirates                                89              94              89              87              80              89             101             127
  United Kingdom                                     584             741             832             741             844             924            1002            1019
  Uruguay                                              2               2               2               2               2               3               2               3
  Uzbekistan                                           *               *               *               *               *               *               *               *
  Vanuatu                                              *               *               *               *               *               *               *               *
  Venezuela                                            2               3               4               3               3               3               4               3
  Vietnam                                              *               *               *               *               *               *               *               *
  Wallis and Futuna                                    *               *               *               *               *               *               *               0
  West Bank and Gaza                                   *               *               *               *               *               *               *               *
  Western Sahara                                       *               *               *               0               0               0               0               0
  Yemen                                                *               *               *               *               *               *               *               *
  Zambia                                               *               *               *               *               *               *               *               *
  Zimbabwe                                             *               *               *               *               *               *               *               *
  International and regional organizatio               4               5               5               4               5               5               9               9
  Country Unknown                                      *               3               *               *               1               1               1               1
  Total                                             5070            6356            6655            6186            7189            8139            8630            9168


* Greater than zero but less than $500 million.
n.a. Not available.

1. Separate reporting for certain country groups began with the 2014 survey.
    Entries for Bonaire, Sint Eustatius, and Saba; Curacao; and Sint Maarten were previously reported together as Netherlands Antilles.
    Entries for Guadeloupe and for Saint Martin and Saint Barthelemy were previously reported together as Guadeloupe.
    Entries for Kosovo, Montenegro, and Serbia were previously reported together as Serbia.

2. Excludes Hong Kong and Macau, which are reported separately.



