"Table A4.  Foreign Holdings of U.S. Short-Term Debt Securities, by Country, as of End-June"
""
"Billions of dollars"
"","June","June","June","June","June","June","June","June"
"Solomon Islands",0,0,0,0,0,0,"*",0
"South Africa","*","*","*","*","*",9,4,4
"Spain",3,2,1,1,1,2,2,3
"Sri Lanka",0,0,0,0,0,0,"*","*"
"Sudan",0,0,0,0,0,0,"*","*"
"Suriname","*","*","*","*","*","*","*","*"
"Swaziland",0,"*",0,0,0,0,0,0
"Sweden",8,5,6,2,"*","*",1,1
"Switzerland",32,24,27,32,34,30,41,35
"Syria","*",0,0,0,0,0,0,0
"Taiwan",3,1,2,3,4,2,4,6
"Tanzania",0,0,0,0,0,0,0,"*"
"Thailand",39,28,19,28,12,16,16,12
"Tonga",0,0,0,0,"*",0,0,0
"Trinidad and Tobago",2,1,1,"*","*",1,1,1
"Tunisia","*",0,0,0,0,0,0,"*"
"Turkey",41,28,57,34,36,16,"*",1
"Turks and Caicos Islands","*","*","*","*","*","*","*","*"
"Uganda","*","*","*","*",1,"*",1,1
"Ukraine","*",0,0,"*","*","*","*","*"
"United Arab Emirates",15,11,13,11,9,10,13,11
"United Kingdom",30,37,42,40,41,45,58,78
"Uruguay",1,1,1,1,1,2,3,6
"Vanuatu",0,0,"*","*","*","*","*","*"
"Venezuela","*","*","*","*","*","*","*","*"
"Vietnam","*","*","*","*","*","*","*","*"
"Zambia",0,0,"*",0,0,0,0,0
"International and regional organizatio",9,8,9,14,15,20,17,29
"Country Unknown","*","*",0,0,0,"*","*","*"
"Total",878,878,932,909,930,980,913,1228
""
""
"* Greater than zero but less than $500 million."
"n.a. Not available."
""
"1. Separate reporting for certain country groups began with the 2014 survey."
"Entries for Bonaire, Sint Eustatius, and Saba; Curacao; and Sint Maarten were previously reported together as Netherlands Antilles."
"Entries for Guadeloupe and for Saint Martin and Saint Barthelemy were previously reported together as Guadeloupe."
"Entries for Kosovo, Montenegro, and Serbia were previously reported together as Serbia."
""
"2. Excludes Hong Kong and Macau, which are reported separately."
""
""
""
