                                                                       
                                                                       
                                                                       
                                                                       
                                                                       
Table A10.  Foreign Holdings of U.S. Short-Term Securities, by Country and Security Type, as
of June 30, 2020
 Millions of dollars
                                                                                                               of which: Commercial Paper
                                                                                                 Total                        Asset-backed
 Countries and Regions                         Total ST         Treasury         Agency        Corporate        Total CP           CP
  Pakistan                                                497             496               0               1               0               0
  Panama                                                 2965            1977               5             983             795               0
  Papua New Guinea                                        130             130               0               0               0               0
  Paraguay                                                 20               9               0              11               4               0
  Peru                                                    805             548               0             256             123               0
  Philippines                                            2945            2943               *               1               0               0
  Poland                                                 9796            9796               0               0               0               0
  Portugal                                                602             601               0               1               0               0
  Qatar                                                 20269           20266               1               1               1               0
  Romania                                                1959            1775               0             184               0               0
  Russia                                                 3001            3000               0               1               0               0
  Saint Kitts and Nevis                                   124             108               0              17               2               0
  Saint Lucia                                              12               7               0               5               3               0
  Saint Martin & Saint Barthelemy (1)                       *               0               0               *               0               0
  Saint Vincent and the Grenadines                          4               1               0               3               2               0
  Saudi Arabia                                          35517           35094               0             424             310             262
  Serbia and Montenegro (1)                                30              30               0               0               0               0
  Seychelles                                                *               *               0               0               0               0
  Sierra Leone                                             90              90               0               0               0               0
  Singapore                                             21194           10855             284           10055             500               0
  Sint Maarten (1)                                          1               0               0               1               *               0
  Slovakia                                                169             169               0               0               0               0
  Slovenia                                                 88              88               0               0               0               0
  South Africa                                           3599            3597               0               1               0               0
  Spain                                                  2946            2923               0              23               0               0
  Sri Lanka                                                 *               0               0               *               0               0
  Sudan                                                     *               *               0               0               0               0
  Suriname                                                 12               9               0               3               0               0
  Sweden                                                  544             544               0               *               0               0
  Switzerland                                           35320           33328              76            1916            1384              11
  Taiwan                                                 6035            4601              50            1384             262               0
  Tanzania                                                  7               7               0               0               0               0
  Thailand                                              11514           11512               0               2               0               0
  Trinidad and Tobago                                     854             655               0             199             149               0
  Tunisia                                                   2               2               0               0               0               0
  Turkey                                                  575             502               0              72              60               0
  Turks and Caicos Islands                                 27              27               0               0               0               0
  Uganda                                                  555             554               1               0               0               0
  Ukraine                                                  10              10               0               0               0               0
  United Arab Emirates                                  10853           10819               0              34               0               0
  United Kingdom                                        78476           73967             156            4354            2335             626
  Uruguay                                                5634            5557               0              77              59               0
  Vanuatu                                                  13              13               0               0               0               0
  Venezuela                                               110              67               0              42               2               0
  Vietnam                                                   1               0               0               1               0               0
  International and regional organizations              29446           24437              76            4932            2054               0
  Country Unknown                                           9               9               0               1               0               0

  Total                                               1227519         1040075           15822          171621           75705           27650

  of which: Holdings of foreign official
  institutions                                         414425          381776             331           32318           12527            6140

  Totals by Region:
  Total Africa                                          21062           21056               1               5               0               0
  Total Asia                                           337196          301793            1106           34297           13512            6684
  Total Caribbean                                      172648          161525            2657            8465            4661            1628
  Total Europe                                         568525          443768           10880          113877           51867           18752
  Total Latin America                                   55819           48840             298            6681            1572              18
  Canada                                                28536           25643             507            2386            1701             494
  Australia/Oceania                                     14279           13004             298             977             339              73
  Country Unknown                                           9               9               0               1               0               0
  International and regional organizations              29446           24437              76            4932            2054               0


* Greater than zero but less than $500,000.
n.a. Not available.

1. Separate reporting for certain country groups began with the 2014 survey.
    Entries for Bonaire, Sint Eustatius, and Saba; Curacao; and Sint Maarten were previously reported together as Netherlands Antilles.
    Entries for Guadeloupe and for Saint Martin and Saint Barthelemy were previously reported together as Guadeloupe.
    Entries for Kosovo, Montenegro, and Serbia were previously reported together as Serbia.




