                                                                               
                                                                               
                                                                               
                                                                               
                                                                               
Table A2.  Value of foreign holdings of U.S. long-term securities, by country and type of
security, as of June 30, 2017
 Millions of dollars
                                                 Total                                                    Agency                         Corporate
 Countries and Regions                            LT            Equities        Treasury         NonABS            ABS           NonABS            ABS
  East Timor                                            11461            3562            7899               0               0               0               0
  Ecuador                                                 910             460             196              19               3             231               *
  Egypt                                                  2737             402            2119               *             200              15               2
  El Salvador                                            1104             325             645               2               9             123               *
  Equatorial Guinea                                         *               *               0               0               0               0               0
  Eritrea                                                   *               *               0               0               0               0               0
  Estonia                                                 449             360              65               1               0              23               0
  Ethiopia                                                  7               7               0               0               0               *               0
  Falkland Islands                                         21              17               2               0               0               1               *
  Faroe Islands                                             *               *               0               0               0               *               0
  Federated States of Micronesia                          129              71              19              12               5              23               0
  Fiji                                                     18               3               0              15               0               *               0
  Finland                                               44722           27623            9640             106               0            7340              14
  France                                               275600          153504           56729             443            3037           55626            6261
  French Guiana                                            17              14               0               0               0               2               0
  French Polynesia                                         17              14               1               *               *               2               0
  Gabon                                                   145              25               0               0               0             120               0
  Gambia                                                    7               7               0               0               0               0               0
  Georgia                                                  74               5              69               *               *               *               0
  Germany                                              422353          207687           63993             590            5587          123025           21471
  Ghana                                                  1242              11            1204               1               0              25               1
  Gibraltar                                               368             191              23               4               1             150               0
  Greece                                                 3370            1832            1266              22               1             250               *
  Greenland                                                 *               *               0               0               0               0               0
  Grenada                                                  73              57               *               *               0              16               0
  Guadeloupe (1)                                           13              13               0               0               0               0               0
  Guatemala                                              4422             335            3182              38               9             814              44
  Guernsey                                              41189           31582            4705             208             114            4290             289
  Guinea                                                    *               *               0               0               0               *               0
  Guyana                                                  119              33              11              61               *              14               *
  Haiti                                                  1434             119             106             455               *             747               6
  Holy See (Vatican)                                       16               5              11               0               0               *               0
  Honduras                                                998              84             790              46               *              77               *
  Hong Kong                                            286640           95754          137470            4396            8815           38800            1405
  Hungary                                                2271             808             565              10             856              32               0
  Iceland                                                3370            1079            2249              40               0               1               0
  India                                                117280            2653          114189              36             121             281               *
  Indonesia                                             31463             288           25356              21            3640            2093              65
  Iran                                                      2               2               0               0               0               0               0
  Iraq                                                   5985               1            5985               0               0               0               0
  Ireland                                              935803          295681          259606           10566           33663          292293           43994
  Isle of Man                                            2078             951             719               *               *             408               *
  Israel                                                86196           48853           29587             479            1578            5473             227
  Italy                                                 75852           27068           33794            1257             265           13322             146
  Jamaica                                                 963             278             117              25               0             543               *
  Japan                                               1940614          490186         1033911            6939          221528          174113           13938
  Jersey                                                22177           15889            2097              15             220            3546             410
  Jordan                                                  584              85             497               0               *               1               0
  Kazakhstan                                            13508            5647            6929              61               *             871               0
  Kenya                                                   929              31             896               *               0               2               0
  Kiribati                                                289             289               0               0               0               0               0
  Korea, South                                         271431          101829           90356           12900           33891           30359            2096
  Kosovo (1)                                                2               1               0               0               0               *               0
  Kuwait                                               208918          160368           28484             546            4260           14500             760
  Kyrgyzstan                                                *               *               0               0               0               0               0
  Laos                                                      *               *               0               0               0               0               0
  Latvia                                                 1941             125             257               2            1077              70             411
  Lebanon                                                 187             170               *               0               *              16               0
  Lesotho                                                  83               0              83               0               0               0               0
  Liberia                                                1088             655             192              11              53             133              44
  Libya                                                   564              66             498               0               0               0               0
  Liechtenstein                                          3978            3251              43               9              72             587              16
  Lithuania                                               264              43             218               2               0               1               0
  Luxembourg                                          1302894          531881          173695            2975           28314          526993           39037
  Macau                                                  3651            1346            1124               7             190             757             227
  Macedonia                                               192               2             190               0               0               *               0
  Madagascar                                              107              10              97               0               0               0               0
  Malawi                                                    7               5               1               0               0               2               0
  Malaysia                                              41031           12540           14272             459           11905            1667             188
  Maldives                                                  *               *               0               0               0               0               0
  Mali                                                      3               3               0               0               0               0               0
  Malta                                                  1496             621             168               4               0             699               3
  Marshall Islands                                        926             798               4               1               1             120               1
  Martinique                                                2               1               0               0               0               *               0
  Mauritania                                              122               *             122               0               0               0               0
  Mauritius                                              7259            4388            1535              80              10             946             301
  Mexico                                                91023           46958           27806            7887            5223            2963             186
  Moldova                                                 668               4             664               0               0               0               0
  Monaco                                                 1695            1332             198               *             118              39               7
  Mongolia                                                153               1             152               0               0               0               0
  Montenegro (1)                                            1               1               0               0               0               *               0
  Montserrat                                               18              16               2               0               0               1               0
  Morocco                                                1811             224            1581               *               0               6               0
  Mozambique                                              355               5             339               0               0              11               0
  Namibia                                                 736             689              46               0               0               *               0
  Nauru                                                     3               3               0               0               0               0               0
  Nepal                                                   710               9             700               0               0               1               0
  Netherlands                                          383003          253512           45021             688           11462           68881            3439
  New Caledonia                                             3               1               0               *               0               1               0
  New Zealand                                           26239           19155            4174              34             579            2163             134
  Nicaragua                                               290              75             145              30               *              41               *
  Niger                                                     1               1               0               0               0               0               0
  Nigeria                                                2572              93            2018             182             211              68               0
  Norway                                               339604          238952           53438              12               2           46800             399
  Oman                                                  23071            7375           15521               *              75              86              14
  Pakistan                                               1482              66            1282               *               0             135               0
  Palau                                                   178             133              11               9               5              20               *
  Panama                                                21119           12395             736             250             956            6618             164
  Papua New Guinea                                         23               2              21               0               0               0               0
  Paraguay                                                240             154               6               5               2              72               *
  Peru                                                  28472           10908           13358            1941               1            2249              14
  Philippines                                           42028            2851           37433              13              21            1710               *
  Pitcairn Island                                           *               *               0               0               0               0               0
  Poland                                                36035            1567           34077               0               0             390               *
  Portugal                                               8268            3475            4047              11             147             585               2
  Qatar                                                  4337            2673             505               3             238             447             471
  Reunion                                                   *               *               0               0               0               0               0
  Romania                                                3374              69            3250               *               0              55               0
  Russia                                                97278             423           96749               *               1             103               1
  Rwanda                                                  189               1             188               0               0               *               0
  Saint Kitts and Nevis                                  3076            1782             522              55              11             705               2
  Saint Lucia                                             335             191               2               1               *             141               *
  Saint Martin & Saint Barthelemy (1)                       5               2               0               0               0               2               0
  Saint Vincent and the Grenadines                         51              46               1               *               *               4               0
  Samoa                                                   173             159               *               1               *              12               *
  San Marino                                                1               1               0               0               0               0               0
  Saudi Arabia                                         159566           45515          100433             508            4642            7325            1142
  Senegal                                                   5               5               0               0               0               *               0
  Serbia and Montenegro (1)                              1518              14            1504               0               0               *               0
  Seychelles                                              167             150               5               *               *              10               2
  Sierra Leone                                              *               *               0               0               0               0               0
  Singapore                                            331456          167099          102246             823            4615           51141            5531
  Sint Maarten (1)                                        165             134               *               1               4              25               *
  Slovakia                                                282              51             226               5               0               *               0
  Slovenia                                               1913            1138             383              24               0             367               *
  Solomon Islands                                           *               *               0               0               0               *               0
  Somalia                                                   *               *               0               0               0               0               0
  South Africa                                          22187           10346            9862              25            1553             304              97
  South Sudan                                               *               *               0               0               0               0               0
  Spain                                                 58797           17939           35684             975             593            2537            1069
  Sri Lanka                                              1039              29            1010               0               0               *               0
  Sudan                                                     *               *               0               0               0               0               0
  Suriname                                                119              68               3               7               *              40               *
  Swaziland                                               158               9              57               *              10               2              80
  Sweden                                               179971          130441           40633              32              89            8109             667
  Switzerland                                          790379          412722          213546            3445           13867          138266            8533
  Syria                                                     4               4               0               0               0               *               0
  Taiwan                                               561194           55862          182593             122          227073           94558             986
  Tajikistan                                                1               1               0               0               0               0               0
  Tanzania                                               1698              13            1682               0               0               3               0
  Thailand                                              66804            2630           53705               1            3901            6557              10
  Togo                                                      1               1               0               0               0               *               0
  Tokelau                                                   *               *               0               0               0               0               0
  Tonga                                                     2               1               0               0               0               *               0
  Trinidad and Tobago                                    9340            2559            2857             240             724            2256             704
  Tunisia                                                1089             871             217               0               0               1               *
  Turkey                                                23574             645           22886               1               *              41               0
  Turkmenistan                                              *               *               0               0               0               0               0
  Turks and Caicos Islands                                637             408              34               3              14             176               3
  Uganda                                                  570              18             433               2              15              34              69
  Ukraine                                                2270              38            2194               0               0              38               *
  United Arab Emirates                                 138104           80452           49874              88             698            6673             319
  United Kingdom                                      1451894          844156          199636            1738            9809          375937           20616
  Uruguay                                                8255            2070            4492              55             470            1140              28
  Uzbekistan                                                4               3               0               0               0               *               0
  Vanuatu                                                  10               3               7               0               0               *               0
  Venezuela                                              5424            3193              76              49              16            2081               9
  Vietnam                                               13604              35           13568               *               *               1               *
  Wallis and Futuna                                         *               *               0               0               0               0               0
  West Bank and Gaza                                        *               *               0               0               0               0               0
  Yemen                                                    80               2              77               0               0               1               0
  Zambia                                                  175               2             173               0               0               *               0
  Zimbabwe                                                  7               6               0               0               0               1               0
  International and regional organizations              73186            5257           47488            2589            5332            5911            6610
  Country Unknown                                       64350             513               *               3               1           63832               *

  Total                                              17481114         7189442         5467555           89500          890712         3472812          371092

  of which: Holdings of foreign official
  institutions                                        5212274          952306         3662609           42769          383724          156554           14312

  Totals by Region:
  Total Africa                                          49244           19651           24717             334            2053            1893             595
  Total Asia                                          5897404         1481402         3196430           33191          704867          450560           30954
  Total Caribbean                                     2144333         1182885          239539           13848           52266          513482          142313
  Total Europe                                        7388519         3349920         1501339           26504          111979         2236951          161826
  Total Latin America                                  525142          125067          356046           11346            7741           24483             459
  Canada                                              1047859          810003           67282            1408            3646          140632           24888
  Australia/Oceania                                    291077          214743           34714             277            2826           35069            3448
  Country Unknown                                       64350             513               *               3               1           63832               *
  International and regional organizations              73186            5257           47488            2589            5332            5911            6610


* Greater than zero but less than $500,000.
n.a. Not available.

1. Separate reporting for certain country groups began with the 2014 survey.

    Entries for Bonaire, Sint Eustatius, and Saba; Curacao; and Sint Maarten were previously reported together as Netherlands Antilles.

    Entries for Guadeloupe and for Saint Martin and Saint Barthelemy were previously reported together as Guadeloupe.

    Entries for Kosovo, Montenegro, and Serbia were previously reported together as Serbia.

2. Excludes Hong Kong and Macau, which are reported separately.



