"Table A7.  Foreign holdings of U.S. securities, by country, as of selected survey dates"
""
"Billions of dollars"
"","June","June","June","June","June","June","June","June"
"Ecuador",2,2,1,1,1,1,1,1
"Egypt",27,13,4,2,6,5,3,9
"El Salvador",2,2,1,1,1,1,1,2
"Equatorial Guinea","*","*","*","*","*","*","*","*"
"Eritrea","*","*","*","*","*","*","*","*"
"Estonia","*","*","*","*","*",1,1,"*"
"Ethiopia","*","*","*","*","*","*","*","*"
"Falkland Islands","*","*","*","*","*","*","*","*"
"Faroe Islands","*","*","*","*","*","*","*","*"
"Federated States of Micronesia","*","*","*","*","*","*","*","*"
"Fiji","*","*","*","*","*","*","*","*"
"Finland",14,19,19,22,29,32,37,45
"France",194,249,225,214,269,274,229,292
"French Guiana","*","*","*","*","*","*","*","*"
"French Polynesia","*","*","*","*","*","*","*","*"
"Gabon","*","*","*","*","*","*","*","*"
"Gambia","*","*","*","*","*","*","*","*"
"Georgia","*",1,1,1,1,1,1,"*"
"Germany",195,238,227,265,319,344,373,427
"Ghana","*","*",1,1,1,1,1,1
"Gibraltar",1,1,"*",1,1,1,1,1
"Greece",2,5,9,9,10,9,6,4
"Greenland","*","*","*","*","*","*","*","*"
"Grenada","*","*","*","*","*","*","*","*"
"Guadeloupe (1)","*","*","*","*","*","*","*","*"
"Guatemala",4,4,4,4,3,3,3,5
"Guernsey",22,22,30,29,38,40,38,43
"Guinea","*","*","*","*","*","*","*","*"
"Guinea-Bissau","*","*","*","*","*",0,0,0
"Guyana","*","*","*","*","*","*","*","*"
"Haiti",1,1,1,2,1,1,1,2
"Holy See (Vatican)","*","*","*","*","*","*","*","*"
"Honduras",1,1,1,1,1,1,1,1
"Hong Kong",293,292,223,215,263,298,305,350
"Hungary",1,3,3,3,2,2,3,3
"Iceland",1,1,1,2,2,2,3,3
"India",41,45,55,62,75,119,119,133
"Indonesia",33,47,36,26,28,25,25,34
"Iran","*","*","*","*","*","*","*","*"
"Iraq",22,32,49,45,26,30,15,16
"Ireland",356,405,453,575,729,831,931,1068
"Isle of Man",4,3,2,2,2,2,2,3
"Israel",37,47,53,61,67,69,76,88
"Italy",41,42,52,63,70,67,78,78
"Jamaica",1,"*","*",1,1,1,1,1
"Japan",1393,1585,1835,1766,1917,1903,1960,1998
"Jersey",29,34,28,25,27,27,30,25
"Jordan",2,2,1,1,1,1,"*",1
"Kazakhstan",23,24,33,31,43,39,27,29
"Kenya","*","*","*",1,1,1,1,1
"Kiribati","*","*","*","*","*","*","*","*"
"Korea, South",122,133,148,155,180,209,236,282
"Kosovo (1)","n.a.","n.a.","n.a.","n.a.","*","*","*","*"
"Kuwait",80,98,122,156,187,191,189,230
"Kyrgyzstan","*","*","*","*","*","*","*","*"
"Laos","*","*","*","*","*","*","*","*"
"Latvia",1,1,1,1,1,2,2,2
"Lebanon",1,1,3,1,1,"*","*","*"
"Lesotho","*","*","*","*","*","*","*","*"
"Liberia",2,2,1,1,1,1,1,1
"Libya",2,4,4,5,1,"*","*",1
"Liechtenstein",2,3,2,3,4,3,3,4
"Lithuania","*","*","*","*","*","*","*","*"
"Luxembourg",622,817,837,990,1198,1297,1349,1398
"Macau",1,1,1,1,2,3,4,4
"Macedonia","*","*","*","*","*","*","*","*"
"Madagascar","*","*","*","*","*","*","*","*"
"Malawi","*","*","*","*","*","*","*","*"
"Malaysia",31,41,46,43,36,33,36,41
"Maldives","*","*","*","*","*","*","*","*"
"Mali","*","*","*","*","*","*","*","*"
"Malta",1,1,2,2,2,2,1,1
"Marshall Islands","*","*","*",1,1,1,1,1
"Martinique","*","*","*","*","*","*","*","*"
"Mauritania","*","*","*","*","*","*","*","*"
"Mauritius","*",1,2,2,3,8,3,8
"Mayotte","*","*","*","*","*","*",0,0
"Mexico",84,97,122,131,144,157,117,97
"Moldova","*","*","*","*",1,"*","*",1
"Monaco",1,2,2,2,3,2,2,2
"Mongolia","*","*","*","*","*","*","*","*"
"Montenegro (1)","n.a.","n.a.","n.a.","n.a.","*","*","*","*"
"Montserrat","*","*","*","*","*","*","*","*"
"Morocco",1,1,1,1,1,2,3,2
"Mozambique","*","*","*",1,1,"*","*","*"
"Namibia","*","*","*","*","*",1,1,1
"Nauru","*","*","*","*","*","*","*","*"
"Nepal","*","*","*","*","*",1,1,1
"Netherlands",247,260,251,270,303,318,350,398
"Netherlands Antilles (1)",14,11,7,6,"n.a.","n.a.","n.a.","n.a."
"New Caledonia","*","*","*","*","*","*","*","*"
"New Zealand",12,13,15,15,19,20,19,27
"Nicaragua","*",1,1,"*","*",1,1,"*"
"Niger","*","*","*","*","*","*","*","*"
"Nigeria",4,4,4,4,4,3,3,3
"Niue","*","*","*","*","*","*",0,0
"Norway",136,181,213,254,297,309,306,340
"Oman",25,28,21,26,28,29,22,23
"Pakistan",2,2,2,2,1,2,2,4
"Palau","*","*","*","*","*","*","*","*"
"Panama",13,14,15,15,16,17,19,22
"Papua New Guinea","*","*","*","*","*","*","*","*"
"Paraguay","*","*","*","*","*","*","*","*"
"Peru",12,17,21,31,26,29,28,29
"Philippines",21,30,37,39,37,42,46,43
"Pitcairn Island","*","*","*","*","*","*","*","*"
"Poland",28,33,32,35,33,32,37,36
"Portugal",5,6,5,6,7,6,9,8
"Qatar",6,7,4,8,7,7,10,7
"Reunion","*","*","*","*","*","*","*","*"
"Romania",6,8,6,6,7,2,4,3
"Russia",170,154,165,139,115,73,91,103
"Rwanda","*","*","*","*","*","*","*","*"
"Saint Helena","*",0,"*",0,0,0,0,0
"Saint Kitts and Nevis",1,1,2,2,2,2,3,3
"Saint Lucia","*","*","*","*","*","*","*","*"
"Saint Martin & Saint Barthelemy (1)","n.a.","n.a.","n.a.","n.a.","*","*","*","*"
"Saint Pierre and Miquelon","*","*","*","*","*",0,0,0
"Saint Vincent and the Grenadines","*","*","*","*","*","*","*","*"
"Samoa","*","*","*","*","*","*","*","*"
"San Marino","*","*","*","*","*","*","*","*"
"Sao Tome and Principe",0,"*",0,"*","*",0,0,0
"Saudi Arabia",125,138,154,170,194,184,152,202
"Senegal","*","*","*","*","*","*","*","*"
"Serbia and Montenegro (1)",2,2,2,2,2,2,2,2
"Seychelles","*","*","*","*","*","*","*","*"
"Sierra Leone","*","*","*","*","*","*","*","*"
"Singapore",176,212,241,272,307,331,321,348
"Sint Maarten (1)","n.a.","n.a.","n.a.","n.a.","*","*","*","*"
"Slovakia","*","*","*","*","*","*","*","*"
"Slovenia",1,1,1,1,2,2,2,2
"Solomon Islands","*",0,0,"*","*","*","*","*"
"Somalia","*","*","*","*","*","*","*","*"
"South Africa",17,14,17,18,24,21,20,22
"South Sudan","n.a.","n.a.","n.a.","n.a.","*","*","*","*"
"Spain",26,28,38,34,37,48,59,60
"Sri Lanka",1,1,1,1,1,"*","*",1
"Sudan","*","*","*","*","*","*","*","*"
"Suriname","*","*","*","*","*","*","*","*"
"Swaziland","*","*","*","*","*","*","*","*"
"Sweden",81,108,112,135,157,169,165,180
"Switzerland",397,488,566,581,634,708,742,824
"Syria","*","*","*","*","*","*","*","*"
"Taiwan",228,232,369,372,397,454,519,565
"Tajikistan","*","*","*","*","*","*","*","*"
"Tanzania",1,1,1,2,2,2,1,2
"Thailand",38,58,57,54,46,37,55,79
"Togo","*","*","*","*","*","*","*","*"
"Tokelau","*","*",0,"*","*","*","*","*"
"Tonga","*","*","*","*","*","*","*","*"
"Trinidad and Tobago",7,8,9,10,10,10,9,10
"Tunisia",1,"*","*",1,1,1,1,1
"Turkey",26,43,29,59,53,76,59,59
"Turkmenistan","*","*","*","*","*","*","*","*"
"Turks and Caicos Islands","*",1,1,"*",1,1,1,1
"Tuvalu","*","*","*",0,0,"*",0,0
"Uganda","*",1,1,1,1,1,1,1
"Ukraine",7,8,7,6,2,4,6,2
"United Arab Emirates",86,111,136,138,155,167,161,147
"United Kingdom",798,982,1008,1116,1289,1448,1427,1493
"Uruguay",9,9,12,11,12,12,10,10
"Uzbekistan","*","*","*","*","*","*","*","*"
"Vanuatu","*","*","*","*","*","*","*","*"
"Venezuela",9,9,9,9,9,6,5,6
"Vietnam",5,4,7,10,14,14,14,14
"Wallis and Futuna","*","*","*","*","*","*","*","*"
"West Bank and Gaza","*","*","*","*","*","*","*","*"
"Western Sahara","*","*","*","*","*","*",0,0
"Yemen",1,1,1,1,1,1,"*","*"
"Zambia","*","*","*","*","*","*","*","*"
"Zimbabwe","*","*","*","*","*","*","*","*"
"International and regional organizatio",78,96,105,99,110,98,96,88
"Country Unknown",138,138,89,51,85,99,82,64
"Total",10691,12440,13261,14410,16417,17134,17139,18412
""
""
"* Greater than zero but less than $500 million."
"n.a. Not available."
""
"1. Separate reporting for certain country groups began with the 2014 survey."
""
"Entries for Bonaire, Sint Eustatius, and Saba; Curacao; and Sint Maarten were previously reported together as Netherlands Antilles."
""
"Entries for Guadeloupe and for Saint Martin and Saint Barthelemy were previously reported together as Guadeloupe."
""
"Entries for Kosovo, Montenegro, and Serbia were previously reported together as Serbia."
""
"2. Excludes Hong Kong and Macau, which are reported separately."
""
""
""
