,Total ST,Treasury,Agency,Corp,Corp CP,Corp CP Asset-backed
Montserrat,*,*,0.00,0.00,0.00,0.00
Morocco,*,*,0.00,0.00,0.00,0.00
Mozambique,*,*,0.00,0.00,0.00,0.00
Namibia,*,*,0.00,0.00,0.00,0.00
Nauru,0.00,0.00,0.00,0.00,0.00,0.00
Nepal,*,*,0.00,*,0.00,0.00
Netherlands,4883.80,3149.72,*,1651.63,1524.81,0.00
Netherlands Antilles,*,*,*,*,NA,NA
New Caledonia,0.00,0.00,0.00,0.00,0.00,0.00
New Zealand,2116.47,2086.15,0.00,*,*,0.00
Nicaragua,*,*,0.00,*,0.00,0.00
Niger,0.00,0.00,0.00,0.00,0.00,0.00
Nigeria,*,*,*,*,*,0.00
Niue,0.00,0.00,0.00,0.00,0.00,0.00
Norway,523.01,516.27,0.00,*,*,0.00
Oman,1790.96,1763.89,*,*,*,0.00
Pakistan,*,*,0.00,*,0.00,0.00
Palau,*,0.00,0.00,*,0.00,0.00
Panama,7282.72,5446.35,0.00,1836.37,1017.67,0.00
Papua New Guinea,0.00,0.00,0.00,0.00,0.00,0.00
Paraguay,*,*,0.00,*,*,0.00
Peru,2108.57,2026.94,0.00,*,0.00,0.00
Philippines,2217.65,2208.93,*,*,0.00,0.00
Pitcairn Island,*,*,0.00,0.00,0.00,0.00
Poland,5085.61,5083.97,0.00,*,0.00,0.00
Portugal,*,*,*,*,0.00,0.00
Qatar,863.77,862.96,0.00,*,0.00,0.00
Reunion,0.00,0.00,0.00,0.00,0.00,0.00
Romania,*,*,0.00,*,0.00,0.00
Russia,*,*,0.00,*,0.00,0.00
Rwanda,0.00,0.00,0.00,0.00,0.00,0.00
Saint Helena,0.00,0.00,0.00,0.00,0.00,0.00
Saint Kitts and Nevis,1277.54,1270.22,*,*,0.00,0.00
Saint Lucia,*,*,0.00,*,0.00,0.00
Saint Martin and Saint Barthelemy,*,0.00,0.00,*,0.00,0.00
Saint Pierre and Miquelon,*,*,0.00,0.00,0.00,0.00
Saint Vincent and the Grenadines,*,*,0.00,*,0.00,0.00
Samoa,*,*,0.00,*,0.00,0.00
San Marino,*,*,0.00,0.00,0.00,0.00
Sao Tome and Principe,0.00,0.00,0.00,0.00,0.00,0.00
Saudi Arabia,34949.24,30853.06,*,4056.93,*,0.00
Senegal,*,*,0.00,0.00,0.00,0.00
Serbia,*,*,0.00,*,0.00,0.00
Seychelles,*,*,0.00,*,0.00,0.00
Sierra Leone,*,*,0.00,0.00,0.00,0.00
Singapore,11746.65,10590.84,*,967.38,*,0.00
Sint Maarten,*,*,0.00,*,0.00,0.00
Slovakia,*,*,0.00,0.00,0.00,0.00
Slovenia,*,*,0.00,0.00,0.00,0.00
Solomon Islands,0.00,0.00,0.00,0.00,0.00,0.00
Somalia,0.00,0.00,0.00,0.00,0.00,0.00
South Africa,5819.03,5818.33,0.00,*,0.00,0.00
South Sudan,0.00,0.00,0.00,0.00,0.00,0.00
Spain,3277.72,2973.52,0.00,*,*,0.00
Sri Lanka,*,*,0.00,*,0.00,0.00
Sudan,0.00,0.00,0.00,0.00,0.00,0.00
Suriname,*,*,0.00,*,0.00,0.00
Eswatini,*,*,0.00,0.00,0.00,0.00
Sweden,772.50,608.77,*,*,*,0.00
Switzerland,60252.92,58734.21,*,1511.99,1278.51,0.00
Syria,0.00,0.00,0.00,0.00,0.00,0.00
Taiwan,4317.15,3153.52,*,1113.59,565.38,0.00
Tajikistan,*,*,0.00,0.00,0.00,0.00
Tanzania,0.00,0.00,0.00,0.00,0.00,0.00
Thailand,29781.02,29772.63,0.00,*,*,0.00
Togo,*,*,0.00,0.00,0.00,0.00
Tokelau,0.00,0.00,0.00,0.00,0.00,0.00
Tonga,0.00,0.00,0.00,0.00,0.00,0.00
Trinidad and Tobago,1895.45,1818.19,0.00,*,*,0.00
Tunisia,*,*,0.00,*,0.00,0.00
Turkey,*,*,0.00,*,0.00,0.00
Turkmenistan,0.00,0.00,0.00,0.00,0.00,0.00
Turks and Caicos Isl.,*,*,*,*,0.00,0.00
Tuvalu,0.00,0.00,0.00,0.00,0.00,0.00
Uganda,*,*,0.00,0.00,0.00,0.00
Ukraine,*,*,0.00,0.00,0.00,0.00
United Arab Emirates,13307.01,12841.77,0.00,*,*,0.00
United Kingdom,107273.79,98291.33,*,8914.56,5123.32,0.00
Uruguay,6854.72,6346.09,0.00,508.63,*,0.00
Uzbekistan,*,*,0.00,0.00,0.00,0.00
Vanuatu,*,*,0.00,0.00,0.00,0.00
Venezuela,*,*,0.00,*,*,0.00
Vietnam,*,*,0.00,*,0.00,0.00
Wallis and Futuna,0.00,0.00,0.00,0.00,0.00,0.00
West Bank and Gaza,*,*,0.00,0.00,0.00,0.00
Western Sahara,0.00,0.00,0.00,0.00,0.00,0.00
Yemen,0.00,0.00,0.00,0.00,0.00,0.00
Zambia,*,*,0.00,0.00,0.00,0.00
Zimbabwe,*,*,0.00,0.00,0.00,0.00
Int. and reg. org.,30714.53,21798.75,*,8914.80,3123.96,0.00
Country Unknown,*,*,0.00,*,0.00,0.00
Total Africa,9917.52,9856.16,*,*,*,0.00
Total Asia,280792.09,253195.53,897.29,26699.26,13219.01,0.00
Total Caribbean,255840.67,247217.62,1289.41,7333.64,3612.99,0.00
Total Europe,628822.96,469774.87,3741.71,155306.36,77656.15,0.00
Total Latin America,58658.13,54008.89,*,4637.09,2312.48,0.00
Australia/Oceania,12252.94,11058.09,*,1166.24,580.09,0.00
Total,1314462.45,1100406.98,6511.33,207544.14,103551.15,0.00
Holdings of FOI,274382.37,265665.82,*,8530.27,2274.45,0.00

