,Total,LT Treasury Total,LT Treasury Nominal,LT Treasury TIPS,LT Treasury FRN,ST Treasury Total
Costa Rica,4027.40,3013.52,2976.15,*,*,1013.88
Cote d`Ivoire,0.00,0.00,0.00,0.00,0.00,0.00
Croatia,2099.72,1875.76,1869.59,*,*,*
Cuba,0.00,0.00,0.00,0.00,0.00,0.00
Curacao,2502.05,1507.51,1500.40,*,*,994.54
Cyprus,787.16,*,*,*,*,*
Czech Republic,30574.29,30484.35,29680.65,803.70,0.00,*
Denmark,12718.58,9440.21,7321.16,2119.05,0.00,3278.37
Djibouti,0.00,0.00,0.00,0.00,0.00,0.00
Dominica,*,*,*,0.00,0.00,*
Dominican Republic,7401.43,7066.63,7048.77,*,*,*
East Timor,10263.93,10263.93,9049.70,1214.23,0.00,0.00
Ecuador,1218.90,*,*,*,*,982.29
Egypt,*,*,*,*,0.00,*
El Salvador,867.50,550.61,538.82,*,*,*
Equatorial Guinea,*,*,*,0.00,0.00,*
Eritrea,0.00,0.00,0.00,0.00,0.00,0.00
Estonia,*,*,*,*,*,*
Ethiopia,*,*,*,0.00,*,0.00
Falkland Islands,0.00,0.00,0.00,0.00,0.00,0.00
Faroe Islands,0.00,0.00,0.00,0.00,0.00,0.00
Federated States of Micronesia,*,*,*,0.00,0.00,*
Fiji,0.00,0.00,0.00,0.00,0.00,0.00
Finland,6635.47,6302.19,6082.68,*,*,*
France,300255.01,283054.22,228552.54,52087.44,2414.24,17200.79
French Guiana,*,*,*,*,0.00,0.00
French Polynesia,*,*,*,0.00,0.00,*
Gabon,*,*,*,0.00,0.00,0.00
Gambia,*,*,*,0.00,0.00,*
Georgia,*,*,*,0.00,0.00,*
Germany,89439.89,76244.42,66417.68,8900.80,925.94,13195.47
Ghana,1335.28,1225.59,1217.87,*,0.00,*
Gibraltar,*,*,*,*,0.00,*
Greece,3198.09,2277.42,2276.26,*,*,920.67
Greenland,0.00,0.00,0.00,0.00,0.00,0.00
Grenada,*,*,*,0.00,0.00,*
Guadeloupe,0.00,0.00,0.00,0.00,0.00,0.00
Guatemala,11138.51,9575.22,9226.32,*,*,1563.29
Guernsey,8580.38,6546.43,5976.98,*,*,2033.95
Guinea,0.00,0.00,0.00,0.00,0.00,0.00
Guinea-Bissau,0.00,0.00,0.00,0.00,0.00,0.00
Guyana,*,*,*,0.00,0.00,*
Haiti,521.06,*,*,*,*,*
Holy See (Vatican),*,*,*,0.00,0.00,0.00
Honduras,3494.13,3393.25,3372.42,*,*,*
Hong Kong,226070.88,193363.15,182898.03,6070.99,4394.13,32707.73
Hungary,1227.11,574.98,557.50,*,0.00,652.13
Iceland,734.55,*,*,*,0.00,*
India,241640.24,233019.95,233018.97,*,*,8620.29
Indonesia,20823.73,18364.31,18301.84,*,0.00,2459.42
Iran,*,*,*,0.00,0.00,*
Iraq,22871.01,22871.01,22871.01,0.00,0.00,0.00
Ireland,334115.58,241855.16,202446.69,26306.53,13101.93,92260.43
Isle of Man,1584.04,1170.30,1166.99,*,0.00,*
Israel,69163.93,60545.51,59169.23,1349.49,*,8618.42
Italy,53924.82,45459.45,43667.76,1771.97,*,8465.37
Jamaica,1234.26,785.70,759.79,*,*,*
Japan,1089810.15,1015562.63,1001814.66,13484.30,*,74247.52
Jersey,5119.12,3454.95,2650.76,638.03,*,1664.17
Jordan,2660.45,2660.28,2660.28,0.00,0.00,*
Kazakhstan,7165.63,2372.11,2372.11,0.00,0.00,4793.52
Kenya,3349.77,3342.88,3339.88,0.00,*,*
Kiribati,0.00,0.00,0.00,0.00,0.00,0.00
"Korea, South",116197.26,112259.59,106355.67,5468.95,*,3937.67
Kosovo,*,0.00,0.00,0.00,0.00,*
Kuwait,46394.54,45087.77,17759.03,27217.53,*,1306.77
Kyrgyzstan,0.00,0.00,0.00,0.00,0.00,0.00
Laos,0.00,0.00,0.00,0.00,0.00,0.00
Latvia,*,*,*,0.00,*,*
Lebanon,*,*,*,0.00,*,*
Lesotho,*,*,*,*,*,*
Liberia,*,*,*,0.00,*,*
Libya,2116.52,1268.60,1268.60,0.00,0.00,847.92
Liechtenstein,*,*,*,*,0.00,*
Lithuania,2007.60,1914.33,1472.40,*,*,*
Luxembourg,369085.99,272367.56,243916.23,24589.00,3862.34,96718.43
Macau,1251.01,1170.51,1089.98,*,0.00,*
Macedonia,0.00,0.00,0.00,0.00,0.00,0.00
Madagascar,1106.43,1106.43,1104.48,*,0.00,0.00
Malawi,*,*,*,0.00,0.00,0.00
Malaysia,13230.63,13132.95,11977.35,1155.60,0.00,*
Maldives,*,*,*,0.00,0.00,0.00
Mali,*,0.00,0.00,0.00,0.00,*
Malta,502.06,*,*,*,*,*
Marshall Islands,1072.72,*,*,*,*,926.93
Martinique,0.00,0.00,0.00,0.00,0.00,0.00
Mauritania,*,*,*,*,0.00,0.00
Mauritius,1381.14,1137.56,1117.66,*,*,*
Mayotte,0.00,0.00,0.00,0.00,0.00,0.00
Mexico,94209.32,79987.53,49528.71,8397.85,22060.97,14221.79
Moldova,2580.46,2542.24,2538.43,*,0.00,*
Monaco,1328.86,662.17,627.34,*,*,666.69
Mongolia,*,*,*,0.00,0.00,*
Montenegro,0.00,0.00,0.00,0.00,0.00,0.00
Montserrat,*,*,*,0.00,0.00,*
Morocco,2987.90,2837.67,2829.24,*,0.00,*
Mozambique,*,*,*,*,*,*
Namibia,*,*,*,*,*,*
Nauru,0.00,0.00,0.00,0.00,0.00,0.00
Nepal,2951.22,2701.97,2701.97,0.00,0.00,*
Netherlands,71812.92,68663.20,67038.20,1618.44,*,3149.72
Netherlands Antilles,*,*,*,NA,NA,*
New Caledonia,0.00,0.00,0.00,0.00,0.00,0.00
New Zealand,10682.89,8596.74,8395.02,*,*,2086.15
Nicaragua,*,*,*,0.00,0.00,*
Niger,0.00,0.00,0.00,0.00,0.00,0.00
Nigeria,6551.69,6550.87,6528.98,*,0.00,*
Niue,0.00,0.00,0.00,0.00,0.00,0.00
Norway,155214.03,154697.76,141165.89,13529.43,*,516.27
Oman,8639.93,6876.04,6822.38,*,*,1763.89
Pakistan,*,*,*,*,0.00,*
Palau,*,*,*,0.00,0.00,0.00
Panama,9632.60,4186.25,4084.19,*,*,5446.35
Papua New Guinea,*,*,*,0.00,0.00,0.00
Paraguay,6309.38,6146.89,6134.74,*,*,*
Peru,39540.70,37513.76,37399.83,*,*,2026.94
Philippines,59617.54,57408.61,48754.41,8654.20,0.00,2208.93
Pitcairn Island,*,0.00,0.00,0.00,0.00,*
Poland,47163.63,42079.66,42057.34,*,0.00,5083.97
Portugal,6062.97,5638.57,5533.43,*,*,*
Qatar,28058.63,27195.67,27195.06,*,0.00,862.96
Reunion,0.00,0.00,0.00,0.00,0.00,0.00
Romania,7691.87,7652.98,7652.64,*,0.00,*
Russia,*,*,*,*,0.00,*
Rwanda,923.97,923.97,887.23,*,0.00,0.00
Saint Helena,0.00,0.00,0.00,0.00,0.00,0.00
Saint Kitts and Nevis,2480.82,1210.60,1194.16,*,*,1270.22
Saint Lucia,627.70,*,*,*,0.00,*
Saint Martin and Saint Barthelemy,*,*,*,0.00,0.00,0.00
Saint Pierre and Miquelon,*,0.00,0.00,0.00,0.00,*
Saint Vincent and the Grenadines,*,*,*,0.00,0.00,*
Samoa,*,*,*,0.00,0.00,*
San Marino,*,*,*,0.00,0.00,*
Sao Tome and Principe,*,*,*,0.00,0.00,0.00
Saudi Arabia,139889.72,109036.66,104438.88,4056.38,541.40,30853.06
Senegal,*,*,*,*,0.00,*
Serbia,2400.50,2400.36,2380.91,*,0.00,*
Seychelles,*,*,*,*,*,*
Sierra Leone,*,0.00,0.00,0.00,0.00,*
Singapore,212947.05,202356.21,110202.54,92058.95,*,10590.84
Sint Maarten,*,*,*,0.00,0.00,*
Slovakia,656.42,515.10,514.65,*,*,*
Slovenia,*,*,*,0.00,*,*
Solomon Islands,*,*,*,0.00,0.00,0.00
Somalia,0.00,0.00,0.00,0.00,0.00,0.00
South Africa,16242.45,10424.12,8803.57,1604.62,*,5818.33
South Sudan,0.00,0.00,0.00,0.00,0.00,0.00
Spain,64931.81,61958.28,57927.03,4027.43,*,2973.52
Sri Lanka,*,*,*,0.00,0.00,*
Sudan,0.00,0.00,0.00,0.00,0.00,0.00
Suriname,*,*,*,0.00,0.00,*
Eswatini,*,*,*,*,*,*
Sweden,46507.40,45898.63,42920.35,2977.56,*,608.77
Switzerland,284628.40,225894.19,201233.32,23863.66,797.21,58734.21
Syria,0.00,0.00,0.00,0.00,0.00,0.00
Taiwan,267962.38,264808.86,256732.46,7998.70,*,3153.52
Tajikistan,*,*,*,*,*,*
Tanzania,1876.53,1876.53,1873.53,0.00,*,0.00
Thailand,75403.12,45630.49,43289.00,2341.45,*,29772.63
Togo,*,*,*,0.00,0.00,*
Tokelau,0.00,0.00,0.00,0.00,0.00,0.00
Tonga,0.00,0.00,0.00,0.00,0.00,0.00
Trinidad and Tobago,4157.48,2339.29,2265.34,*,*,1818.19
Tunisia,*,*,*,*,*,*
Turkey,3433.72,3200.25,3200.14,0.00,*,*
Turkmenistan,0.00,0.00,0.00,0.00,0.00,0.00
Turks and Caicos Isl.,531.07,*,*,*,*,*
Tuvalu,0.00,0.00,0.00,0.00,0.00,0.00
Uganda,1026.59,635.30,632.35,*,*,*
Ukraine,15698.46,15275.52,15267.52,0.00,*,*
United Arab Emirates,69918.66,57076.89,55543.41,1075.90,*,12841.77
United Kingdom,739482.37,641191.04,527041.75,93312.32,20836.97,98291.33
Uruguay,18661.24,12315.15,12237.80,*,0.00,6346.09
Uzbekistan,*,*,*,*,*,*
Vanuatu,*,*,*,0.00,0.00,*
Venezuela,863.10,*,*,*,0.00,*
Vietnam,27740.17,27739.23,27739.11,0.00,*,*
Wallis and Futuna,0.00,0.00,0.00,0.00,0.00,0.00
West Bank and Gaza,*,*,*,0.00,0.00,*
Western Sahara,0.00,0.00,0.00,0.00,0.00,0.00
Yemen,0.00,0.00,0.00,0.00,0.00,0.00
Zambia,*,*,*,*,*,*
Zimbabwe,*,0.00,0.00,0.00,0.00,*
Int. and reg. org.,96745.73,74946.98,64283.98,10047.72,615.28,21798.75
Country Unknown,*,*,*,0.00,0.00,*
Total Africa,44220.61,34364.45,32600.29,1730.60,*,9856.16
Total Asia,3547172.14,3293976.61,2960038.13,327534.89,6403.59,253195.53
Total Caribbean,546336.68,299119.06,236155.79,50404.17,12559.10,247217.62
Total Europe,3017809.87,2548035.00,2219275.31,269265.02,59494.67,469774.87
Total Latin America,509024.58,455015.69,391585.30,36830.23,26600.16,54008.89
Australia/Oceania,76585.64,65527.55,63044.98,1738.27,744.30,11058.09
Total,8210910.70,7110503.72,6254542.68,745418.86,110542.18,1100406.98
Holdings of FOI,3822986.56,3557320.74,3134969.09,390258.91,32092.74,265665.82

