                                                                                    
                                                                                    
                                                                                    
                                                                                    
                                                                                    
Table A7.  Foreign Holdings of U.S. Securities, by Country, as of End-June

 Billions of dollars
                                              June            June            June            June            June            June            June            June
  Papua New Guinea                                     *               *               *               *               *               *               *               *
  Paraguay                                             *               *               *               *               *               *               *               1
  Peru                                                21              31              26              29              28              29              32              36
  Philippines                                         37              39              37              42              46              43              36              38
  Pitcairn Island                                      *               *               *               *               *               *               *               *
  Poland                                              32              35              33              32              37              36              43              30
  Portugal                                             5               6               7               6               9               8               7               9
  Qatar                                                4               8               7               7              10               7              11              33
  Reunion                                              *               *               *               *               *               *               *               *
  Romania                                              6               6               7               2               4               3               8               8
  Russia                                             165             139             115              73              91             103              15              11
  Rwanda                                               *               *               *               *               *               *               *               *
  Saint Helena                                         *               0               0               0               0               0               0               0
  Saint Kitts and Nevis                                2               2               2               2               3               3               4               8
  Saint Lucia                                          *               *               *               *               *               *               *               *
  Saint Martin & Saint Barthelemy (1)               n.a.            n.a.               *               *               *               *               *               *
  Saint Pierre and Miquelon                            *               *               *               0               0               0               0               0
  Saint Vincent and the Grenadines                     *               *               *               *               *               *               *               *
  Samoa                                                *               *               *               *               *               *               *               *
  San Marino                                           *               *               *               *               *               *               *               *
  Sao Tome and Principe                                0               *               *               0               0               0               *               *
  Saudi Arabia                                       154             170             194             184             152             202             233             289
  Senegal                                              *               *               *               *               *               *               *               *
  Serbia and Montenegro (1)                            2               2               2               2               2               2               2               2
  Seychelles                                           *               *               *               *               *               *               *               *
  Sierra Leone                                         *               *               *               *               *               *               *               *
  Singapore                                          241             272             307             331             321             348             353             363
  Sint Maarten (1)                                  n.a.            n.a.               *               *               *               *               *               *
  Slovakia                                             *               *               *               *               *               *               *               1
  Slovenia                                             1               1               2               2               2               2               2               2
  Solomon Islands                                      0               *               *               *               *               *               *               *
  Somalia                                              *               *               *               *               *               *               *               *
  South Africa                                        17              18              24              21              20              22              39              26
  South Sudan                                       n.a.            n.a.               *               *               *               *               *               0
  Spain                                               38              34              37              48              59              60              55              68
  Sri Lanka                                            1               1               1               *               *               1               3               2
  Sudan                                                *               *               *               *               *               *               *               *
  Suriname                                             *               *               *               *               *               *               *               1
  Swaziland                                            *               *               *               *               *               *               *               *
  Sweden                                             112             135             157             169             165             180             216             236
  Switzerland                                        566             581             634             708             742             824             813             813
  Syria                                                *               *               *               *               *               *               *               *
  Taiwan                                             369             372             397             454             519             565             577             626
  Tajikistan                                           *               *               *               *               *               *               *               *
  Tanzania                                             1               2               2               2               1               2               2               1
  Thailand                                            57              54              46              37              55              79              77             104
  Togo                                                 *               *               *               *               *               *               *               *
  Tokelau                                              0               *               *               *               *               *               *               *
  Tonga                                                *               *               *               *               *               *               *               *
  Trinidad and Tobago                                  9              10              10              10               9              10              10              11
  Tunisia                                              *               1               1               1               1               1               1               1
  Turkey                                              29              59              53              76              59              59              30               3
  Turkmenistan                                         *               *               *               *               *               *               *               *
  Turks and Caicos Islands                             1               *               1               1               1               1               1               1
  Tuvalu                                               *               0               0               *               0               0               0               0
  Uganda                                               1               1               1               1               1               1               1               1
  Ukraine                                              7               6               2               4               6               2               4               4
  United Arab Emirates                               136             138             155             167             161             147             156             160
  United Kingdom                                    1008            1116            1289            1448            1427            1493            1598            1776
  Uruguay                                             12              11              12              12              10              10              11              13
  Uzbekistan                                           *               *               *               *               *               *               *               *
  Vanuatu                                              *               *               *               *               *               *               *               *
  Venezuela                                            9               9               9               6               5               6               6               7
  Vietnam                                              7              10              14              14              14              14              20              25
  Wallis and Futuna                                    *               *               *               *               *               *               *               *
  West Bank and Gaza                                   *               *               *               *               *               *               *               *
  Western Sahara                                       *               *               *               *               0               0               0               0
  Yemen                                                1               1               1               1               *               *               *               *
  Zambia                                               *               *               *               *               *               *               *               *
  Zimbabwe                                             *               *               *               *               *               *               *               *
  International and regional organizatio             105              99             110              98              96              88              86              84
  Country Unknown                                     89              51              85              99              82              64              79              56
  Total                                            13261           14410           16417           17134           17139           18412           19400           20534


* Greater than zero but less than $500 million.
n.a. Not available.

1. Separate reporting for certain country groups began with the 2014 survey.
    Entries for Bonaire, Sint Eustatius, and Saba; Curacao; and Sint Maarten were previously reported together as Netherlands Antilles.
    Entries for Guadeloupe and for Saint Martin and Saint Barthelemy were previously reported together as Guadeloupe.
    Entries for Kosovo, Montenegro, and Serbia were previously reported together as Serbia.

2. Excludes Hong Kong and Macau, which are reported separately.



