"Table A9.  Foreign Holdings of U.S. Long-Term Debt Securities, by Country, as of End-June"
""
"Billions of dollars"
"","June","June","June","June","June","June","June","June"
"San Marino","*","*",0,0,0,0,0,"*"
"Saudi Arabia",85,95,108,126,112,114,121,150
"Senegal","*","*",0,0,"*","*","*","*"
"Serbia and Montenegro (1)",1,1,1,1,1,2,2,2
"Seychelles","*","*","*","*","*","*","*","*"
"Sierra Leone","*","*","*",0,0,0,0,0
"Singapore",127,138,155,174,171,164,162,171
"Sint Maarten (1)","n.a.","n.a.","*","*","*","*","*","*"
"Slovakia","*","*","*","*","*","*","*","*"
"Slovenia","*","*","*",1,1,1,1,1
"Solomon Islands",0,0,"*","*","*","*","*","*"
"Somalia","*","*",0,0,0,0,0,0
"South Africa",14,14,15,11,11,12,18,10
"Spain",25,23,26,35,44,41,36,45
"Sri Lanka",1,1,1,"*","*",1,3,2
"Suriname","*","*","*","*","*","*","*","*"
"Swaziland","*","*","*","*","*","*","*","*"
"Sweden",41,36,40,44,46,50,53,55
"Switzerland",277,284,279,338,359,378,331,322
"Syria","*","*","*","*","*","*","*","*"
"Taiwan",349,346,364,416,473,505,510,554
"Tanzania",1,2,2,2,1,2,2,1
"Thailand",20,12,15,16,25,64,54,77
"Togo","*","*","*","*","*","*","*","*"
"Tonga",0,0,0,"*","*","*","*",0
"Trinidad and Tobago",6,6,7,7,7,7,6,7
"Tunisia","*","*","*","*","*","*","*","*"
"Turkey",12,18,25,19,25,23,13,2
"Turkmenistan",0,0,0,0,0,0,0,"*"
"Turks and Caicos Islands","*","*","*","*","*","*","*","*"
"Uganda","*","*",1,"*",1,1,"*",1
"Ukraine",7,6,2,4,6,2,1,4
"United Arab Emirates",40,34,50,65,63,58,57,46
"United Kingdom",491,502,511,574,646,608,629,716
"Uruguay",10,9,8,8,6,6,7,7
"Uzbekistan","*","*","*","*","*","*","*","*"
"Vanuatu","*",0,0,0,0,"*","*","*"
"Venezuela",6,6,5,2,2,2,2,3
"Vietnam",7,10,14,14,14,14,20,25
"West Bank and Gaza",0,"*","*",0,0,0,0,"*"
"Western Sahara",0,0,"*","*",0,0,0,0
"Yemen",1,1,1,1,"*","*","*","*"
"Zambia","*","*","*","*","*","*","*","*"
"Zimbabwe","*","*","*","*","*","*","*","*"
"International and regional organizatio",92,86,97,84,78,68,61,58
"Country Unknown",88,51,81,98,82,64,79,55
"Total",8213,8462,9183,9547,10044,10292,10282,10991
""
""
"* Greater than zero but less than $500 million."
"n.a. Not available."
""
"1. Separate reporting for certain country groups began with the 2014 survey."
"Entries for Bonaire, Sint Eustatius, and Saba; Curacao; and Sint Maarten were previously reported together as Netherlands Antilles."
"Entries for Guadeloupe and for Saint Martin and Saint Barthelemy were previously reported together as Guadeloupe."
"Entries for Kosovo, Montenegro, and Serbia were previously reported together as Serbia."
""
"2. Excludes Hong Kong and Macau, which are reported separately."
""
""
""
