,Total ST,Treasury,Agency,Corp,Corp CP,Corp CP Asset-backed
Vietnam,*,*,0.00,*,0.00,0.00
Wallis and Futuna,0.00,0.00,0.00,0.00,0.00,0.00
West Bank and Gaza,*,*,0.00,0.00,0.00,0.00
Western Sahara,0.00,0.00,0.00,0.00,0.00,0.00
Yemen,0.00,0.00,0.00,0.00,0.00,0.00
Zambia,*,*,0.00,0.00,0.00,0.00
Zimbabwe,*,*,0.00,0.00,0.00,0.00
Int. and reg. org.,41178.11,30036.34,*,11018.61,5925.16,0.00
Country Unknown,0.00,0.00,0.00,0.00,0.00,0.00
Total Africa,9671.51,9560.32,0.00,*,*,0.00
Total Asia,457622.80,439565.41,616.76,17440.63,11580.70,0.00
Total Caribbean,250312.73,244115.97,988.44,5208.31,2720.09,0.00
Total Europe,690618.12,500573.17,6108.66,183936.33,106289.84,0.00
Euro area countries,505567.44,325070.42,5984.97,174512.09,98848.38,0.00
Total Latin America,146119.85,142684.09,*,3435.71,1856.01,0.00
Total Oceania,14218.20,11796.32,*,2405.25,*,0.00
Total,1649163.70,1411424.49,9033.64,228705.57,133476.67,0.00
Holdings of FOI,404622.13,399483.16,*,4949.64,2851.78,0.00

