,Total,LT Treasury Total,LT Treasury Nominal,LT Treasury TIPS,LT Treasury FRN,ST Treasury Total
Iran,0.00,0.00,0.00,0.00,0.00,0.00
Iraq,10747.50,10747.50,10747.50,0.00,0.00,0.00
Ireland,315959.57,219785.48,181719.80,29296.18,8769.50,96174.09
Isle of Man,1616.44,1252.88,1246.93,*,*,*
Israel,101622.57,75418.04,74444.53,*,*,26204.53
Italy,59763.42,55102.35,52241.43,2859.71,*,4661.07
Jamaica,1667.04,1153.70,1152.96,*,*,513.34
Japan,1147505.66,1023936.97,1010834.62,12904.60,*,123568.69
Jersey,6557.57,5012.07,3550.63,1332.62,*,1545.50
Jordan,2677.06,2675.47,2675.47,0.00,0.00,*
Kazakhstan,9317.35,3086.27,3086.21,*,0.00,6231.08
Kenya,5416.41,5025.82,5025.82,0.00,0.00,*
Kiribati,0.00,0.00,0.00,0.00,0.00,0.00
"Korea, South",126472.11,119546.43,115148.63,4135.78,*,6925.68
Kosovo,*,*,*,0.00,0.00,*
Kuwait,58208.51,57125.71,24228.72,32816.36,*,1082.80
Kyrgyzstan,0.00,0.00,0.00,0.00,0.00,0.00
Laos,0.00,0.00,0.00,0.00,0.00,0.00
Latvia,*,*,*,*,0.00,*
Lebanon,*,*,*,0.00,*,*
Lesotho,*,*,*,*,0.00,*
Liberia,*,*,*,0.00,0.00,*
Libya,1506.62,1406.83,1406.83,0.00,0.00,*
Liechtenstein,577.94,*,*,*,*,*
Lithuania,2098.87,2035.72,1533.83,501.90,0.00,*
Luxembourg,401651.10,308148.03,277041.82,25306.12,5800.09,93503.07
Macau,6271.77,5984.55,5843.44,*,0.00,*
Macedonia,0.00,0.00,0.00,0.00,0.00,0.00
Madagascar,1594.67,1594.67,1594.67,0.00,0.00,0.00
Malawi,*,*,*,0.00,0.00,0.00
Malaysia,15337.72,15259.83,13895.26,1364.57,0.00,*
Maldives,*,*,*,0.00,0.00,0.00
Mali,0.00,0.00,0.00,0.00,0.00,0.00
Malta,551.87,*,*,*,0.00,*
Marshall Islands,867.31,*,*,*,0.00,534.48
Martinique,0.00,0.00,0.00,0.00,0.00,0.00
Mauritania,*,*,*,*,0.00,0.00
Mauritius,2051.69,1638.74,1624.47,*,0.00,*
Mayotte,0.00,0.00,0.00,0.00,0.00,0.00
Mexico,94364.05,75933.29,44717.78,11809.13,19406.38,18430.76
Moldova,1741.96,1741.82,1740.83,*,0.00,*
Monaco,1200.94,679.96,647.59,*,*,520.98
Mongolia,*,*,*,0.00,0.00,*
Montenegro,0.00,0.00,0.00,0.00,0.00,0.00
Montserrat,*,*,*,0.00,0.00,*
Morocco,3626.60,3543.48,3538.55,*,*,*
Mozambique,538.75,535.78,534.33,*,0.00,*
Namibia,*,*,*,0.00,0.00,*
Nauru,0.00,0.00,0.00,0.00,0.00,0.00
Nepal,5590.09,4477.60,4477.60,0.00,0.00,1112.49
Netherlands,81499.38,79457.67,77635.82,1820.61,*,2041.70
Netherlands Antilles,*,*,*,NA,NA,*
New Caledonia,0.00,0.00,0.00,0.00,0.00,0.00
New Zealand,16062.55,13140.97,12378.91,750.82,*,2921.58
Nicaragua,*,*,*,0.00,0.00,*
Niger,0.00,0.00,0.00,0.00,0.00,0.00
Nigeria,7154.61,7148.97,7123.36,*,*,*
Niue,0.00,0.00,0.00,0.00,0.00,0.00
Norway,195231.22,194803.91,178778.22,16025.65,*,*
Oman,8797.24,7731.75,7687.17,*,*,1065.49
Pakistan,*,*,*,*,0.00,*
Palau,*,*,*,0.00,0.00,*
Panama,8813.45,4182.24,4046.91,*,*,4631.21
Papua New Guinea,*,*,*,0.00,0.00,*
Paraguay,7302.73,6954.03,6949.48,*,0.00,*
Peru,41851.60,39327.85,39181.56,*,*,2523.75
Philippines,56681.75,54408.67,44681.87,9724.40,*,2273.08
Pitcairn Island,0.00,0.00,0.00,0.00,0.00,0.00
Poland,66419.50,57644.40,57614.36,*,0.00,8775.10
Portugal,1908.78,1401.30,1252.73,*,*,507.49
Qatar,23793.60,22922.97,22919.85,*,0.00,870.63
Reunion,0.00,0.00,0.00,0.00,0.00,0.00
Romania,10078.52,10058.27,10058.20,*,0.00,*
Russia,*,*,*,*,0.00,*
Rwanda,964.55,962.16,941.65,*,0.00,*
Saint Helena,0.00,0.00,0.00,0.00,0.00,0.00
Saint Kitts and Nevis,2539.61,1231.96,1209.23,*,*,1307.65
Saint Lucia,583.15,*,*,*,0.00,*
Saint Martin and Saint Barthelemy,*,*,*,0.00,0.00,*
Saint Pierre and Miquelon,0.00,0.00,0.00,0.00,0.00,0.00
Saint Vincent and the Grenadines,*,*,*,0.00,0.00,*
Samoa,*,*,*,0.00,0.00,*
San Marino,*,*,*,0.00,0.00,0.00
Sao Tome and Principe,*,*,*,0.00,0.00,0.00
Saudi Arabia,130316.31,103362.46,98343.95,4248.40,770.11,26953.85
Senegal,*,*,*,*,0.00,*
Serbia,2759.59,2260.12,2260.12,0.00,0.00,*
Seychelles,*,*,*,*,0.00,*
Sierra Leone,*,0.00,0.00,0.00,0.00,*
Singapore,253018.39,239435.36,131972.00,107425.62,*,13583.03
Sint Maarten,*,*,*,0.00,0.00,*
Slovakia,728.08,603.43,603.20,*,0.00,*
Slovenia,*,*,*,*,0.00,*
Solomon Islands,*,*,*,0.00,0.00,0.00
Somalia,0.00,0.00,0.00,0.00,0.00,0.00
South Africa,14839.79,9542.56,7090.56,2451.41,*,5297.23
South Sudan,0.00,0.00,0.00,0.00,0.00,0.00
Spain,62918.71,59351.71,57165.86,2185.85,0.00,3567.01
Sri Lanka,*,*,*,0.00,0.00,*
Sudan,0.00,0.00,0.00,0.00,0.00,0.00
Suriname,*,*,*,0.00,0.00,*
Eswatini,*,*,*,*,0.00,*
Sweden,48325.05,47910.93,45713.78,2197.07,*,*
Switzerland,299102.18,239277.06,209888.68,28854.25,534.13,59825.12
Syria,0.00,0.00,0.00,0.00,0.00,0.00
Taiwan,307323.73,303791.20,294610.37,9151.62,*,3532.53
Tajikistan,*,*,*,*,0.00,*
Tanzania,1828.16,1825.78,1825.78,0.00,0.00,*
Thailand,83204.71,61437.17,55947.22,5488.97,*,21767.54
Togo,0.00,0.00,0.00,0.00,0.00,0.00
Tokelau,0.00,0.00,0.00,0.00,0.00,0.00
Tonga,0.00,0.00,0.00,0.00,0.00,0.00
Trinidad and Tobago,4274.43,2702.62,2673.00,*,0.00,1571.81
Tunisia,*,*,*,0.00,0.00,*
Turkey,7670.88,5525.63,5525.59,0.00,*,2145.25
Turkmenistan,0.00,0.00,0.00,0.00,0.00,0.00
Turks and Caicos Isl.,*,*,*,*,0.00,*
Tuvalu,0.00,0.00,0.00,0.00,0.00,0.00
Uganda,1249.88,825.38,817.33,*,0.00,*
Ukraine,13406.18,12951.75,12951.75,0.00,0.00,*
United Arab Emirates,95996.85,37667.74,36213.54,1130.87,*,58329.11
United Kingdom,852857.75,768284.29,651479.19,99921.30,16883.80,84573.46
Uruguay,20542.89,12653.76,12411.54,*,0.00,7889.13
Uzbekistan,862.26,*,*,*,0.00,709.82
Vanuatu,*,*,*,0.00,0.00,*
Venezuela,782.25,*,*,*,0.00,*
Vietnam,29874.91,29835.30,29835.20,0.00,*,*
Wallis and Futuna,0.00,0.00,0.00,0.00,0.00,0.00
West Bank and Gaza,*,0.00,0.00,0.00,0.00,*
Western Sahara,0.00,0.00,0.00,0.00,0.00,0.00
Yemen,0.00,0.00,0.00,0.00,0.00,0.00
Zambia,*,*,*,*,0.00,*
Zimbabwe,*,*,*,0.00,0.00,*
Int. and reg. org.,93216.02,63179.68,50605.60,11533.68,1040.40,30036.34
Country Unknown,*,*,*,0.00,0.00,0.00
Total Africa,48263.18,38702.86,36166.87,2528.49,*,9560.32
Total Asia,3723119.87,3283554.46,2935975.70,344820.59,2758.17,439565.41
Total Caribbean,664903.02,420787.05,364890.98,51499.27,4396.80,244115.97
Total Europe,3434440.30,2933867.13,2592278.38,295945.15,45643.60,500573.17
Euro area countries,1850020.71,1524950.29,1352802.00,144322.68,27825.61,325070.42
Total Latin America,594555.82,451871.73,386776.32,41439.71,23655.70,142684.09
Total Oceania,79060.39,67264.07,64376.04,2348.81,539.22,11796.32
Total,9076078.68,7664654.19,6772536.15,811908.99,80209.05,1411424.49
Holdings of FOI,3899181.50,3499698.34,3054078.23,419968.27,25651.84,399483.16

