"Table A8.  Foreign Holdings of U.S. Equities, by Country and Equity Type,"
"as of June 30, 2022"
"Millions of dollars"
"","Total","Common","","Preferred"
"Zimbabwe",4,1,3,0
"International and regional organizations",14438,5010,7366,2062
"Country Unknown",1228,571,281,376
""
"Total",12177123,9036248,2130920,1009955
""
"of which: Holdings of foreign official"
"institutions",1290331,1030722,149529,110080
""
"Totals by Region:"
"Total Africa",28197,18943,8445,808
"Total Asia",2650605,1860382,475878,314345
"Total Caribbean",1675702,791353,612528,271821
"Total Europe",5802802,4949404,585916,267481
"Total Latin America",147371,35623,99769,11979
"Canada",1340956,1015333,253174,72449
"Australia/Oceania",515824,359628,87563,68633
"Country Unknown",1228,571,281,376
"International and regional organizations",14438,5010,7366,2062
""
""
"* Greater than zero but less than $500,000."
"n.a. Not available."
""
""
""
