                                                                                    
                                                                                    
                                                                                    
                                                                                    
                                                                                    
Table A4.  Foreign Holdings of U.S. Short-Term Debt Securities, by Country, as of End-June

 Billions of dollars
                                              June            June            June            June            June            June            June            June
  Paraguay                                             *               *               *               *               *               *               *               *
  Peru                                                 1               1               1               1               1               1               1               1
  Philippines                                          1               1               1               1               4               3               2               1
  Poland                                               *               *               *               *               4              10              12               1
  Portugal                                             *               *               *               *               *               1               *               1
  Qatar                                                5               5               3               5              18              20               5               3
  Romania                                              0               0               0               *               *               2               2               0
  Russia                                               *               *               6               6               6               3               4               2
  Rwanda                                               0               0               0               0               0               0               *               0
  Saint Kitts and Nevis                                *               *               *               *               1               *               *               *
  Saint Lucia                                          *               0               0               *               *               *               *               *
  Saint Martin & Saint Barthelemy                      0               *               *               *               0               *               0               0
  Saint Vincent and the Grenadines                     0               *               0               0               *               *               *               *
  Samoa                                                *               *               *               *               0               0               *               *
  Saudi Arabia                                         5               5              42              54              46              36              24              20
  Serbia                                               1               *               *               *               *               *               *               0
  Seychelles                                           0               *               0               *               *               *               *               *
  Sierra Leone                                         0               0               0               *               *               *               *               *
  Singapore                                           12              14              16              10              12              21              11              11
  Sint Maarten                                         0               *               *               *               *               *               *               *
  Slovakia                                             *               *               *               *               *               *               *               *
  Slovenia                                             *               *               *               *               *               *               *               *
  Solomon Islands                                      0               0               0               0               *               0               0               0
  South Africa                                         *               *               *               9               4               4               8               2
  Spain                                                1               1               1               2               2               3               2               1
  Sri Lanka                                            0               0               0               0               *               *               0               *
  Sudan                                                0               0               0               0               *               *               0               *
  Suriname                                             *               *               *               *               *               *               *               *
  Eswatini                                             0               0               0               0               0               0               *               0
  Sweden                                               6               2               *               *               1               1               1               1
  Switzerland                                         27              32              34              30              41              35              33              32
  Taiwan                                               2               3               4               2               4               6               6               7
  Tanzania                                             0               0               0               0               0               *               *               0
  Thailand                                            19              28              12              16              16              12               4              20
  Tonga                                                0               0               *               0               0               0               0               0
  Trinidad and Tobago                                  1               *               *               1               1               1               1               1
  Tunisia                                              0               0               0               0               0               *               0               0
  Turkey                                              57              34              36              16               *               1               1               1
  Turks and Caicos Islands                             *               *               *               *               *               *               *               *
  Uganda                                               *               *               1               *               1               1               *               *
  Ukraine                                              0               *               *               *               *               *               *               *
  United Arab Emirates                                13              11               9              10              13              11              27              14
  United Kingdom                                      42              40              41              45              58              78              74              92
  Uruguay                                              1               1               1               2               3               6               9              10
  Vanuatu                                              *               *               *               *               *               *               *               *
  Venezuela                                            *               *               *               *               *               *               *               *
  Vietnam                                              *               *               *               *               *               *               *               *
  Zambia                                               *               0               0               0               0               0               0               0
  International and regional organizatio               9              14              15              20              17              29              21              21
  Country Unknown                                      0               0               0               *               *               *               *               *
  Total                                              932             909             930             980             913            1228            1076            1124


* Greater than zero but less than $500,000.
n.a. Not available.




