"Table A1.  Foreign Holdings of U.S. Securities, by Country, as of End-June"
""
"Billions of dollars"
"","June","June","June","June","June","June","June","June"
"Mauritius",8,3,8,3,3,3,2,3
"Mayotte","*",0,0,0,0,0,0,"*"
"Mexico",157,117,97,117,90,91,108,101
"Moldova","*","*",1,1,1,1,2,2
"Monaco",2,2,2,2,2,2,3,3
"Mongolia","*","*","*",1,"*","*","*","*"
"Montenegro","*","*","*","*","*","*","*","*"
"Montserrat","*","*","*","*","*","*","*","*"
"Morocco",2,3,2,3,5,5,5,6
"Mozambique","*","*","*","*","*","*","*","*"
"Namibia",1,1,1,1,1,"*","*","*"
"Nauru","*","*","*","*","*","*","*","*"
"Nepal",1,1,1,1,1,"*",1,1
"Netherlands",318,350,398,413,421,425,530,457
"New Caledonia","*","*","*","*","*","*","*","*"
"New Zealand",20,19,27,32,38,42,59,51
"Nicaragua",1,1,"*",1,"*","*","*","*"
"Niger","*","*","*","*","*","*","*","*"
"Nigeria",3,3,3,4,6,5,5,6
"Niue","*",0,0,"*","*",0,"*","*"
"Norway",309,306,340,370,452,467,614,546
"Oman",29,22,23,23,19,15,18,16
"Pakistan",2,2,4,3,1,1,1,1
"Palau","*","*","*","*","*","*","*","*"
"Panama",17,19,22,23,28,26,33,31
"Papua New Guinea","*","*","*","*","*","*","*","*"
"Paraguay","*","*","*","*",1,3,8,8
"Peru",29,28,29,32,36,30,40,42
"Philippines",42,46,43,36,38,48,56,55
"Pitcairn Island","*","*","*","*","*","*",0,0
"Poland",32,37,36,43,30,42,58,38
"Portugal",6,9,8,7,9,12,15,13
"Qatar",7,10,7,11,33,42,42,36
"Reunion","*","*","*","*","*","*","*","*"
"Romania",2,4,3,8,8,7,8,8
"Russia",73,91,103,15,11,6,5,3
"Rwanda","*","*","*","*","*","*",1,1
"Saint Helena",0,0,0,0,0,"*","*",0
"Saint Kitts and Nevis",2,3,3,4,8,8,8,7
"Saint Lucia","*","*","*","*","*",1,1,1
"Saint Martin & Saint Barthelemy","*","*","*","*","*","*","*","*"
"Saint Vincent and the Grenadines","*","*","*","*","*","*","*","*"
"Samoa","*","*","*","*","*","*","*",1
"San Marino","*","*","*","*","*","*","*","*"
"Sao Tome and Principe",0,0,0,"*","*","*","*","*"
"Saudi Arabia",184,152,202,233,289,279,323,311
"Senegal","*","*","*","*","*","*","*","*"
"Serbia",2,2,2,2,2,2,1,1
"Seychelles","*","*","*","*","*","*",1,"*"
"Sierra Leone","*","*","*","*","*","*","*","*"
"Singapore",331,321,348,353,363,377,565,560
"Sint Maarten","*","*","*","*","*","*","*","*"
"Slovakia","*","*","*","*",1,"*","*",1
"Slovenia",2,2,2,2,2,2,3,3
"Solomon Islands","*","*","*","*","*","*","*","*"
"Somalia","*","*","*","*","*","*","*","*"
"South Africa",21,20,22,39,26,26,35,33
"South Sudan","*","*","*","*",0,0,"*","*"
"Spain",48,59,60,55,68,72,78,70
"Sri Lanka","*","*",1,3,2,3,"*","*"
"Sudan","*","*","*","*","*","*","*","*"
"Suriname","*","*","*","*",1,"*","*","*"
"Eswatini","*","*","*","*","*","*","*","*"
"Sweden",169,165,180,216,236,238,356,331
"Switzerland",708,742,824,813,813,854,1184,1015
"Syria","*","*","*","*","*","*","*","*"
"Taiwan",454,519,565,577,626,699,757,697
"Tajikistan","*","*","*","*","*","*","*","*"
"Tanzania",2,1,2,2,1,2,2,2
"Thailand",37,55,79,77,104,111,95,87
"Togo","*","*","*","*","*","*","*","*"
"Tokelau","*","*","*","*","*","*","*","*"
"Tonga","*","*","*","*","*","*","*","*"
"Trinidad and Tobago",10,9,10,10,11,10,11,10
"Tunisia",1,1,1,1,1,1,2,"*"
"Turkey",76,59,59,30,3,3,3,3
"Turkmenistan","*","*","*","*","*","*","*","*"
"Turks and Caicos Islands",1,1,1,1,1,1,1,2
"Tuvalu","*",0,0,0,0,"*",0,0
"Uganda",1,1,1,1,1,1,1,1
"Ukraine",4,6,2,4,4,6,6,8
"United Arab Emirates",168,161,147,156,160,162,204,179
"United Kingdom",1448,1427,1493,1598,1776,1988,2617,2434
"Uruguay",12,10,10,11,13,14,17,17
"Uzbekistan","*","*","*","*","*","*","*","*"
"Vanuatu","*","*","*","*","*","*","*","*"
"Venezuela",6,5,6,6,7,5,6,4
"Vietnam",14,14,14,20,25,30,39,39
"Wallis and Futuna","*","*","*","*","*",0,0,"*"
"West Bank and Gaza","*","*","*","*","*","*","*","*"
"Western Sahara","*",0,0,0,0,0,"*","*"
"Yemen",1,"*","*","*","*","*","*","*"
"Zambia","*","*","*","*","*","*","*","*"
"Zimbabwe","*","*","*","*","*","*","*","*"
"International and regional organizatio",98,96,88,86,84,100,96,109
"Country Unknown",98,82,64,79,56,76,71,57
"Total",17134,17139,18412,19400,20534,21954,27189,24893
""
""
"* Greater than zero but less than $500,000."
"n.a. Not available."
""
""
""
""
