"Table A10.  Foreign Holdings of U.S. Short-Term Securities, by Country and Security Type, as"
"of June 30, 2021"
"Millions of dollars"
"","","","","","of which: Comme","rcial Paper"
"Malta",136,72,0,64,64,45
"Marshall Islands",35,34,0,1,0,0
"Mauritius",585,525,0,60,60,0
"Mexico",13839,13436,"*",403,355,0
"Monaco",195,195,0,0,0,0
"Mongolia","*","*",0,0,0,0
"Montserrat",1,1,0,0,0,0
"Morocco",1,1,0,0,0,0
"Nepal",350,350,0,0,0,0
"Netherlands",2204,1454,10,741,679,235
"New Zealand",1665,1655,8,3,0,0
"Nicaragua",29,0,0,29,0,0
"Nigeria",20,13,0,7,6,0
"Norway",1223,1008,0,215,162,0
"Oman",52,45,7,1,1,0
"Pakistan",828,828,0,1,0,0
"Panama",3969,1760,0,2209,1928,159
"Papua New Guinea",180,180,0,0,0,0
"Paraguay",18,18,0,"*",0,0
"Peru",877,340,0,537,0,0
"Philippines",1528,1512,"*",16,0,0
"Poland",11710,11710,0,"*",0,0
"Portugal",493,492,0,"*",0,0
"Qatar",5015,5013,1,1,0,0
"Romania",1886,1886,0,0,0,0
"Russia",3701,3701,0,"*",0,0
"Rwanda",1,1,0,0,0,0
"Saint Kitts and Nevis",81,80,0,"*",0,0
"Saint Lucia",2,2,0,0,0,0
"Saint Vincent and the Grenadines",1,1,0,0,0,0
"Samoa",1,1,0,0,0,0
"Saudi Arabia",24342,23942,53,348,270,179
"Serbia",30,30,0,0,0,0
"Seychelles",1,1,0,0,0,0
"Sierra Leone",100,100,0,0,0,0
"Singapore",11152,9231,54,1868,35,8
"Sint Maarten",11,7,0,4,4,0
"Slovakia",67,67,0,0,0,0
"Slovenia",66,66,0,0,0,0
"South Africa",7934,7897,0,38,35,0
"Spain",1545,1542,0,3,0,0
"Suriname",41,31,0,10,0,0
"Swaziland",1,1,0,0,0,0
"Sweden",503,503,0,"*","*",0
"Switzerland",33467,31163,61,2243,1697,137
"Taiwan",5670,5100,60,510,50,0
"Tanzania",19,19,0,0,0,0
"Thailand",4206,4203,0,3,0,0
"Trinidad and Tobago",967,617,7,344,153,0
"Turkey",912,848,0,64,61,25
"Turks and Caicos Islands",24,10,14,"*",0,0
"Uganda",483,483,0,0,0,0
"Ukraine",28,28,0,0,0,0
"United Arab Emirates",26567,26505,1,61,60,0
"United Kingdom",73587,65849,36,7702,2479,968
"Uruguay",8659,8285,0,374,350,15
"Vanuatu",13,13,0,0,0,0
"Venezuela",50,41,0,9,0,0
"Vietnam",3,"*",0,3,0,0
"International and regional organizations",21282,15469,129,5685,2645,11
"Country Unknown",7,7,0,0,0,0
""
"Total",1076592,927980,6765,141847,75591,27101
""
"of which: Holdings of foreign official"
"institutions",273658,269229,150,4279,2157,312
""
"Totals by Region:"
"Total Africa",25102,24994,0,108,103,3
"Total Asia",249027,231974,361,16692,11497,6619
"Total Caribbean",180607,171381,1417,7809,4935,1651
"Total Europe",533246,423804,4279,105163,52384,17984
"Total Latin America",36871,32756,99,4016,2745,239
"Canada",19622,17718,441,1463,1097,572
"Australia/Oceania",10828,9878,40,911,187,22
"Country Unknown",7,7,0,0,0,0
"International and regional organizations",21282,15469,129,5685,2645,11
""
""
"* Greater than zero but less than $500,000."
"n.a. Not available."
""
""
""
