"Table A1.  Foreign Holdings of U.S. Securities, by Country, as of End-June"
""
"Billions of dollars"
"","June","June","June","June","June","June","June","June"
"Indonesia",28,25,25,34,29,30,31,34
"Iran","*","*","*","*","*","*","*","*"
"Iraq",26,30,15,16,26,35,32,21
"Ireland",729,831,931,1068,1149,1081,1182,1499
"Isle of Man",2,2,2,3,2,3,3,13
"Israel",67,69,76,88,92,114,138,205
"Italy",70,67,78,78,90,101,107,132
"Jamaica",1,1,1,1,1,1,1,1
"Japan",1917,1903,1960,1998,2044,2280,2553,2765
"Jersey",27,27,30,25,25,25,24,37
"Jordan",1,1,"*",1,1,1,1,1
"Kazakhstan",43,39,27,29,12,9,6,3
"Kenya",1,1,1,1,3,4,6,6
"Kiribati","*","*","*","*","*","*","*","*"
"Korea, South",180,209,236,282,316,366,414,570
"Kosovo","*","*","*","*","*","*","*","*"
"Kuwait",187,191,189,230,269,287,304,371
"Kyrgyzstan","*","*","*","*","*","*","*","*"
"Laos","*","*","*","*","*","*","*","*"
"Latvia",1,2,2,2,2,2,2,3
"Lebanon",1,"*","*","*","*","*","*","*"
"Lesotho","*","*","*","*","*","*","*","*"
"Liberia",1,1,1,1,1,1,1,1
"Libya",1,"*","*",1,4,5,2,2
"Liechtenstein",4,3,3,4,5,2,9,14
"Lithuania","*","*","*","*",3,2,2,2
"Luxembourg",1198,1297,1349,1398,1494,1623,1777,2301
"Macau",2,3,4,4,5,4,5,6
"Macedonia","*","*","*","*","*","*","*","*"
"Madagascar","*","*","*","*","*",1,1,1
"Malawi","*","*","*","*","*","*","*","*"
"Malaysia",36,33,36,41,42,41,55,60
"Maldives","*","*","*","*","*","*","*","*"
"Mali","*","*","*","*","*","*","*","*"
"Malta",2,2,1,1,2,2,3,4
"Marshall Islands",1,1,1,1,1,1,1,3
"Martinique","*","*","*","*","*","*","*","*"
"Mauritania","*","*","*","*","*","*","*","*"
"Mauritius",3,8,3,8,3,3,3,2
"Mayotte","*","*",0,0,0,0,0,0
"Mexico",144,157,117,97,117,90,91,108
"Moldova",1,"*","*",1,1,1,1,2
"Monaco",3,2,2,2,2,2,2,3
"Mongolia","*","*","*","*",1,"*","*","*"
"Montenegro","*","*","*","*","*","*","*","*"
"Montserrat","*","*","*","*","*","*","*","*"
"Morocco",1,2,3,2,3,5,5,5
"Mozambique",1,"*","*","*","*","*","*","*"
"Namibia","*",1,1,1,1,1,"*","*"
"Nauru","*","*","*","*","*","*","*","*"
"Nepal","*",1,1,1,1,1,"*",1
"Netherlands",303,318,350,398,413,421,425,530
"New Caledonia","*","*","*","*","*","*","*","*"
"New Zealand",19,20,19,27,32,38,42,59
"Nicaragua","*",1,1,"*",1,"*","*","*"
"Niger","*","*","*","*","*","*","*","*"
"Nigeria",4,3,3,3,4,6,5,5
"Niue","*","*",0,0,"*","*",0,"*"
"Norway",297,309,306,340,370,452,467,614
"Oman",28,29,22,23,23,19,15,18
"Pakistan",1,2,2,4,3,1,1,1
"Palau","*","*","*","*","*","*","*","*"
"Panama",16,17,19,22,23,28,26,33
"Papua New Guinea","*","*","*","*","*","*","*","*"
"Paraguay","*","*","*","*","*",1,3,8
"Peru",26,29,28,29,32,36,30,40
"Philippines",37,42,46,43,36,38,48,56
"Pitcairn Island","*","*","*","*","*","*","*",0
"Poland",33,32,37,36,43,30,42,58
"Portugal",7,6,9,8,7,9,12,15
"Qatar",7,7,10,7,11,33,42,42
"Reunion","*","*","*","*","*","*","*","*"
"Romania",7,2,4,3,8,8,7,8
"Russia",115,73,91,103,15,11,6,5
"Rwanda","*","*","*","*","*","*","*",1
"Saint Helena",0,0,0,0,0,0,"*","*"
"Saint Kitts and Nevis",2,2,3,3,4,8,8,8
"Saint Lucia","*","*","*","*","*","*",1,1
"Saint Martin & Saint Barthelemy","*","*","*","*","*","*","*","*"
"Saint Pierre and Miquelon","*",0,0,0,0,0,0,0
"Saint Vincent and the Grenadines","*","*","*","*","*","*","*","*"
"Samoa","*","*","*","*","*","*","*","*"
"San Marino","*","*","*","*","*","*","*","*"
"Sao Tome and Principe","*",0,0,0,"*","*","*","*"
"Saudi Arabia",194,184,152,202,233,289,279,323
"Senegal","*","*","*","*","*","*","*","*"
"Serbia",2,2,2,2,2,2,2,1
"Seychelles","*","*","*","*","*","*","*",1
"Sierra Leone","*","*","*","*","*","*","*","*"
"Singapore",307,331,321,348,353,363,377,565
"Sint Maarten","*","*","*","*","*","*","*","*"
"Slovakia","*","*","*","*","*",1,"*","*"
"Slovenia",2,2,2,2,2,2,2,3
"Solomon Islands","*","*","*","*","*","*","*","*"
"Somalia","*","*","*","*","*","*","*","*"
"South Africa",24,21,20,22,39,26,26,35
"South Sudan","*","*","*","*","*",0,0,"*"
"Spain",37,48,59,60,55,68,72,78
"Sri Lanka",1,"*","*",1,3,2,3,"*"
"Sudan","*","*","*","*","*","*","*","*"
"Suriname","*","*","*","*","*",1,"*","*"
"Swaziland","*","*","*","*","*","*","*","*"
"Sweden",157,169,165,180,216,236,238,356
"Switzerland",634,708,742,824,813,813,854,1184
"Syria","*","*","*","*","*","*","*","*"
"Taiwan",397,454,519,565,577,626,699,757
"Tajikistan","*","*","*","*","*","*","*","*"
"Tanzania",2,2,1,2,2,1,2,2
"Thailand",46,37,55,79,77,104,111,95
"Togo","*","*","*","*","*","*","*","*"
"Tokelau","*","*","*","*","*","*","*","*"
"Tonga","*","*","*","*","*","*","*","*"
"Trinidad and Tobago",10,10,9,10,10,11,10,11
"Tunisia",1,1,1,1,1,1,1,2
"Turkey",53,76,59,59,30,3,3,3
"Turkmenistan","*","*","*","*","*","*","*","*"
"Turks and Caicos Islands",1,1,1,1,1,1,1,1
"Tuvalu",0,"*",0,0,0,0,"*",0
"Uganda",1,1,1,1,1,1,1,1
"Ukraine",2,4,6,2,4,4,6,6
"United Arab Emirates",155,168,161,147,156,160,162,204
"United Kingdom",1289,1448,1427,1493,1598,1776,1988,2617
"Uruguay",12,12,10,10,11,13,14,17
"Uzbekistan","*","*","*","*","*","*","*","*"
"Vanuatu","*","*","*","*","*","*","*","*"
"Venezuela",9,6,5,6,6,7,5,6
"Vietnam",14,14,14,14,20,25,30,39
"Wallis and Futuna","*","*","*","*","*","*",0,0
"West Bank and Gaza","*","*","*","*","*","*","*","*"
"Western Sahara","*","*",0,0,0,0,0,"*"
"Yemen",1,1,"*","*","*","*","*","*"
"Zambia","*","*","*","*","*","*","*","*"
"Zimbabwe","*","*","*","*","*","*","*","*"
"International and regional organizatio",110,98,96,88,86,84,100,96
"Country Unknown",85,98,82,64,79,56,76,71
"Total",16417,17134,17139,18412,19400,20534,21954,27190
""
""
"* Greater than zero but less than $500,000."
"n.a. Not available."
""
""
""
""
