                                                                               
                                                                               
                                                                               
                                                                               
                                                                               
Table A6.  Foreign Holdings of U.S. Long-Term Securities, by Country and Security
Type, as of June 30, 2021
 Millions of dollars
                                                 Total                                                    Agency                         Corporate
 Countries and Regions                            LT            Equities        Treasury         NonABS            ABS           NonABS            ABS
  Costa Rica                                             5488            3179            1367             105               3             832               1
  Cote d`Ivoire (Ivory Coast)                               6               6               0               0               0               0               0
  Croatia                                                3098            1249            1837               0               0              12               0
  Cuba                                                      1               1               0               0               0               0               0
  Curacao                                                6440            4746             288             169              18            1209              10
  Cyprus                                                 4622            4358             129               *               *             135               *
  Czech Republic                                        29592            8406           19380               3            1712              91               *
  Denmark                                              252842          215198           16742              50             213           20283             357
  Djibouti                                                  2               2               0               0               0               0               0
  Dominica                                                194             103              85               0               0               6               0
  Dominican Republic                                     4893             774            3876               *               2             239               2
  East Timor                                            13159            4521            8639               0               0               0               0
  Ecuador                                                1346             861             121              29               7             328               *
  Egypt                                                  3220             967            2245               *               *               7               0
  El Salvador                                             810             385             178               *               4             242               *
  Equatorial Guinea                                         *               *               0               0               0               *               0
  Eritrea                                                   *               *               0               0               0               0               0
  Estonia                                                1429            1242              98               3               8              78               *
  Ethiopia                                                  4               4               0               0               0               0               0
  Falkland Islands                                         59              58               0               0               0               1               0
  Faroe Islands                                             1               1               0               0               0               0               0
  Federated States of Micronesia                          210             125              51               3              12              19               0
  Fiji                                                      5               2               0               2               0               *               0
  Finland                                               64757           52657            5681               1               *            6413               6
  France                                               662268          359178          206149             448           13779           71806           10908
  French Guiana                                            17              15               0               0               0               2               0
  French Polynesia                                         83              81               *               *               *               2               0
  Gabon                                                    80              63               4               0               0              13               0
  Gambia                                                    2               2               0               0               0               0               0
  Georgia                                                  11              11               *               0               0               0               0
  Germany                                              553922          331769           75633             306            4848          132675            8691
  Ghana                                                  3208              19            3132               0               0              57               0
  Gibraltar                                               820             414               9               1               0             396               0
  Greece                                                 4979            3465            1298               3               1             211               *
  Grenada                                                 315             123             157              11               *              24               0
  Guadeloupe                                               12              12               0               0               0               0               0
  Guatemala                                              8965             493            5278             701            1905             581               6
  Guernsey                                              67180           56356            5252              24              41            5431              77
  Guinea                                                  101             101               0               0               0               0               0
  Guinea-Bissau                                             *               *               0               0               0               0               0
  Guyana                                                  219              46              14             153               *               6               *
  Haiti                                                  1678             143             222             424               *             887               2
  Holy See (Vatican)                                       42               2              12               0               0              29               0
  Honduras                                               3838             325            3430              11               1              71               *
  Hong Kong                                            449739          169870          197562            1787            7029           71135            2356
  Hungary                                                4595            1737             683               0            2118              57               0
  Iceland                                                3275            1771            1483              20               0               1               0
  India                                                219408            9030          209736               *             132             507               3
  Indonesia                                             29127             637           19503              18            5782            3104              83
  Iran                                                      3               3               0               0               0               0               0
  Iraq                                                   9219               2            9217               0               0               0               0
  Ireland                                             1325968          820578          191768            3025           17610          245973           47015
  Isle of Man                                            3457            2175             980               9               *             293               1
  Israel                                               194976          130011           53346             776            3757            6872             213
  Italy                                                130900           71059           38340              46             509           20635             311
  Jamaica                                                1379             351             652               *               0             376               0
  Japan                                               2698064          866101         1213260            2051          308903          284432           23318
  Jersey                                                35626           29436            2240               3             479            2924             544
  Jordan                                                  937             113             820               *               0               4               0
  Kazakhstan                                             1962             248            1209             136               *             369               0
  Kenya                                                  6258             104            6152               0               0               3               0
  Kiribati                                                309             309               0               0               0               0               0
  Korea, South                                         555892          329251          117120            3708           39750           61547            4517
  Kosovo                                                    7               6               0               0               0               1               0
  Kuwait                                               347199          284832           34827             348            4362           20059            2772
  Kyrgyzstan                                                *               *               0               0               0               0               0
  Laos                                                      7               7               0               0               0               0               0
  Latvia                                                 2271             615             171               5            1115              18             348
  Lebanon                                                 401             385               1               0               *              14               0
  Lesotho                                                  66               *              66               0               0               0               0
  Liberia                                                 988             702              24               1               *             261               0
  Libya                                                  1975               3            1673               0               0             299               0
  Liechtenstein                                         14103           13241             151              40               *             670               1
  Lithuania                                              2251             262            1778               *             204               6               0
  Luxembourg                                          2154994         1195178          199676            4086           32534          688265           35256
  Macau                                                  6140            3852             788               *             266            1145              88
  Macedonia                                                 1               1               0               0               0               0               0
  Madagascar                                              693              15             677               0               0               0               0
  Malawi                                                   89              80               7               0               0               2               0
  Malaysia                                              59733           26773           10667             582           18510            3153              49
  Maldives                                                 15               *              15               0               0               0               0
  Mali                                                      1               1               0               0               0               0               0
  Malta                                                  4127            2481             550               7               *            1085               4
  Marshall Islands                                       2727            2403              11               1              11             262              40
  Martinique                                                1               1               0               0               0               1               0
  Mauritania                                              189               *             188               0               0               0               0
  Mauritius                                              1549             715             718               2               1             110               3
  Mexico                                                94090           39576           36005            7733            6212            4513              52
  Moldova                                                1508               6            1502               0               0               0               0
  Monaco                                                 2807            2300             278               *               9              46             174
  Mongolia                                                251               5             246               0               0               0               0
  Montenegro                                                2               2               0               0               0               0               0
  Montserrat                                               29               2              26               0               0               1               0
  Morocco                                                4595             514            4080               *               0               1               0
  Mozambique                                              354               2             340               *               0              12               0
  Namibia                                                 391             347              44               0               0               *               0
  Nauru                                                    48              48               0               0               0               0               0
  Nepal                                                   559              10             549               0               0               0               0
  Netherlands                                          527720          354447           71117             213           16513           83159            2270
  New Caledonia                                           139             139               0               0               0               *               0
  New Zealand                                           57113           47463            5195              52             811            3379             213
  Nicaragua                                               239              92               1               *               0             146               0
  Niger                                                     2               2               0               0               0               0               0
  Nigeria                                                5350             198            4509             296             222             122               3
  Niue                                                      *               *               0               0               0               0               0
  Norway                                               613142          446251          114061             192               *           52248             390
  Oman                                                  17614           10469            5215               1              10            1902              17
  Pakistan                                                622              87             498               *               0              37               0
  Palau                                                   261             199              16               4               6              36               *
  Panama                                                29060           19712            1525             130             923            6462             307
  Papua New Guinea                                         21               1              19               0               0               0               0
  Paraguay                                               8047             252            7723               2               *              71               *
  Peru                                                  38853            7892           29069             140             137            1614               1
  Philippines                                           54064            4363           48193             118             723             667               *
  Poland                                                46083            2589           42439               0               *            1055               0
  Portugal                                              14424            8073            5214               1               *            1134               1
  Qatar                                                 36993           27637            8475               0             238             486             157
  Reunion                                                   *               *               0               0               0               0               0
  Romania                                                5626             297            5051               *               0             278               0
  Russia                                                 1013             627             304               *               0              81               *
  Rwanda                                                  538               1             537               0               0               0               0
  Saint Helena                                              *               *               0               0               0               0               0
  Saint Kitts and Nevis                                  8083            6822             218               5              18             983              37
  Saint Lucia                                             813             404             190               1               0             218               *
  Saint Martin & Saint Barthelemy                          59              53               0               0               0               5               0
  Saint Vincent and the Grenadines                        202              70             121               0               0              11               *
  Samoa                                                   425             411               0               1               0              13               0
  San Marino                                               27               1               0               0               0              26               0
  Sao Tome and Principe                                    10               6               5               0               0               0               0
  Saudi Arabia                                         298390          182031          103412             206            1127           10349            1267
  Senegal                                                   9               9               0               0               0               0               0
  Serbia                                                  998              24             974               0               0               *               0
  Seychelles                                              867             683             151               0               1              32               *
  Sierra Leone                                              *               *               0               0               0               0               0
  Singapore                                            554121          327328          177667             635            3688           34595           10208
  Sint Maarten                                            151             115               8               1               2              24               *
  Slovakia                                                298              83             193               1               0              22               0
  Slovenia                                               3232            2252             289               *               0             691               0
  Solomon Islands                                         109               *             109               0               0               0               0
  Somalia                                                   *               *               0               0               0               0               0
  South Africa                                          27375           17854            8065               6             601             849               *
  South Sudan                                               *               *               0               0               0               0               0
  Spain                                                 76826           39491           28812             135            3842            4290             256
  Sri Lanka                                               392              30             362               0               0               *               0
  Sudan                                                     *               *               0               0               0               0               0
  Suriname                                                208             135               7               1               *              64               *
  Swaziland                                                45               2              42               0               0               0               0
  Sweden                                               355574          307104           42269               3             105            5952             141
  Switzerland                                         1150231          759085          269760             908           22536           94899            3043
  Syria                                                     2               2               0               0               0               0               0
  Taiwan                                               751777          109945          234149              74          242944          162443            2222
  Tajikistan                                               39               *              38               0               0               *               0
  Tanzania                                               1938              19            1917               0               0               3               0
  Thailand                                              90722           27238           51822               4           10051            1602               4
  Togo                                                      2               1               0               0               0               1               0
  Tokelau                                                   1               1               0               0               0               0               0
  Tonga                                                     *               *               0               0               0               0               0
  Trinidad and Tobago                                    9975            4491            2067             239             514            2142             523
  Tunisia                                                1621            1394             227               0               0               1               0
  Turkey                                                 2289             972            1279               *               0              38               0
  Turkmenistan                                              *               *               0               0               0               0               0
  Turks and Caicos Islands                               1456            1021              93              28              28             284               3
  Uganda                                                  620              29             465              19              43              36              28
  Ukraine                                                6058              56            6001               0               0               1               0
  United Arab Emirates                                 177290          133818           33780              95            1027            8251             320
  United Kingdom                                      2543154         1540460          464231            2557           36789          475528           23589
  Uruguay                                                8655            4581            2595              57             303            1117               2
  Uzbekistan                                              125               2             122               0               0               0               0
  Vanuatu                                                  11               4               7               0               0               0               0
  Venezuela                                              5885            4277              51               6              14            1535               2
  Vietnam                                               39311              70           39238               0               *               2               0
  West Bank and Gaza                                        1               1               0               0               0               0               0
  Western Sahara                                            *               *               0               0               0               0               0
  Yemen                                                     *               *               *               0               0               *               0
  Zambia                                                  138               3             133               0               0               1               0
  Zimbabwe                                                 13              12               *               0               0               1               0
  International and regional organizations              74735           12862           42153            4285            3724            9557            2154
  Country Unknown                                       70721            1257               *             113               1           69350               1

  Total                                              26113718        13705222         6574108           58054         1187747         4214226          374361

  of which: Holdings of foreign official
  institutions                                        6197200         1437699         3940118           22462          625836          152197           18888

  Totals by Region:
  Total Africa                                          65682           24569           37549             325             911            2233              95
  Total Asia                                          8194912         2927935         3647095           15498          861026          691149           52210
  Total Caribbean                                     3003832         1888192          218720           11299           64651          679664          141307
  Total Europe                                       11620163         6773825         2032125           14794          161471         2496071          141877
  Total Latin America                                  606245          156060          404116           10450           10472           24733             414
  Canada                                              1956972         1494656          149733             935           80181          203133           28335
  Australia/Oceania                                    520455          425866           42616             357            5310           38336            7970
  Country Unknown                                       70721            1257               *             113               1           69350               1
  International and regional organizations              74735           12862           42153            4285            3724            9557            2154


* Greater than zero but less than $500,000.
n.a. Not available.



