                                                       
                                                       
                                                       
                                                       
                                                       
Table A8.  Foreign Holdings of U.S. Equities, by Country and Equity Type,
as of June 30, 2021
 Millions of dollars
                                                Total           Common                          Preferred
 Countries and Regions                         Equities          Stock            Funds         and Other
  United Kingdom                                      1540460         1333436          133490           73535
  Uruguay                                                4581            1731            2391             459
  Uzbekistan                                                2               2               *               *
  Vanuatu                                                   4               *               4               0
  Venezuela                                              4277            2528            1526             223
  Vietnam                                                  70              50              20               *
  West Bank and Gaza                                        1               1               *               0
  Western Sahara                                            *               *               0               0
  Yemen                                                     *               *               *               *
  Zambia                                                    3               3               1               0
  Zimbabwe                                                 12               8               5               0
  International and regional organizations              12862            5224            5566            2073
  Country Unknown                                        1257             570             311             376

  Total                                              13705222        10794682         1985725          924815

  of which: Holdings of foreign official
  institutions                                        1437699         1247643          120588           69468

  Totals by Region:
  Total Africa                                          24569           17875            6061             634
  Total Asia                                          2927935         2234884          464205          228847
  Total Caribbean                                     1888192         1072664          506254          309275
  Total Europe                                        6773825         5923758          582957          267110
  Total Latin America                                  156060           44897           99790           11374
  Canada                                              1494656         1174438          255061           65157
  Australia/Oceania                                    425866          320374           65521           39971
  Country Unknown                                        1257             570             311             376
  International and regional organizations              12862            5224            5566            2073


* Greater than zero but less than $500,000.
n.a. Not available.



