,Total ST,Treasury,Agency,Corp,Corp CP,Corp CP Asset-backed
Namibia,*,*,*,0.00,0.00,0.00
Nauru,0.00,0.00,0.00,0.00,0.00,0.00
Nepal,*,*,0.00,0.00,0.00,0.00
Netherlands,4014.27,2623.53,*,1212.42,883.82,0.00
Netherlands Antilles,*,*,*,*,NA,NA
New Caledonia,0.00,0.00,0.00,0.00,0.00,0.00
New Zealand,*,*,*,*,*,0.00
Nicaragua,*,*,0.00,*,0.00,0.00
Niger,0.00,0.00,0.00,0.00,0.00,0.00
Nigeria,*,*,0.00,*,*,0.00
Niue,0.00,0.00,0.00,0.00,0.00,0.00
Norway,1153.69,*,0.00,828.98,564.36,0.00
Oman,2104.21,2083.05,*,*,*,0.00
Pakistan,*,*,0.00,*,0.00,0.00
Palau,*,*,0.00,*,0.00,0.00
Panama,8550.79,6007.10,*,2529.06,2208.94,0.00
Papua New Guinea,*,*,0.00,0.00,0.00,0.00
Paraguay,*,*,*,*,*,0.00
Peru,1348.19,649.10,*,698.26,0.00,0.00
Philippines,2135.76,2130.63,*,*,0.00,0.00
Pitcairn Island,0.00,0.00,0.00,0.00,0.00,0.00
Poland,5244.62,5243.66,0.00,*,0.00,0.00
Portugal,*,*,*,*,0.00,0.00
Qatar,4740.08,4735.11,*,*,0.00,0.00
Reunion,0.00,0.00,0.00,0.00,0.00,0.00
Romania,*,*,0.00,*,0.00,0.00
Russia,*,*,0.00,*,0.00,0.00
Rwanda,*,0.00,0.00,*,0.00,0.00
Saint Helena,0.00,0.00,0.00,0.00,0.00,0.00
Saint Kitts and Nevis,1057.21,1046.05,*,*,0.00,0.00
Saint Lucia,*,*,0.00,*,0.00,0.00
Saint Martin and Saint Barthelemy,0.00,0.00,0.00,0.00,0.00,0.00
Saint Pierre and Miquelon,*,*,0.00,0.00,0.00,0.00
Saint Vincent and the Grenadines,*,*,0.00,*,0.00,0.00
Samoa,*,*,*,*,0.00,0.00
San Marino,0.00,0.00,0.00,0.00,0.00,0.00
Sao Tome and Principe,0.00,0.00,0.00,0.00,0.00,0.00
Saudi Arabia,10843.84,10333.65,*,*,*,0.00
Senegal,*,*,0.00,0.00,0.00,0.00
Serbia,*,0.00,0.00,*,0.00,0.00
Seychelles,*,*,*,*,0.00,0.00
Sierra Leone,*,*,0.00,0.00,0.00,0.00
Singapore,9173.80,8187.73,*,840.36,*,0.00
Sint Maarten,*,*,0.00,*,0.00,0.00
Slovakia,*,*,0.00,0.00,0.00,0.00
Slovenia,*,*,0.00,0.00,0.00,0.00
Solomon Islands,0.00,0.00,0.00,0.00,0.00,0.00
Somalia,0.00,0.00,0.00,0.00,0.00,0.00
South Africa,2750.81,2749.32,0.00,*,0.00,0.00
South Sudan,0.00,0.00,0.00,0.00,0.00,0.00
Spain,2462.08,2325.99,*,*,*,0.00
Sri Lanka,*,*,0.00,*,0.00,0.00
Sudan,0.00,0.00,0.00,0.00,0.00,0.00
Suriname,*,*,0.00,*,0.00,0.00
Eswatini,*,*,*,0.00,0.00,0.00
Sweden,603.00,600.21,0.00,*,0.00,0.00
Switzerland,63196.47,62113.55,*,1035.08,813.96,0.00
Syria,0.00,0.00,0.00,0.00,0.00,0.00
Taiwan,5960.20,5021.43,*,913.98,*,0.00
Tajikistan,*,*,*,*,0.00,0.00
Tanzania,*,*,0.00,0.00,0.00,0.00
Thailand,16200.13,16173.10,*,*,*,0.00
Togo,0.00,0.00,0.00,0.00,0.00,0.00
Tokelau,0.00,0.00,0.00,0.00,0.00,0.00
Tonga,0.00,0.00,0.00,0.00,0.00,0.00
Trinidad and Tobago,1575.73,1380.04,*,*,*,0.00
Tunisia,*,*,0.00,0.00,0.00,0.00
Turkey,615.49,589.17,0.00,*,*,0.00
Turkmenistan,0.00,0.00,0.00,0.00,0.00,0.00
Turks and Caicos Isl.,*,*,*,*,*,0.00
Tuvalu,0.00,0.00,0.00,0.00,0.00,0.00
Uganda,*,*,*,0.00,0.00,0.00
Ukraine,2888.80,2871.36,*,0.00,0.00,0.00
United Arab Emirates,20199.17,19931.57,*,*,*,0.00
United Kingdom,99030.58,89676.52,*,9058.74,3482.05,0.00
Uruguay,8765.71,7787.59,0.00,978.12,794.64,0.00
Uzbekistan,*,*,*,0.00,0.00,0.00
Vanuatu,*,*,0.00,0.00,0.00,0.00
Venezuela,500.46,*,*,*,*,0.00
Vietnam,*,*,0.00,*,0.00,0.00
Wallis and Futuna,0.00,0.00,0.00,0.00,0.00,0.00
West Bank and Gaza,*,*,0.00,0.00,0.00,0.00
Western Sahara,0.00,0.00,0.00,0.00,0.00,0.00
Yemen,0.00,0.00,0.00,0.00,0.00,0.00
Zambia,*,*,*,0.00,0.00,0.00
Zimbabwe,0.00,0.00,0.00,0.00,0.00,0.00
Int. and reg. org.,20500.24,11418.63,609.35,8472.26,3632.64,0.00
Country Unknown,*,*,*,*,0.00,0.00
Total Africa,25886.51,25859.82,*,*,*,0.00
Total Asia,227306.14,198389.88,1262.21,27654.05,18401.38,0.00
Total Caribbean,216737.60,202179.60,3249.68,11308.32,6380.91,0.00
Total Europe,594746.81,448212.56,9883.78,136650.50,56752.84,0.00
Total Latin America,55628.83,49024.99,*,6498.04,3950.21,0.00
Australia/Oceania,14672.12,13231.59,*,1193.35,*,0.00
Total,1185507.25,974395.69,16321.93,194789.63,91816.18,0.00
Holdings of FOI,223932.66,217604.04,608.86,5719.76,3604.37,0.00

