country,period,net_purchases_busd,source_file
Russia,2021-05,0.001,s1_globl.txt
Russia,2021-06,0.0,s1_globl.txt
Russia,2021-07,0.0,s1_globl.txt
Russia,2021-08,-0.1,s1_globl.txt
Russia,2021-09,0.0,s1_globl.txt
Russia,2021-10,0.0,s1_globl.txt
Russia,2021-11,-0.45,s1_globl.txt
Russia,2021-12,0.0,s1_globl.txt
Russia,2022-01,-0.1,s1_globl.txt
Russia,2022-02,0.0,s1_globl.txt
Russia,2022-03,0.0,s1_globl.txt
Russia,2022-04,0.0,s1_globl.txt
Russia,2022-05,0.001,s1_globl.txt
Russia,2022-06,0.023,s1_globl.txt
Russia,2022-07,0.013,s1_globl.txt
Russia,2022-08,0.005,s1_globl.txt
Russia,2022-09,0.002,s1_globl.txt
Russia,2022-10,0.002,s1_globl.txt
Russia,2022-11,0.001,s1_globl.txt
Russia,2022-12,0.002,s1_globl.txt
Russia,2023-01,0.036,s1_globl.txt
Russia,2023-02,0.004,slt_table3.txt
Russia,2023-03,0.008,slt_table3.txt
Russia,2023-04,0.005,slt_table3.txt
Russia,2023-05,0.0,slt_table3.txt
Russia,2023-06,0.002,slt_table3.txt
Russia,2023-07,0.001,slt_table3.txt
Russia,2023-08,0.003,slt_table3.txt
Russia,2023-09,0.003,slt_table3.txt
Russia,2023-10,0.001,slt_table3.txt
Russia,2023-11,0.002,slt_table3.txt
Russia,2023-12,0.003,slt_table3.txt
Russia,2024-01,0.002,slt_table3.txt
Russia,2024-02,0.003,slt_table3.txt
Russia,2024-03,0.001,slt_table3.txt
Russia,2024-04,0.002,slt_table3.txt
Russia,2024-05,0.001,slt_table3.txt
Russia,2024-06,0.001,slt_table3.txt
Russia,2024-07,-0.02,slt_table3.txt
Russia,2024-08,0.001,slt_table3.txt
Russia,2024-09,0.002,slt_table3.txt
Russia,2024-10,0.001,slt_table3.txt
Russia,2024-11,0.002,slt_table3.txt
Russia,2024-12,0.004,slt_table3.txt
Russia,2025-01,0.005,slt_table3.txt
Russia,2025-02,0.0,slt_table3.txt
Russia,2025-03,0.001,slt_table3.txt
Russia,2025-04,0.002,slt_table3.txt
Russia,2025-05,0.004,slt_table3.txt
Russia,2025-06,0.0,slt_table3.txt
Russia,2025-07,0.0,slt_table3.txt
Russia,2025-08,0.001,slt_table3.txt
Russia,2025-09,0.002,slt_table3.txt
Russia,2025-10,0.003,slt_table3.txt
Russia,2025-11,0.001,slt_table3.txt
Russia,2025-12,0.002,slt_table3.txt
Russia,2026-01,0.001,slt_table3.txt
Russia,2026-02,0.003,slt_table3.txt
Russia,2026-03,0.003,slt_table3.txt
Russia,2026-04,0.004,slt_table3.txt
"China, Mainland",2013-01,44.49,s1_globl.txt
"China, Mainland",2013-02,10.691,s1_globl.txt
"China, Mainland",2013-03,-1.504,s1_globl.txt
"China, Mainland",2013-04,-4.971,s1_globl.txt
"China, Mainland",2013-05,22.485,s1_globl.txt
"China, Mainland",2013-06,12.236,s1_globl.txt
"China, Mainland",2013-07,-6.476,s1_globl.txt
"China, Mainland",2013-08,1.415,s1_globl.txt
"China, Mainland",2013-09,-5.62,s1_globl.txt
"China, Mainland",2013-10,2.306,s1_globl.txt
"China, Mainland",2013-11,10.668,s1_globl.txt
"China, Mainland",2013-12,-4.655,s1_globl.txt
"China, Mainland",2014-01,16.03,s1_globl.txt
"China, Mainland",2014-02,21.75,s1_globl.txt
"China, Mainland",2014-03,18.045,s1_globl.txt
"China, Mainland",2014-04,32.898,s1_globl.txt
"China, Mainland",2014-05,18.485,s1_globl.txt
"China, Mainland",2014-06,23.598,s1_globl.txt
"China, Mainland",2014-07,-11.867,s1_globl.txt
"China, Mainland",2014-08,11.828,s1_globl.txt
"China, Mainland",2014-09,24.705,s1_globl.txt
"China, Mainland",2014-10,28.44,s1_globl.txt
"China, Mainland",2014-11,7.198,s1_globl.txt
"China, Mainland",2014-12,-5.427,s1_globl.txt
"China, Mainland",2015-01,-1.398,s1_globl.txt
"China, Mainland",2015-02,6.724,s1_globl.txt
"China, Mainland",2015-03,12.834,s1_globl.txt
"China, Mainland",2015-04,-9.36,s1_globl.txt
"China, Mainland",2015-05,7.111,s1_globl.txt
"China, Mainland",2015-06,19.508,s1_globl.txt
"China, Mainland",2015-07,-13.867,s1_globl.txt
"China, Mainland",2015-08,-22.619,s1_globl.txt
"China, Mainland",2015-09,-6.629,s1_globl.txt
"China, Mainland",2015-10,-14.66,s1_globl.txt
"China, Mainland",2015-11,29.717,s1_globl.txt
"China, Mainland",2015-12,-29.219,s1_globl.txt
"China, Mainland",2016-01,-37.202,s1_globl.txt
"China, Mainland",2016-02,-6.484,s1_globl.txt
"China, Mainland",2016-03,-3.549,s1_globl.txt
"China, Mainland",2016-04,-2.37,s1_globl.txt
"China, Mainland",2016-05,4.526,s1_globl.txt
"China, Mainland",2016-06,-27.938,s1_globl.txt
"China, Mainland",2016-07,-20.929,s1_globl.txt
"China, Mainland",2016-08,-17.393,s1_globl.txt
"China, Mainland",2016-09,-13.927,s1_globl.txt
"China, Mainland",2016-10,-25.75,s1_globl.txt
"China, Mainland",2016-11,-2.907,s1_globl.txt
"China, Mainland",2016-12,-1.28,s1_globl.txt
"China, Mainland",2017-01,1.348,s1_globl.txt
"China, Mainland",2017-02,1.55,s1_globl.txt
"China, Mainland",2017-03,-3.726,s1_globl.txt
"China, Mainland",2017-04,-3.74,s1_globl.txt
"China, Mainland",2017-05,-9.207,s1_globl.txt
"China, Mainland",2017-06,21.124,s1_globl.txt
"China, Mainland",2017-07,-1.373,s1_globl.txt
"China, Mainland",2017-08,24.568,s1_globl.txt
"China, Mainland",2017-09,1.142,s1_globl.txt
"China, Mainland",2017-10,4.333,s1_globl.txt
"China, Mainland",2017-11,-10.449,s1_globl.txt
"China, Mainland",2017-12,-3.081,s1_globl.txt
"China, Mainland",2018-01,4.192,s1_globl.txt
"China, Mainland",2018-02,15.029,s1_globl.txt
"China, Mainland",2018-03,-2.534,s1_globl.txt
"China, Mainland",2018-04,-6.814,s1_globl.txt
"China, Mainland",2018-05,6.997,s1_globl.txt
"China, Mainland",2018-06,-8.724,s1_globl.txt
"China, Mainland",2018-07,-5.936,s1_globl.txt
"China, Mainland",2018-08,9.441,s1_globl.txt
"China, Mainland",2018-09,-18.509,s1_globl.txt
"China, Mainland",2018-10,-8.107,s1_globl.txt
"China, Mainland",2018-11,-3.783,s1_globl.txt
"China, Mainland",2018-12,-15.967,s1_globl.txt
"China, Mainland",2019-01,-12.083,s1_globl.txt
"China, Mainland",2019-02,1.075,s1_globl.txt
"China, Mainland",2019-03,-20.454,s1_globl.txt
"China, Mainland",2019-04,-10.071,s1_globl.txt
"China, Mainland",2019-05,-6.441,s1_globl.txt
"China, Mainland",2019-06,-3.75,s1_globl.txt
"China, Mainland",2019-07,3.197,s1_globl.txt
"China, Mainland",2019-08,-31.957,s1_globl.txt
"China, Mainland",2019-09,-7.796,s1_globl.txt
"China, Mainland",2019-10,-16.646,s1_globl.txt
"China, Mainland",2019-11,-15.352,s1_globl.txt
"China, Mainland",2019-12,0.882,s1_globl.txt
"China, Mainland",2020-01,-16.23,s1_globl.txt
"China, Mainland",2020-02,-11.675,s1_globl.txt
"China, Mainland",2020-03,-8.026,s1_globl.txt
"China, Mainland",2020-04,-5.082,s1_globl.txt
"China, Mainland",2020-05,1.088,s1_globl.txt
"China, Mainland",2020-06,-1.32,s1_globl.txt
"China, Mainland",2020-07,-4.664,s1_globl.txt
"China, Mainland",2020-08,15.915,s1_globl.txt
"China, Mainland",2020-09,8.771,s1_globl.txt
"China, Mainland",2020-10,0.565,s1_globl.txt
"China, Mainland",2020-11,-4.137,s1_globl.txt
"China, Mainland",2020-12,-9.193,s1_globl.txt
"China, Mainland",2021-01,2.174,s1_globl.txt
"China, Mainland",2021-02,-14.94,s1_globl.txt
"China, Mainland",2021-03,41.56,s1_globl.txt
"China, Mainland",2021-04,14.57,s1_globl.txt
"China, Mainland",2021-05,-17.383,s1_globl.txt
"China, Mainland",2021-06,-8.797,s1_globl.txt
"China, Mainland",2021-07,8.359,s1_globl.txt
"China, Mainland",2021-08,2.784,s1_globl.txt
"China, Mainland",2021-09,-3.134,s1_globl.txt
"China, Mainland",2021-10,7.056,s1_globl.txt
"China, Mainland",2021-11,-8.545,s1_globl.txt
"China, Mainland",2021-12,-3.228,s1_globl.txt
"China, Mainland",2022-01,19.362,s1_globl.txt
"China, Mainland",2022-02,-6.429,s1_globl.txt
"China, Mainland",2022-03,-26.988,s1_globl.txt
"China, Mainland",2022-04,8.46,s1_globl.txt
"China, Mainland",2022-05,-15.091,s1_globl.txt
"China, Mainland",2022-06,-0.248,s1_globl.txt
"China, Mainland",2022-07,-7.11,s1_globl.txt
"China, Mainland",2022-08,7.566,s1_globl.txt
"China, Mainland",2022-09,2.242,s1_globl.txt
"China, Mainland",2022-10,7.115,s1_globl.txt
"China, Mainland",2022-11,-2.097,s1_globl.txt
"China, Mainland",2022-12,0.622,s1_globl.txt
"China, Mainland",2023-01,-10.922,s1_globl.txt
"China, Mainland",2023-02,6.006,slt_table3.txt
"China, Mainland",2023-03,-13.816,slt_table3.txt
"China, Mainland",2023-04,-0.997,slt_table3.txt
"China, Mainland",2023-05,-13.671,slt_table3.txt
"China, Mainland",2023-06,8.088,slt_table3.txt
"China, Mainland",2023-07,-11.204,slt_table3.txt
"China, Mainland",2023-08,-14.867,slt_table3.txt
"China, Mainland",2023-09,-1.004,slt_table3.txt
"China, Mainland",2023-10,1.852,slt_table3.txt
"China, Mainland",2023-11,-15.046,slt_table3.txt
"China, Mainland",2023-12,-2.645,slt_table3.txt
"China, Mainland",2024-01,-21.735,slt_table3.txt
"China, Mainland",2024-02,-13.154,slt_table3.txt
"China, Mainland",2024-03,-9.813,slt_table3.txt
"China, Mainland",2024-04,23.895,slt_table3.txt
"China, Mainland",2024-05,-23.887,slt_table3.txt
"China, Mainland",2024-06,5.925,slt_table3.txt
"China, Mainland",2024-07,-23.106,slt_table3.txt
"China, Mainland",2024-08,-15.866,slt_table3.txt
"China, Mainland",2024-09,-12.354,slt_table3.txt
"China, Mainland",2024-10,3.138,slt_table3.txt
"China, Mainland",2024-11,-4.132,slt_table3.txt
"China, Mainland",2024-12,-10.702,slt_table3.txt
"China, Mainland",2025-01,-3.197,slt_table3.txt
"China, Mainland",2025-02,-4.541,slt_table3.txt
"China, Mainland",2025-03,-27.575,slt_table3.txt
"China, Mainland",2025-04,-20.876,slt_table3.txt
"China, Mainland",2025-05,2.459,slt_table3.txt
"China, Mainland",2025-06,-5.389,slt_table3.txt
"China, Mainland",2025-07,-23.572,slt_table3.txt
"China, Mainland",2025-08,-21.767,slt_table3.txt
"China, Mainland",2025-09,-2.966,slt_table3.txt
"China, Mainland",2025-10,-11.258,slt_table3.txt
"China, Mainland",2025-11,2.864,slt_table3.txt
"China, Mainland",2025-12,5.706,slt_table3.txt
"China, Mainland",2026-01,11.926,slt_table3.txt
"China, Mainland",2026-02,-11.822,slt_table3.txt
"China, Mainland",2026-03,-29.997,slt_table3.txt
"China, Mainland",2026-04,5.519,slt_table3.txt
Belgium,2013-01,-0.287,s1_globl.txt
Belgium,2013-02,-0.083,s1_globl.txt
Belgium,2013-03,-3.655,s1_globl.txt
Belgium,2013-04,-2.392,s1_globl.txt
Belgium,2013-05,-2.409,s1_globl.txt
Belgium,2013-06,-0.292,s1_globl.txt
Belgium,2013-07,-0.683,s1_globl.txt
Belgium,2013-08,-0.329,s1_globl.txt
Belgium,2013-09,-0.411,s1_globl.txt
Belgium,2013-10,-0.356,s1_globl.txt
Belgium,2013-11,-0.827,s1_globl.txt
Belgium,2013-12,-0.123,s1_globl.txt
Belgium,2014-01,-0.354,s1_globl.txt
Belgium,2014-02,-2.882,s1_globl.txt
Belgium,2014-03,-2.633,s1_globl.txt
Belgium,2014-04,-0.67,s1_globl.txt
Belgium,2014-05,-2.819,s1_globl.txt
Belgium,2014-06,-0.296,s1_globl.txt
Belgium,2014-07,-0.777,s1_globl.txt
Belgium,2014-08,-0.261,s1_globl.txt
Belgium,2014-09,-0.172,s1_globl.txt
Belgium,2014-10,-3.211,s1_globl.txt
Belgium,2014-11,-6.387,s1_globl.txt
Belgium,2014-12,-7.714,s1_globl.txt
Belgium,2015-01,-8.135,s1_globl.txt
Belgium,2015-02,-11.183,s1_globl.txt
Belgium,2015-03,-8.235,s1_globl.txt
Belgium,2015-04,-2.349,s1_globl.txt
Belgium,2015-05,-5.362,s1_globl.txt
Belgium,2015-06,-0.652,s1_globl.txt
Belgium,2015-07,-0.437,s1_globl.txt
Belgium,2015-08,-0.295,s1_globl.txt
Belgium,2015-09,-0.243,s1_globl.txt
Belgium,2015-10,-0.42,s1_globl.txt
Belgium,2015-11,-1.373,s1_globl.txt
Belgium,2015-12,-0.998,s1_globl.txt
Belgium,2016-01,-0.656,s1_globl.txt
Belgium,2016-02,-0.561,s1_globl.txt
Belgium,2016-03,-0.929,s1_globl.txt
Belgium,2016-04,-0.707,s1_globl.txt
Belgium,2016-05,-1.667,s1_globl.txt
Belgium,2016-06,-0.63,s1_globl.txt
Belgium,2016-07,-0.468,s1_globl.txt
Belgium,2016-08,-0.847,s1_globl.txt
Belgium,2016-09,-0.532,s1_globl.txt
Belgium,2016-10,-1.201,s1_globl.txt
Belgium,2016-11,-0.544,s1_globl.txt
Belgium,2016-12,-3.114,s1_globl.txt
Belgium,2017-01,-1.37,s1_globl.txt
Belgium,2017-02,-0.537,s1_globl.txt
Belgium,2017-03,-1.137,s1_globl.txt
Belgium,2017-04,-1.189,s1_globl.txt
Belgium,2017-05,-0.671,s1_globl.txt
Belgium,2017-06,-0.951,s1_globl.txt
Belgium,2017-07,-1.322,s1_globl.txt
Belgium,2017-08,-0.136,s1_globl.txt
Belgium,2017-09,-2.046,s1_globl.txt
Belgium,2017-10,-1.269,s1_globl.txt
Belgium,2017-11,-0.821,s1_globl.txt
Belgium,2017-12,-0.83,s1_globl.txt
Belgium,2018-01,-1.371,s1_globl.txt
Belgium,2018-02,-1.423,s1_globl.txt
Belgium,2018-03,-0.975,s1_globl.txt
Belgium,2018-04,-2.376,s1_globl.txt
Belgium,2018-05,-0.965,s1_globl.txt
Belgium,2018-06,-1.933,s1_globl.txt
Belgium,2018-07,-1.273,s1_globl.txt
Belgium,2018-08,-1.225,s1_globl.txt
Belgium,2018-09,-1.128,s1_globl.txt
Belgium,2018-10,-1.416,s1_globl.txt
Belgium,2018-11,-1.584,s1_globl.txt
Belgium,2018-12,-1.21,s1_globl.txt
Belgium,2019-01,-2.162,s1_globl.txt
Belgium,2019-02,-1.338,s1_globl.txt
Belgium,2019-03,-3.311,s1_globl.txt
Belgium,2019-04,-3.064,s1_globl.txt
Belgium,2019-05,-1.414,s1_globl.txt
Belgium,2019-06,-2.53,s1_globl.txt
Belgium,2019-07,-1.791,s1_globl.txt
Belgium,2019-08,-2.389,s1_globl.txt
Belgium,2019-09,-1.883,s1_globl.txt
Belgium,2019-10,-1.551,s1_globl.txt
Belgium,2019-11,-3.585,s1_globl.txt
Belgium,2019-12,-1.508,s1_globl.txt
Belgium,2020-01,-1.788,s1_globl.txt
Belgium,2020-02,-3.378,s1_globl.txt
Belgium,2020-03,-1.884,s1_globl.txt
Belgium,2020-04,-1.392,s1_globl.txt
Belgium,2020-05,-2.62,s1_globl.txt
Belgium,2020-06,-2.536,s1_globl.txt
Belgium,2020-07,-1.627,s1_globl.txt
Belgium,2020-08,-3.272,s1_globl.txt
Belgium,2020-09,-1.4,s1_globl.txt
Belgium,2020-10,-1.769,s1_globl.txt
Belgium,2020-11,-3.675,s1_globl.txt
Belgium,2020-12,-0.464,s1_globl.txt
Belgium,2021-01,-2.313,s1_globl.txt
Belgium,2021-02,-2.033,s1_globl.txt
Belgium,2021-03,-1.59,s1_globl.txt
Belgium,2021-04,-3.106,s1_globl.txt
Belgium,2021-05,-1.277,s1_globl.txt
Belgium,2021-06,-1.703,s1_globl.txt
Belgium,2021-07,-2.049,s1_globl.txt
Belgium,2021-08,-3.455,s1_globl.txt
Belgium,2021-09,-4.565,s1_globl.txt
Belgium,2021-10,-5.324,s1_globl.txt
Belgium,2021-11,-4.43,s1_globl.txt
Belgium,2021-12,-2.166,s1_globl.txt
Belgium,2022-01,-12.302,s1_globl.txt
Belgium,2022-02,-1.598,s1_globl.txt
Belgium,2022-03,-2.616,s1_globl.txt
Belgium,2022-04,-5.565,s1_globl.txt
Belgium,2022-05,-2.463,s1_globl.txt
Belgium,2022-06,-1.982,s1_globl.txt
Belgium,2022-07,-2.459,s1_globl.txt
Belgium,2022-08,-2.022,s1_globl.txt
Belgium,2022-09,-2.45,s1_globl.txt
Belgium,2022-10,-8.275,s1_globl.txt
Belgium,2022-11,-2.93,s1_globl.txt
Belgium,2022-12,-4.502,s1_globl.txt
Belgium,2023-01,-8.591,s1_globl.txt
Belgium,2023-02,-1.262,slt_table3.txt
Belgium,2023-03,-3.602,slt_table3.txt
Belgium,2023-04,-5.338,slt_table3.txt
Belgium,2023-05,-5.577,slt_table3.txt
Belgium,2023-06,9.255,slt_table3.txt
Belgium,2023-07,-3.848,slt_table3.txt
Belgium,2023-08,-2.91,slt_table3.txt
Belgium,2023-09,2.731,slt_table3.txt
Belgium,2023-10,-14.032,slt_table3.txt
Belgium,2023-11,-2.889,slt_table3.txt
Belgium,2023-12,-2.371,slt_table3.txt
Belgium,2024-01,-12.983,slt_table3.txt
Belgium,2024-02,-0.733,slt_table3.txt
Belgium,2024-03,-8.308,slt_table3.txt
Belgium,2024-04,-1.321,slt_table3.txt
Belgium,2024-05,0.009,slt_table3.txt
Belgium,2024-06,-0.329,slt_table3.txt
Belgium,2024-07,-11.622,slt_table3.txt
Belgium,2024-08,5.171,slt_table3.txt
Belgium,2024-09,20.224,slt_table3.txt
Belgium,2024-10,-8.632,slt_table3.txt
Belgium,2024-11,3.798,slt_table3.txt
Belgium,2024-12,6.899,slt_table3.txt
Belgium,2025-01,-6.503,slt_table3.txt
Belgium,2025-02,-0.261,slt_table3.txt
Belgium,2025-03,1.285,slt_table3.txt
Belgium,2025-04,-15.476,slt_table3.txt
Belgium,2025-05,-0.034,slt_table3.txt
Belgium,2025-06,-1.376,slt_table3.txt
Belgium,2025-07,-3.31,slt_table3.txt
Belgium,2025-08,-0.272,slt_table3.txt
Belgium,2025-09,7.095,slt_table3.txt
Belgium,2025-10,-14.485,slt_table3.txt
Belgium,2025-11,10.11,slt_table3.txt
Belgium,2025-12,6.598,slt_table3.txt
Belgium,2026-01,-6.235,slt_table3.txt
Belgium,2026-02,-6.763,slt_table3.txt
Belgium,2026-03,5.052,slt_table3.txt
Belgium,2026-04,-12.027,slt_table3.txt
Luxembourg,2013-01,-7.729,s1_globl.txt
Luxembourg,2013-02,-7.964,s1_globl.txt
Luxembourg,2013-03,1.16,s1_globl.txt
Luxembourg,2013-04,-3.11,s1_globl.txt
Luxembourg,2013-05,-3.722,s1_globl.txt
Luxembourg,2013-06,-1.846,s1_globl.txt
Luxembourg,2013-07,-7.091,s1_globl.txt
Luxembourg,2013-08,-12.279,s1_globl.txt
Luxembourg,2013-09,-4.666,s1_globl.txt
Luxembourg,2013-10,-6.266,s1_globl.txt
Luxembourg,2013-11,-2.675,s1_globl.txt
Luxembourg,2013-12,-4.196,s1_globl.txt
Luxembourg,2014-01,-8.758,s1_globl.txt
Luxembourg,2014-02,-1.069,s1_globl.txt
Luxembourg,2014-03,-2.431,s1_globl.txt
Luxembourg,2014-04,-1.138,s1_globl.txt
Luxembourg,2014-05,1.336,s1_globl.txt
Luxembourg,2014-06,-5.487,s1_globl.txt
Luxembourg,2014-07,-5.568,s1_globl.txt
Luxembourg,2014-08,-5.556,s1_globl.txt
Luxembourg,2014-09,3.906,s1_globl.txt
Luxembourg,2014-10,-3.753,s1_globl.txt
Luxembourg,2014-11,-1.501,s1_globl.txt
Luxembourg,2014-12,-2.172,s1_globl.txt
Luxembourg,2015-01,-1.29,s1_globl.txt
Luxembourg,2015-02,-3.915,s1_globl.txt
Luxembourg,2015-03,-0.516,s1_globl.txt
Luxembourg,2015-04,-5.377,s1_globl.txt
Luxembourg,2015-05,0.254,s1_globl.txt
Luxembourg,2015-06,2.139,s1_globl.txt
Luxembourg,2015-07,-3.303,s1_globl.txt
Luxembourg,2015-08,-9.487,s1_globl.txt
Luxembourg,2015-09,-0.19,s1_globl.txt
Luxembourg,2015-10,-3.93,s1_globl.txt
Luxembourg,2015-11,-3.489,s1_globl.txt
Luxembourg,2015-12,-1.154,s1_globl.txt
Luxembourg,2016-01,8.995,s1_globl.txt
Luxembourg,2016-02,-0.255,s1_globl.txt
Luxembourg,2016-03,-1.41,s1_globl.txt
Luxembourg,2016-04,-5.383,s1_globl.txt
Luxembourg,2016-05,-6.195,s1_globl.txt
Luxembourg,2016-06,0.368,s1_globl.txt
Luxembourg,2016-07,-5.896,s1_globl.txt
Luxembourg,2016-08,-4.042,s1_globl.txt
Luxembourg,2016-09,1.509,s1_globl.txt
Luxembourg,2016-10,-8.415,s1_globl.txt
Luxembourg,2016-11,-0.373,s1_globl.txt
Luxembourg,2016-12,-0.204,s1_globl.txt
Luxembourg,2017-01,-9.08,s1_globl.txt
Luxembourg,2017-02,-1.478,s1_globl.txt
Luxembourg,2017-03,-1.667,s1_globl.txt
Luxembourg,2017-04,-6.051,s1_globl.txt
Luxembourg,2017-05,-8.988,s1_globl.txt
Luxembourg,2017-06,-0.348,s1_globl.txt
Luxembourg,2017-07,-11.153,s1_globl.txt
Luxembourg,2017-08,-4.469,s1_globl.txt
Luxembourg,2017-09,-2.898,s1_globl.txt
Luxembourg,2017-10,-7.722,s1_globl.txt
Luxembourg,2017-11,0.264,s1_globl.txt
Luxembourg,2017-12,2.372,s1_globl.txt
Luxembourg,2018-01,-1.345,s1_globl.txt
Luxembourg,2018-02,-4.324,s1_globl.txt
Luxembourg,2018-03,-0.542,s1_globl.txt
Luxembourg,2018-04,-3.534,s1_globl.txt
Luxembourg,2018-05,-0.681,s1_globl.txt
Luxembourg,2018-06,0.287,s1_globl.txt
Luxembourg,2018-07,-9.747,s1_globl.txt
Luxembourg,2018-08,-1.042,s1_globl.txt
Luxembourg,2018-09,-0.706,s1_globl.txt
Luxembourg,2018-10,-9.013,s1_globl.txt
Luxembourg,2018-11,2.064,s1_globl.txt
Luxembourg,2018-12,-0.539,s1_globl.txt
Luxembourg,2019-01,-6.508,s1_globl.txt
Luxembourg,2019-02,-0.4,s1_globl.txt
Luxembourg,2019-03,-0.562,s1_globl.txt
Luxembourg,2019-04,-6.375,s1_globl.txt
Luxembourg,2019-05,-2.51,s1_globl.txt
Luxembourg,2019-06,0.585,s1_globl.txt
Luxembourg,2019-07,-4.859,s1_globl.txt
Luxembourg,2019-08,-4.112,s1_globl.txt
Luxembourg,2019-09,5.515,s1_globl.txt
Luxembourg,2019-10,-0.855,s1_globl.txt
Luxembourg,2019-11,1.629,s1_globl.txt
Luxembourg,2019-12,3.883,s1_globl.txt
Luxembourg,2020-01,-4.75,s1_globl.txt
Luxembourg,2020-02,-1.208,s1_globl.txt
Luxembourg,2020-03,-1.176,s1_globl.txt
Luxembourg,2020-04,-5.778,s1_globl.txt
