"Table A7.  Foreign holdings of U.S. securities, by country, as of selected survey dates"
""
"Billions of dollars"
"","June","June","June","June","June","June","June","June"
"Tanzania",1,1,1,1,1,2,2,2
"Thailand",32,29,38,58,57,54,46,37
"Togo","*","*","*","*","*","*","*","*"
"Tokelau","*","*","*","*",0,"*","*","*"
"Tonga","*","*","*","*","*","*","*","*"
"Trinidad and Tobago",4,5,7,8,9,10,10,10
"Tunisia","*",2,1,"*","*",1,1,1
"Turkey",31,28,26,43,29,59,53,76
"Turkmenistan","*","*","*","*","*","*","*","*"
"Turks and Caicos Islands","*","*","*",1,1,"*",1,1
"Tuvalu","*","*","*","*","*",0,0,"*"
"Uganda",1,"*","*",1,1,1,1,1
"Ukraine",6,4,7,8,7,6,2,4
"United Arab Emirates",101,85,86,111,136,138,155,167
"United Kingdom",864,788,798,982,1008,1116,1289,1448
"Uruguay",6,9,9,9,12,11,12,12
"Uzbekistan","*","*","*","*","*","*","*","*"
"Vanuatu","*","*","*","*","*","*","*","*"
"Venezuela",10,9,9,9,9,9,9,6
"Vietnam",11,11,5,4,7,10,14,14
"Wallis and Futuna","*","*","*","*","*","*","*","*"
"West Bank and Gaza","*","*","*","*","*","*","*","*"
"Western Sahara","*","*","*","*","*","*","*","*"
"Yemen","*",1,1,1,1,1,1,1
"Zambia","*","*","*","*","*","*","*","*"
"Zimbabwe","*","*","*","*","*","*","*","*"
"International and regional organizatio",47,70,78,96,105,99,110,98
"Country Unknown",185,110,138,138,89,51,85,99
"Total",10322,9641,10691,12440,13261,14410,16417,17134
""
""
"* Greater than zero but less than $500 million."
"n.a. Not available."
""
"1. Separate reporting for certain country groups began with the 2014 survey."
""
"Entries for Bonaire, Sint Eustatius, and Saba; Curacao; and Sint Maarten were previously reported together as Netherlands Antilles."
""
"Entries for Guadeloupe and for Saint Martin and Saint Barthelemy were previously reported together as Guadeloupe."
""
"Entries for Kosovo, Montenegro, and Serbia were previously reported together as Serbia."
""
"2. Excludes Hong Kong and Macau, which are reported separately."
""
""
""
