                                                                       
                                                                       
                                                                       
                                                                       
                                                                       
Table A6.  Foreign holdings of U.S. short-term securities, by country and type of security, as
of June 30, 2015
 Millions of dollars
                                                                                                               of which: Commercial Paper
                                                                                                 Total                        Asset-backed
 Countries and Regions                         Total ST         Treasury         Agency        Corporate        Total CP           CP
  Total Caribbean                                      140801          116888           12541           11371            9780            1804
  Total Europe                                         421391          268663           20285          132444           66863           28965
  Total Latin America                                   52441           35478            6442           10521            1834               0
  Canada                                                24161           20101             994            3067            2198              81
  Australia/Oceania                                     11221           10239             718             263             112               3
  Country Unknown                                           0               0               0               0               0               0
  International and regional organizations               9100            4264             402            4434            2372              98


* Greater than zero but less than $500,000.
n.a. Not available.

1. Separate reporting for certain country groups began with the 2014 survey.

    Entries for Bonaire, Sint Eustatius, and Saba; Curacao; and Sint Maarten were previously reported together as Netherlands Antilles.

    Entries for Guadeloupe and for Saint Martin and Saint Barthelemy were previously reported together as Guadeloupe.

    Entries for Kosovo, Montenegro, and Serbia were previously reported together as Serbia.

2. Excludes Hong Kong and Macau, which are reported separately.



