                                                                       
                                                                       
                                                                       
                                                                       
                                                                       
Table A3.  Value of foreign holdings of U.S. Treasury debt securities, by country and
type of Treasury security, as of June 30, 2016
 Millions of dollars
                                                                                    Treasury LT debt**
                                                                                of which:        of which:       of which:       Treasury
 Countries and Regions                           Total           Total           Nominal           TIPS             FRN          ST debt**
  Netherlands                                           50885           46224           39550            6648              27            4660
  New Zealand                                            4575            3955            3411             525              19             620
  Nicaragua                                               241             241             241               0               0               *
  Nigeria                                                2369            2356            2255             101               0              13
  Norway                                                58680           58494           52499            5995               0             186
  Oman                                                  15511           15511           15433              77               0               0
  Pakistan                                               1864             758             674              69              15            1106
  Palau                                                    10              10              10               0               0               0
  Panama                                                  912             661             630              31               *             251
  Papua New Guinea                                          5               5               5               0               0               0
  Paraguay                                                  9               7               5               2               *               2
  Peru                                                  12466           12439           12102             338               0              27
  Philippines                                           42377           41213           40589             625               0            1164
  Poland                                                34229           34229           34228               *               0               0
  Portugal                                               5309            5159            5104              55               0             150
  Qatar                                                  4758               *               *               0               0            4758
  Romania                                                3837            3837            3837               0               0               0
  Russia                                                90916           90667           90317               *             350             249
  Rwanda                                                  129             129             129               0               0               0
  Saint Kitts and Nevis                                   601             574             538               9              26              27
  Saint Lucia                                               5               5               5               *               0               0
  Saint Vincent and the Grenadines                          4               1               1               *               0               3
  Samoa                                                     2               *               *               0               0               2
  Saudi Arabia                                          97967           94779           82998           11021             759            3188
  Serbia and Montenegro (1)                              1732            1382            1382               0               0             350
  Seychelles                                                *               *               *               *               0               *
  Singapore                                            107153          103313           60164           41076            2072            3840
  Sint Maarten (1)                                         11              11               8               1               2               1
  Slovakia                                                368             326             326               *               0              41
  Slovenia                                                317             298             298               *               0              19
  South Africa                                           9125            9073            9011              63               0              51
  Spain                                                 39539           38540           37533            1004               4             999
  Sri Lanka                                               256             256             231               0              25               0
  Suriname                                                  2               1               1               0               0               1
  Swaziland                                                55              55              55               0               0               0
  Sweden                                                40080           39139           36798            2341               0             941
  Switzerland                                          238193          207061          182483           23588             991           31131
  Taiwan                                               187770          184891          171348           13510              34            2879
  Tanzania                                               1372            1372            1372               0               0               0
  Thailand                                              47957           19856           19785              72               0           28101
  Trinidad and Tobago                                    3128            2830            2694             136               0             298
  Tunisia                                                 215             215             215               0               0               0
  Turkey                                                58564           24796           24796               0               0           33767
  Turks and Caicos Islands                                 36              36              35               1               0               1
  Uganda                                                  861             597             579              18               1             264
  Ukraine                                                5697            5637            5637               0               0              60
  United Arab Emirates                                  66039           56002           33579           17571            4852           10036
  United Kingdom                                       227991          198884          153926           41250            3707           29108
  Uruguay                                                6096            4733            4713              20               1            1363
  Vanuatu                                                  10               0               0               0               0              10
  Venezuela                                               277             253             243              10               *              25
  Vietnam                                               13510           13510           13510               *               0               0
  Yemen                                                   199             199             199               0               0               0
  Zambia                                                  166             166             166               0               0               0
  International and regional organizations              65681           56743           52483            4179              81            8937
  Country Unknown                                           *               *               *               0               0               0

  Total                                               6267510         5584909         4888746          569125          127038          682600

  of which: Holdings of foreign official
  institutions                                        4033552         3761296         3322071          358904           80321          272256

  Totals by Region:
  Total Africa                                          24962           22609           22206             286             117            2353
  Total Asia                                          3479188         3286154         2905915          321756           58484          193034
  Total Caribbean                                      388064          259148          189831           61125            8192          128916
  Total Europe                                        1793261         1501612         1316878          148383           36350          291649
  Total Latin America                                  395048          361827          318836           20947           22045           33221
  Canada                                                85323           68997           58363            9356            1278           16326
  Australia/Oceania                                     35984           27819           24235            3094             490            8165
  Country Unknown                                           *               *               *               0               0               0
  International and regional organizations              65681           56743           52483            4179              81            8937


* Greater than zero but less than $500,000.
n.a. Not available.

** Long-term (LT) denotes original maturity of over one year; short-term (ST) denotes original maturity of one year or less.

1. Separate reporting for certain country groups began with the 2014 survey.

    Entries for Bonaire, Sint Eustatius, and Saba; Curacao; and Sint Maarten were previously reported together as Netherlands Antilles.

    Entries for Guadeloupe and for Saint Martin and Saint Barthelemy were previously reported together as Guadeloupe.

    Entries for Kosovo, Montenegro, and Serbia were previously reported together as Serbia.

2. Excludes Hong Kong and Macau, which are reported separately.



