"Table A8.  Foreign holdings of U.S. equities, by country, as of selected survey dates"
""
"Billions of dollars"
"","June","June","June","June","June","June","June","June"
"Greenland","*","*","*","*","*","*","*","*"
"Grenada","*","*","*","*","*","*","*","*"
"Guadeloupe (1)","*","*","*","*","*","*","*","*"
"Guatemala","*","*","*","*","*","*","*","*"
"Guernsey",5,5,10,12,21,21,24,26
"Guinea","*","*","*","*","*","*","*","*"
"Guinea-Bissau","*","*","*","*","*","*","*",0
"Guyana","*","*","*","*","*","*","*","*"
"Haiti","*","*","*","*","*","*","*","*"
"Holy See (Vatican)","*","*","*","*","*","*","*","*"
"Honduras","*","*","*","*","*","*","*","*"
"Hong Kong",29,28,33,43,47,56,74,77
"Hungary","*","*",1,1,"*",1,1,1
"Iceland",1,"*","*","*","*",1,1,1
"India",1,1,1,1,1,1,2,2
"Indonesia","*","*","*","*","*","*","*","*"
"Iran","*","*","*","*","*","*","*","*"
"Iraq","*","*","*","*","*","*","*","*"
"Ireland",75,60,77,105,108,141,204,235
"Isle of Man",1,"*",1,1,1,1,1,1
"Israel",11,9,13,20,23,30,35,41
"Italy",19,12,13,15,15,21,27,26
"Jamaica","*","*","*","*","*","*","*","*"
"Japan",199,182,224,302,314,316,361,391
"Jersey",10,6,8,14,11,14,17,18
"Jordan","*","*","*","*","*","*","*","*"
"Kazakhstan",2,1,1,2,3,5,6,7
"Kenya","*","*","*","*","*","*","*","*"
"Kiribati","*","*","*","*","*","*","*","*"
"Korea, South",8,8,13,20,24,36,59,62
"Kuwait",49,40,45,65,83,112,136,136
"Kosovo (1)","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","*","*"
"Kyrgyzstan","*","*","*","*","*","*","*","*"
"Laos","*","*","*","*","*","*","*","*"
"Latvia","*","*","*","*","*","*","*","*"
"Lebanon","*","*","*",1,1,1,1,"*"
"Lesotho","*","*","*","*","*","*","*","*"
"Liberia",1,1,1,1,1,1,1,1
"Libya","*","*","*","*","*","*","*","*"
"Liechtenstein",4,2,2,3,2,3,4,3
"Lithuania","*","*","*","*","*","*","*","*"
"Luxembourg",191,137,172,291,292,378,502,518
"Macau","*","*","*","*","*","*",1,1
"Macedonia","*","*","*","*","*","*","*","*"
"Madagascar","*","*","*","*","*","*","*","*"
"Malawi","*","*","*","*","*","*","*","*"
"Malaysia",2,1,2,4,7,8,12,11
"Maldives","*","*","*","*","*","*","*","*"
"Mali","*","*","*","*","*","*","*","*"
"Malta",1,"*","*","*","*",1,1,1
"Marshall Islands","*","*","*","*","*","*",1,1
"Martinique","*","*","*","*","*","*","*","*"
"Mauritania","*","*","*","*","*","*","*","*"
"Mauritius",4,"*","*",1,2,2,3,6
"Mayotte","*","*","*","*","*","*","*","*"
"Mexico",18,9,17,25,23,32,42,41
"Moldova","*","*","*","*","*","*","*","*"
"Monaco",1,1,1,1,2,2,2,2
"Mongolia","*","*","*","*","*","*","*","*"
"Montenegro (1)","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","*","*"
"Montserrat","*","*","*","*","*","*","*","*"
"Morocco","*","*","*","*","*","*","*","*"
"Mozambique","*","*","*","*","*","*","*","*"
"Namibia","*","*","*","*","*","*","*","*"
"Nauru","*","*","*","*","*","*","*","*"
"Nepal","*","*","*","*","*","*","*","*"
"Netherlands",188,128,152,165,151,164,195,202
"Netherlands Antilles (1)",3,3,7,6,2,2,"n.a.","n.a."
"New Caledonia","*","*","*","*","*","*","*","*"
"New Zealand",6,4,6,8,7,8,12,13
"Nicaragua","*","*","*","*","*","*","*","*"
"Niger","*","*","*","*","*","*","*","*"
"Nigeria","*","*","*","*","*","*","*","*"
"Niue","*","*","*","*","*","*","*","*"
"Norway",76,73,90,124,124,154,176,199
"Oman",2,1,2,4,4,4,7,7
"Pakistan","*","*","*","*","*","*","*","*"
"Palau","*","*","*","*","*","*","*","*"
"Panama",10,8,6,8,8,10,11,11
"Papua New Guinea","*","*","*","*","*","*","*","*"
"Paraguay","*","*","*","*","*","*","*","*"
"Peru",3,2,2,3,4,6,10,11
"Philippines",2,1,1,1,1,1,2,2
"Pitcairn Island","*","*","*","*","*","*","*","*"
"Poland","*","*","*","*",1,2,3,3
"Portugal",2,2,2,3,2,3,3,3
"Qatar",1,"*","*",1,1,2,1,1
"Reunion","*","*","*","*","*","*","*","*"
"Romania","*","*","*","*","*","*","*","*"
"Russia","*","*","*","*","*","*","*","*"
"Rwanda","*","*","*","*","*","*","*","*"
"Saint Helena","*","*","*",0,"*",0,0,0
"Saint Kitts and Nevis","*","*","*",1,1,1,1,1
"Saint Lucia","*","*","*","*","*","*","*","*"
"Saint Martin & Saint Barthelemy (1)","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","*","*"
"Saint Pierre and Miquelon","*","*","*","*","*","*","*",0
"Saint Vincent and the Grenadines","*","*","*","*","*","*","*","*"
"Samoa","*","*","*","*","*","*","*","*"
"San Marino","*","*","*","*","*","*","*","*"
"Sao Tome and Principe","*","*",0,"*",0,"*","*",0
"Saudi Arabia",42,31,36,53,65,68,78,52
"Senegal","*","*","*","*","*","*","*","*"
"Serbia and Montenegro (1)","*","*","*","*","*","*","*","*"
"Seychelles","*","*","*","*","*","*","*","*"
"Sierra Leone","*","*","*","*","*","*","*","*"
"Singapore",94,73,91,107,106,129,142,145
"Sint Maarten (1)","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","*","*"
"Slovakia","*","*","*","*","*","*","*","*"
"Slovenia",1,"*",1,1,1,1,1,1
"Solomon Islands","*","*","*",0,0,"*","*","*"
"Somalia","*","*","*","*","*","*","*","*"
"South Africa",2,2,2,3,3,4,8,10
"South Sudan","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","*","*"
"Spain",7,6,6,10,7,8,10,12
"Sri Lanka","*","*","*","*","*","*","*","*"
"Sudan","*","*","*","*","*","*","*","*"
"Suriname","*","*","*","*","*","*","*","*"
"Swaziland","*","*","*","*","*","*","*","*"
"Sweden",53,37,49,65,70,90,113,119
"Switzerland",162,130,162,226,263,266,331,344
"Syria","*","*","*","*","*","*","*","*"
"Taiwan",11,11,12,16,18,23,31,36
"Tajikistan","*","*","*","*","*","*","*","*"
"Tanzania","*","*","*","*","*","*","*","*"
"Thailand",1,1,1,2,3,3,3,2
"Togo","*","*","*","*","*","*","*","*"
"Tokelau","*","*","*","*",0,"*","*","*"
"Tonga","*","*","*","*","*","*","*","*"
"Trinidad and Tobago","*","*",1,1,1,2,2,2
"Tunisia","*","*","*","*","*",1,1,1
"Turkey","*","*","*","*","*","*","*","*"
"Turkmenistan","*","*","*","*","*","*","*","*"
"Turks and Caicos Islands","*","*","*","*","*","*","*","*"
"Tuvalu","*","*","*","*","*",0,0,"*"
"Uganda","*","*","*","*","*","*","*","*"
"Ukraine","*","*","*","*","*","*","*","*"
"United Arab Emirates",47,36,44,65,72,89,94,89
"United Kingdom",376,279,324,441,495,584,741,832
"Uruguay",1,2,2,2,2,2,2,2
"Uzbekistan","*","*","*","*","*","*","*","*"
"Vanuatu","*","*","*","*","*","*","*","*"
"Venezuela",2,1,2,2,2,2,3,4
"Vietnam","*","*","*","*","*","*","*","*"
"Wallis and Futuna","*","*","*","*","*","*","*","*"
"West Bank and Gaza","*","*","*","*","*","*","*","*"
"Western Sahara","*","*","*","*","*","*","*","*"
"Yemen","*","*","*","*","*","*","*","*"
"Zambia","*","*","*","*","*","*","*","*"
"Zimbabwe","*","*","*","*","*","*","*","*"
"International and regional organizatio",3,6,5,3,4,4,5,5
"Country Unknown",1,2,1,2,"*","*",3,1
"Total",2969,2252,2814,3830,4237,5070,6356,6655
""
""
"* Greater than zero but less than $500 million."
"n.a. Not available."
""
"1. Separate reporting for certain country groups began with the 2014 survey."
""
"Entries for Bonaire, Sint Eustatius, and Saba; Curacao; and Sint Maarten were previously reported together as Netherlands Antilles."
""
"Entries for Guadeloupe and for Saint Martin and Saint Barthelemy were previously reported together as Guadeloupe."
""
"Entries for Kosovo, Montenegro, and Serbia were previously reported together as Serbia."
""
"2. Excludes Hong Kong and Macau, which are reported separately."
""
""
""
