"Table A8.  Foreign holdings of U.S. equities, by country, as of selected survey dates"
""
"Billions of dollars"
"","June","June","June","June","June","June","June","June"
"Papua New Guinea","*","*","*","*","*","*","*","*"
"Paraguay","*","*","*","*","*","*","*","*"
"Peru",2,2,3,4,6,10,11,9
"Philippines",1,1,1,1,1,2,2,2
"Pitcairn Island","*","*","*","*","*","*","*","*"
"Poland","*","*","*",1,2,3,3,3
"Portugal",2,2,3,2,3,3,3,3
"Qatar","*","*",1,1,2,1,1,5
"Reunion","*","*","*","*","*","*","*","*"
"Romania","*","*","*","*","*","*","*","*"
"Russia","*","*","*","*","*","*","*","*"
"Rwanda","*","*","*","*","*","*","*","*"
"Saint Helena","*","*",0,"*",0,0,0,0
"Saint Kitts and Nevis","*","*",1,1,1,1,1,1
"Saint Lucia","*","*","*","*","*","*","*","*"
"Saint Martin & Saint Barthelemy (1)","n.a.","n.a.","n.a.","n.a.","n.a.","*","*","*"
"Saint Pierre and Miquelon","*","*","*","*","*","*",0,0
"Saint Vincent and the Grenadines","*","*","*","*","*","*","*","*"
"Samoa","*","*","*","*","*","*","*","*"
"San Marino","*","*","*","*","*","*","*","*"
"Sao Tome and Principe","*",0,"*",0,"*","*",0,0
"Saudi Arabia",31,36,53,65,68,78,52,35
"Senegal","*","*","*","*","*","*","*","*"
"Serbia and Montenegro (1)","*","*","*","*","*","*","*","*"
"Seychelles","*","*","*","*","*","*","*","*"
"Sierra Leone","*","*","*","*","*","*","*","*"
"Singapore",73,91,107,106,129,142,145,136
"Sint Maarten (1)","n.a.","n.a.","n.a.","n.a.","n.a.","*","*","*"
"Slovakia","*","*","*","*","*","*","*","*"
"Slovenia","*",1,1,1,1,1,1,1
"Solomon Islands","*","*",0,0,"*","*","*","*"
"Somalia","*","*","*","*","*","*","*","*"
"South Africa",2,2,3,3,4,8,10,9
"South Sudan","n.a.","n.a.","n.a.","n.a.","n.a.","*","*","*"
"Spain",6,6,10,7,8,10,12,13
"Sri Lanka","*","*","*","*","*","*","*","*"
"Sudan","*","*","*","*","*","*","*","*"
"Suriname","*","*","*","*","*","*","*","*"
"Swaziland","*","*","*","*","*","*","*","*"
"Sweden",37,49,65,70,90,113,119,117
"Switzerland",130,162,226,263,266,331,344,351
"Syria","*","*","*","*","*","*","*","*"
"Taiwan",11,12,16,18,23,31,36,43
"Tajikistan","*","*","*","*","*","*","*","*"
"Tanzania","*","*","*","*","*","*","*","*"
"Thailand",1,1,2,3,3,3,2,2
"Togo","*","*","*","*","*","*","*","*"
"Tokelau","*","*","*",0,"*","*","*","*"
"Tonga","*","*","*","*","*","*","*","*"
"Trinidad and Tobago","*",1,1,1,2,2,2,2
"Tunisia","*","*","*","*",1,1,1,1
"Turkey","*","*","*","*","*","*","*",1
"Turkmenistan","*","*","*","*","*","*","*","*"
"Turks and Caicos Islands","*","*","*","*","*","*","*","*"
"Tuvalu","*","*","*","*",0,0,"*",0
"Uganda","*","*","*","*","*","*","*","*"
"Ukraine","*","*","*","*","*","*","*","*"
"United Arab Emirates",36,44,65,72,89,94,89,87
"United Kingdom",279,324,441,495,584,741,832,741
"Uruguay",2,2,2,2,2,2,2,2
"Uzbekistan","*","*","*","*","*","*","*","*"
"Vanuatu","*","*","*","*","*","*","*","*"
"Venezuela",1,2,2,2,2,3,4,3
"Vietnam","*","*","*","*","*","*","*","*"
"Wallis and Futuna","*","*","*","*","*","*","*","*"
"West Bank and Gaza","*","*","*","*","*","*","*","*"
"Western Sahara","*","*","*","*","*","*","*",0
"Yemen","*","*","*","*","*","*","*","*"
"Zambia","*","*","*","*","*","*","*","*"
"Zimbabwe","*","*","*","*","*","*","*","*"
"International and regional organizatio",6,5,3,4,4,5,5,4
"Country Unknown",2,1,2,"*","*",3,1,"*"
"Total",2252,2814,3830,4237,5070,6356,6655,6186
""
""
"* Greater than zero but less than $500 million."
"n.a. Not available."
""
"1. Separate reporting for certain country groups began with the 2014 survey."
""
"Entries for Bonaire, Sint Eustatius, and Saba; Curacao; and Sint Maarten were previously reported together as Netherlands Antilles."
""
"Entries for Guadeloupe and for Saint Martin and Saint Barthelemy were previously reported together as Guadeloupe."
""
"Entries for Kosovo, Montenegro, and Serbia were previously reported together as Serbia."
""
"2. Excludes Hong Kong and Macau, which are reported separately."
""
""
""
