                                                                                    
                                                                                    
                                                                                    
                                                                                    
                                                                                    
Table A7.  Foreign holdings of U.S. securities, by country, as of selected survey dates

 Billions of dollars
                                              June            June            June            June            June            June            June            June
  Mexico                                              81              84              97             122             131             144             157             117
  Moldova                                              *               *               *               *               *               1               *               *
  Monaco                                               1               1               2               2               2               3               2               2
  Mongolia                                             *               *               *               *               *               *               *               *
  Montenegro (1)                                    n.a.            n.a.            n.a.            n.a.            n.a.               *               *               *
  Montserrat                                           *               *               *               *               *               *               *               *
  Morocco                                              1               1               1               1               1               1               2               3
  Mozambique                                           *               *               *               *               1               1               *               *
  Namibia                                              *               *               *               *               *               *               1               1
  Nauru                                                *               *               *               *               *               *               *               *
  Nepal                                                1               *               *               *               *               *               1               1
  Netherlands                                        233             247             260             251             270             303             318             350
  Netherlands Antilles (1)                             7              14              11               7               6            n.a.            n.a.            n.a.
  New Caledonia                                        *               *               *               *               *               *               *               *
  New Zealand                                         11              12              13              15              15              19              20              19
  Nicaragua                                            *               *               1               1               *               *               1               1
  Niger                                                *               *               *               *               *               *               *               *
  Nigeria                                              4               4               4               4               4               4               3               3
  Niue                                                 *               *               *               *               *               *               *               0
  Norway                                             119             136             181             213             254             297             309             306
  Oman                                                26              25              28              21              26              28              29              22
  Pakistan                                             1               2               2               2               2               1               2               2
  Palau                                                *               *               *               *               *               *               *               *
  Panama                                              16              13              14              15              15              16              17              19
  Papua New Guinea                                     *               *               *               *               *               *               *               *
  Paraguay                                             *               *               *               *               *               *               *               *
  Peru                                                15              12              17              21              31              26              29              28
  Philippines                                         13              21              30              37              39              37              42              46
  Pitcairn Island                                      *               *               *               *               *               *               *               *
  Poland                                              24              28              33              32              35              33              32              37
  Portugal                                             5               5               6               5               6               7               6               9
  Qatar                                                7               6               7               4               8               7               7              10
  Reunion                                              *               *               *               *               *               *               *               *
  Romania                                              6               6               8               6               6               7               2               4
  Russia                                             150             170             154             165             139             115              73              91
  Rwanda                                               *               *               *               *               *               *               *               *
  Saint Helena                                         *               *               0               *               0               0               0               0
  Saint Kitts and Nevis                                1               1               1               2               2               2               2               3
  Saint Lucia                                          *               *               *               *               *               *               *               *
  Saint Martin & Saint Barthelemy (1)               n.a.            n.a.            n.a.            n.a.            n.a.               *               *               *
  Saint Pierre and Miquelon                            *               *               *               *               *               *               0               0
  Saint Vincent and the Grenadines                     *               *               *               *               *               *               *               *
  Samoa                                                *               *               *               *               *               *               *               *
  San Marino                                           *               *               *               *               *               *               *               *
  Sao Tome and Principe                                *               0               *               0               *               *               0               0
  Saudi Arabia                                       145             125             138             154             170             194             184             152
  Senegal                                              *               *               *               *               *               *               *               *
  Serbia and Montenegro (1)                            2               2               2               2               2               2               2               2
  Seychelles                                           *               *               *               *               *               *               *               *
  Sierra Leone                                         *               *               *               *               *               *               *               *
  Singapore                                          145             176             212             241             272             307             331             321
  Sint Maarten (1)                                  n.a.            n.a.            n.a.            n.a.            n.a.               *               *               *
  Slovakia                                             *               *               *               *               *               *               *               *
  Slovenia                                             1               1               1               1               1               2               2               2
  Solomon Islands                                      *               *               0               0               *               *               *               *
  Somalia                                              *               *               *               *               *               *               *               *
  South Africa                                        11              17              14              17              18              24              21              20
  South Sudan                                       n.a.            n.a.            n.a.            n.a.            n.a.               *               *               *
  Spain                                               23              26              28              38              34              37              48              59
  Sri Lanka                                            *               1               1               1               1               1               *               *
  Sudan                                                *               *               *               *               *               *               *               *
  Suriname                                             *               *               *               *               *               *               *               *
  Swaziland                                            *               *               *               *               *               *               *               *
  Sweden                                              66              81             108             112             135             157             169             165
  Switzerland                                        328             397             488             566             581             634             708             742
  Syria                                                *               *               *               *               *               *               *               *
  Taiwan                                             194             228             232             369             372             397             454             519
  Tajikistan                                           *               *               *               *               *               *               *               *
  Tanzania                                             1               1               1               1               2               2               2               1
  Thailand                                            29              38              58              57              54              46              37              55
  Togo                                                 *               *               *               *               *               *               *               *
  Tokelau                                              *               *               *               0               *               *               *               *
  Tonga                                                *               *               *               *               *               *               *               *
  Trinidad and Tobago                                  5               7               8               9              10              10              10               9
  Tunisia                                              2               1               *               *               1               1               1               1
  Turkey                                              28              26              43              29              59              53              76              59
  Turkmenistan                                         *               *               *               *               *               *               *               *
  Turks and Caicos Islands                             *               *               1               1               *               1               1               1
  Tuvalu                                               *               *               *               *               0               0               *               0
  Uganda                                               *               *               1               1               1               1               1               1
  Ukraine                                              4               7               8               7               6               2               4               6
  United Arab Emirates                                85              86             111             136             138             155             167             161
  United Kingdom                                     788             798             982            1008            1116            1289            1448            1427
  Uruguay                                              9               9               9              12              11              12              12              10
  Uzbekistan                                           *               *               *               *               *               *               *               *
  Vanuatu                                              *               *               *               *               *               *               *               *
  Venezuela                                            9               9               9               9               9               9               6               5
  Vietnam                                             11               5               4               7              10              14              14              14
  Wallis and Futuna                                    *               *               *               *               *               *               *               *
  West Bank and Gaza                                   *               *               *               *               *               *               *               *
  Western Sahara                                       *               *               *               *               *               *               *               0
  Yemen                                                1               1               1               1               1               1               1               *
  Zambia                                               *               *               *               *               *               *               *               *
  Zimbabwe                                             *               *               *               *               *               *               *               *
  International and regional organizatio              70              78              96             105              99             110              98              96
  Country Unknown                                    110             138             138              89              51              85              99              82
  Total                                             9641           10691           12440           13261           14410           16417           17134           17139


* Greater than zero but less than $500 million.
n.a. Not available.

1. Separate reporting for certain country groups began with the 2014 survey.

    Entries for Bonaire, Sint Eustatius, and Saba; Curacao; and Sint Maarten were previously reported together as Netherlands Antilles.

    Entries for Guadeloupe and for Saint Martin and Saint Barthelemy were previously reported together as Guadeloupe.

    Entries for Kosovo, Montenegro, and Serbia were previously reported together as Serbia.

2. Excludes Hong Kong and Macau, which are reported separately.



